actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.9999999,0.2897632,0.289727,0.09644487,0.014713613,0.73592836,0.13941623,11.3241205,0.00012493628,26.642792,-26.642757,0.79129213,0.9964055,0.2935003,4.445697,-26.643461,32.378216,0.00097429764,-25.426073,-26.643166,-29.545582,-26.64848,0.59435797,-0.711643,19.711285,32.37919,5000
1.0000001,0.09457066,0.09416278,0.08836697,0.017599443,0.6124837,0.123562425,11.205456,0.0043129395,50.4127,-50.412292,0.7780438,0.9830537,0.28802308,4.3182917,-50.411976,55.825153,0.007742422,-1.6476815,-50.412003,-56.31879,-50.40792,1.130987,-0.972373,20.662611,55.832897,10000
1.0,0.031474464,0.029158214,0.0989419,0.014137562,0.6888218,0.114758834,11.190337,0.07359138,70.98259,-70.98027,0.78371394,0.9850866,0.2584759,3.672392,-70.97774,75.68414,0.01882656,-67.80006,-70.98038,-79.04962,-70.97621,1.0092494,-0.69058025,19.955765,75.70297,15000
1.0000001,0.012191187,0.0040350477,0.14344051,0.0154704405,0.63870555,0.11087683,11.109595,0.6690193,87.53435,-87.5262,0.8475744,1.0651109,0.26390824,3.7859023,-87.52559,92.32429,0.03695713,-0.20473358,-87.5293,-98.03204,-87.53187,0.9596238,-0.92492497,22.01265,92.361244,20000
0.99999994,0.009216742,-9.549479e-05,0.17429806,0.017034905,0.6002103,0.10620935,10.972763,1.010361,103.01233,-103.00301,0.8417665,1.0776469,0.26074103,3.7194355,-103.00116,107.73167,0.018853022,-99.38141,-103.009895,-114.101944,-102.985825,1.0471371,-1.3239298,22.52932,107.75052,25000
1.0,0.00873984,0.00059911795,0.17014275,0.0150850285,0.6412499,0.1057075,10.96438,0.9314498,116.70662,-116.69849,0.8266181,1.0616566,0.24671406,3.434713,-116.69276,121.14194,0.055134863,-112.57901,-116.702385,-128.16858,-116.69402,0.9165917,-1.0874437,19.85328,121.197075,30000
1.0,0.010624665,-0.004984698,0.2152942,0.018391028,0.5636943,0.106398955,10.828574,1.469163,128.1835,-128.16791,0.8503078,1.0981872,0.2754638,4.035212,-128.16353,133.21373,0.03952991,-36.100822,-128.18675,-140.47191,-128.22769,1.3582067,-1.1570796,27.532896,133.25327,35000
1.0000002,0.0117803905,0.0026271679,0.1689397,0.017733226,0.5815104,0.11876283,10.883915,0.7769881,138.34943,-138.34029,0.81634927,1.0486804,0.2791057,4.1159997,-138.33762,143.46805,0.021302173,-134.24153,-138.34863,-150.77473,-138.26718,0.8873673,-0.91175854,24.899483,143.48935,40000
1.0,0.012151408,0.001998597,0.18437894,0.016096633,0.58915275,0.095151976,11.066476,0.83552545,146.93634,-146.92616,0.8439271,1.0684125,0.23282275,3.1682572,-146.92755,151.1066,0.12581906,-143.11597,-146.92358,-159.58134,-146.8868,0.9181302,-0.9663333,23.719933,151.23242,45000
1.0000002,0.01415823,-0.017377364,0.18048255,0.016721435,0.5795586,0.102720454,10.956331,2.2273684,154.0026,-153.97104,0.8709908,1.1893522,0.251435,3.5287824,-153.95753,158.51399,0.4054618,-1.1083508,-154.02185,-166.49692,-154.00156,0.91089565,-1.0620719,33.97162,158.91945,50000
