actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28923997,0.28896642,0.095432356,0.014221426,0.73376054,0.1361194,11.3617,0.0009458333,26.977024,-26.97675,0.7946646,1.0010546,0.30324787,1.0073568,-26.983547,29.273348,0.118291646,-2.5449111,-27.013304,-27.67192,-27.008678,0.76234865,-0.6280451,15.52625,29.39164,5000
1.0000002,0.09544112,0.09138191,0.11127602,0.015633103,0.65831864,0.118460156,11.389633,0.042530984,48.18512,-48.18106,0.8068571,1.012383,0.28915554,1.0066888,-48.180862,50.283188,0.0115260845,-36.309574,-48.23926,-49.94891,-48.253693,0.7751448,-0.5181862,9.880278,50.294712,10000
0.99999994,0.047873262,0.0058612265,0.13404222,0.01609216,0.6291582,0.10807893,11.027533,0.8775679,64.79649,-64.754486,0.8440491,1.0613016,0.2999624,1.0071982,-64.745575,66.80955,0.083272666,-23.190275,-64.92639,-68.203415,-64.780396,1.0445218,-0.9761949,24.4179,66.89282,15000
0.9999998,0.04815256,0.0057263654,0.14605191,0.017561492,0.5912695,0.10967544,11.139776,0.8810787,77.87968,-77.83725,0.8450558,1.0643137,0.30145997,1.0072702,-77.79931,79.89268,0.07038163,-19.138292,-77.95234,-84.34102,-77.96394,1.1757928,-0.6779464,15.418867,79.96306,20000
1.0000001,0.04660609,-0.0058950055,0.17319764,0.017340416,0.5811863,0.10881006,10.709465,1.1264858,87.69064,-87.63815,0.8302729,1.0641621,0.2860857,1.0065476,-87.63052,89.69129,0.10638705,-1.4474559,-87.81363,-98.92157,-87.78543,1.7022743,-1.5280821,22.311602,89.797676,25000
0.99999994,0.045727525,0.005769803,0.14906234,0.015459151,0.6499341,0.11503199,11.039693,0.8738221,101.064606,-101.02464,0.86826026,1.0821431,0.29283902,1.0068604,-101.01381,103.07723,0.07497178,-0.32159516,-101.175934,-111.71508,-101.177,1.0636332,-0.71436346,16.586304,103.15221,30000
1.0,0.045959484,-0.0060632164,0.2183003,0.015891531,0.61793447,0.102628574,11.279348,1.1319252,107.30432,-107.252304,0.8969872,1.1337929,0.2757973,1.006085,-107.25656,109.304344,0.1361754,-0.44558012,-107.43652,-122.83256,-107.446915,0.904143,-1.7503263,17.881573,109.44052,35000
1.0000001,0.052206226,-0.0038226838,0.20693246,0.015961919,0.61370015,0.108778745,11.030606,1.0732228,117.66908,-117.61305,0.87172115,1.1025267,0.29490727,1.0069577,-117.6008,119.67222,0.116511434,-1.010183,-117.80854,-132.61903,-117.80698,0.78345656,-0.74472016,16.36216,119.78873,40000
0.99999994,0.05666427,0.006231242,0.17547175,0.019222211,0.5377711,0.097539544,11.2819,0.89003223,126.11092,-126.060486,0.86336,1.093461,0.27084282,1.0058684,-126.04931,128.12303,0.14273712,-42.136,-126.25724,-141.06598,-126.25287,0.90916806,-1.1117821,17.552502,128.26576,45000
1.0,0.05877392,0.0044759167,0.19082531,0.017429207,0.5670845,0.096259005,11.100092,0.9238452,133.24312,-133.18881,0.85110635,1.0801709,0.26834452,1.0057607,-133.16882,135.25336,0.18836692,-30.23677,-133.33813,-149.15622,-133.45929,1.0286332,-0.69706404,25.152908,135.44173,50000
1.0,0.05827027,-0.00350596,0.21235068,0.018869441,0.53690434,0.098819554,10.934124,1.0601673,137.32068,-137.25891,0.84595627,1.0724412,0.27459908,1.0060323,-137.24364,139.3232,0.15177953,-37.89436,-137.38408,-157.64331,-137.28526,1.0783231,-1.4954727,26.059135,139.47498,55000
1.0,0.056394808,0.0146171665,0.1776123,0.01694414,0.5748482,0.109767675,11.151407,0.7408065,141.495,-141.45322,0.8452019,1.0643182,0.27905306,1.0062228,-141.45499,143.51584,0.16082612,0.4205917,-141.59003,-165.25484,-141.52989,0.73284876,-0.94775254,20.176765,143.67667,60000
1.0,0.059171144,-0.006081791,0.21097909,0.017768709,0.57029474,0.10281377,11.095819,1.102783,144.26761,-144.20236,0.8576126,1.0930367,0.28247455,1.0063833,-144.16125,146.2679,0.1697441,-37.797382,-144.4801,-172.36539,-144.55957,1.2390627,-0.8203924,25.496593,146.43764,65000
1.0,0.057085674,-0.004360334,0.2202432,0.015331566,0.6100751,0.103289284,10.913774,1.0763823,149.62143,-149.55998,0.84910536,1.0809565,0.27863204,1.0062109,-149.5455,151.62328,0.13519908,-45.742863,-149.78833,-178.76942,-149.73756,1.2052821,-0.88141423,19.164509,151.75847,70000
1.0,0.056297883,0.01131831,0.1867423,0.015958617,0.5756208,0.091119856,11.078131,0.7989567,154.86052,-154.81554,0.83851457,1.0569544,0.24567533,1.0048285,-154.80785,156.87666,0.13247015,-47.911366,-154.9647,-185.5474,-155.00543,0.99519974,-0.8502785,22.593395,157.00914,75000
1.0,0.057675056,-0.00060758274,0.21337998,0.016350538,0.5672382,0.093795985,10.776167,1.0105345,154.57364,-154.51535,0.8341356,1.0724182,0.25333273,1.0051341,-154.50598,156.57816,0.1756602,-0.18437596,-154.7104,-193.61131,-154.61607,0.78200686,-0.92858255,22.13942,156.75381,80000
1.0000002,0.058753602,0.0056985393,0.1870938,0.015044184,0.6192563,0.10401505,11.104964,0.90300953,158.23257,-158.17952,0.856265,1.0882428,0.2619912,1.0054911,-158.1655,160.24376,0.1722846,-38.56957,-158.37668,-199.14021,-158.28555,0.8039564,-0.6978715,20.621641,160.41605,85000
1.0,0.062750705,0.007001464,0.19719024,0.017018314,0.5655399,0.09730475,11.044514,0.88842416,160.8913,-160.83557,0.83527917,1.0746949,0.2675746,1.0057276,-160.82571,162.90402,0.27575627,-51.68637,-161.06686,-207.64098,-161.2905,1.5593284,-1.1440549,33.56878,163.17978,90000
1.0000001,0.064040974,-0.026840206,0.21745284,0.017824534,0.5436788,0.09042898,11.250973,1.4191098,162.14038,-162.0495,0.8840347,1.1439149,0.27569452,1.0060806,-162.04123,164.11963,0.30778033,-55.62595,-162.47041,-212.43321,-162.55508,2.7796664,-1.961227,38.044365,164.42741,95000
1.0000001,0.060245603,0.014992635,0.18697223,0.018598039,0.5189568,0.08416037,10.956848,0.7511414,163.03017,-162.98491,0.8213116,1.0364523,0.24539123,1.0048174,-162.968,165.04999,0.092512816,-0.023652822,-163.16528,-217.20291,-163.14409,1.0504463,-0.9651606,19.201187,165.1425,100000
1.0,0.06275258,-0.006963143,0.22023943,0.016114747,0.58851606,0.095562704,11.105894,1.1109619,163.92365,-163.85391,0.8672359,1.0977507,0.2609667,1.0054482,-163.85028,165.92213,0.10828516,-12.392107,-164.09692,-204.47318,-164.05225,1.146317,-1.1596402,21.01527,166.03043,105000
1.0,0.061085604,0.0032517496,0.20046058,0.015252401,0.5803212,0.10245959,11.152638,0.94676733,166.10599,-166.04816,0.85803187,1.0877817,0.2678029,1.0057374,-166.03583,168.11497,0.22915263,-0.26890758,-166.32079,-226.15253,-166.40091,1.49934,-0.9758725,24.99889,168.34413,110000
