actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.9999999,0.28976318,0.28971386,0.07661784,0.014716446,0.7358454,0.1394143,11.32359,0.00017017644,26.527142,-26.527096,0.7912444,0.99641496,0.29962263,1.0071819,-26.527393,28.824038,0.001329395,-25.487629,-26.528452,-28.909414,-26.518528,0.50679076,-0.7121435,9.721859,28.825367,5000
1.0000001,0.09454985,0.09367663,0.08422801,0.017600276,0.6124694,0.12356891,11.204479,0.009235587,49.15015,-49.149277,0.7781295,0.9823721,0.29349318,1.006891,-49.148907,51.250717,0.031174997,-1.0897363,-49.165077,-53.993042,-49.112846,1.1338922,-0.97436917,13.951241,51.28189,10000
1.0,0.04010924,0.004881092,0.13451532,0.014137717,0.6886998,0.114749104,11.014556,0.8783051,64.90496,-64.869736,0.8371231,1.0755609,0.29512954,1.0069681,-64.86609,66.91681,0.09373225,-36.799,-65.05283,-72.61286,-65.08153,1.007668,-0.69014233,15.046589,67.010544,15000
0.99999994,0.05537458,-0.011386641,0.14999105,0.015470222,0.63878137,0.11089186,11.0199795,1.2056293,77.775154,-77.70839,0.8610519,1.1059073,0.30565393,1.007474,-77.67819,79.77125,0.2753349,0.05310017,-77.94864,-85.58005,-78.17436,0.9974459,-0.9258939,33.895203,80.046585,20000
1.0,0.07821014,0.012907185,0.18292668,0.017036121,0.6001874,0.10620726,11.050625,0.8349679,83.471664,-83.40636,0.8271621,1.0456576,0.3161329,1.0079952,-83.38179,85.49257,0.1459193,-32.629955,-83.79215,-99.401955,-83.88568,1.0469021,-1.3230277,24.776379,85.63849,25000
1.0,0.06260495,-0.0033511263,0.17516291,0.015100589,0.641053,0.10570113,11.023817,1.0535281,89.55491,-89.48895,0.8730947,1.0927532,0.29859632,1.0071328,-89.46409,91.55869,0.14197579,-24.882967,-89.80827,-111.383606,-89.79936,0.96309006,-1.2763832,26.866955,91.70067,30000
0.9999998,0.05877112,-0.004671603,0.18450549,0.01839381,0.56361574,0.10640403,10.943072,1.0794882,96.04009,-95.97665,0.8581085,1.0827281,0.29405582,1.0069175,-95.96239,98.04234,0.14475614,-13.425353,-96.23212,-122.0414,-96.44108,1.3568276,-1.1593432,33.342,98.187096,35000
1.0000001,0.060811207,0.003219246,0.17099503,0.01773109,0.5814021,0.11874157,10.98735,0.9470616,106.87431,-106.81673,0.83328676,1.0615764,0.30764824,1.0075717,-106.80069,108.8851,0.11319446,-31.804993,-107.04376,-131.45125,-106.96994,0.88665617,-0.9128301,22.140442,108.9983,40000
0.99999994,0.065230064,0.0023733182,0.19694975,0.01609897,0.5890963,0.0951613,11.174469,0.9636162,110.13759,-110.07473,0.86145914,1.0879264,0.27270383,1.0059494,-110.05622,112.14591,0.1583517,-38.429947,-110.31157,-139.27914,-110.32445,0.92103356,-0.9660077,20.041428,112.30426,45000
1.0000001,0.06972513,-0.00023771334,0.18234642,0.016716044,0.5798534,0.102750145,11.051474,1.0034093,114.241516,-114.171555,0.8580181,1.0930762,0.29668105,1.0070416,-114.1626,116.24832,0.25946718,-1.2206995,-114.58305,-147.98158,-114.40175,1.1512764,-1.6296262,35.705715,116.50779,50000
1.0,0.066004455,0.0043377136,0.1880936,0.018494122,0.53690034,0.089763284,11.006565,0.9342815,122.84383,-122.78216,0.8463845,1.071193,0.2641614,1.0055825,-122.78529,124.85375,0.18265527,-4.3376226,-123.05286,-155.38512,-123.21405,1.7995933,-1.3212256,35.346382,125.03641,55000
1.0000002,0.06468802,0.012145145,0.1811691,0.016127013,0.59302974,0.10136033,11.041958,0.8122505,126.44838,-126.39584,0.8331213,1.0571396,0.2847032,1.0064845,-126.38606,128.46701,0.1666145,-43.39409,-126.7045,-162.30586,-126.802444,1.115127,-0.86043286,28.653412,128.63362,60000
1.0,0.06676805,-0.001458805,0.20307457,0.020638864,0.49992338,0.08662412,11.043142,1.0218488,128.36667,-128.29845,0.85243595,1.0780926,0.266968,1.0057018,-128.28302,130.37091,0.14818108,0.17652024,-128.57178,-168.43246,-128.49973,0.93805873,-1.1495668,23.755322,130.51909,65000
1.0000001,0.06552268,0.012797715,0.171959,0.017785825,0.52689266,0.08810894,10.894394,0.8046826,134.85358,-134.80084,0.8113247,1.0282125,0.26022726,1.0054175,-134.77704,136.8718,0.1750705,-38.27493,-135.03076,-175.26392,-134.97064,1.3302939,-1.2739582,26.816034,137.04686,70000
1.0,0.06163217,-0.00073581794,0.20757246,0.019210344,0.533812,0.09756262,11.152227,1.0119388,135.91432,-135.85196,0.87056625,1.1057115,0.27040994,1.0058497,-135.83023,137.91943,0.15430778,-1.9901674,-136.08539,-181.31175,-136.1777,1.4148624,-0.7942978,26.337326,138.07375,75000
0.9999998,0.063404605,-0.009400005,0.22921665,0.016039604,0.57685757,0.09292774,10.897292,1.1482543,139.33041,-139.2576,0.851701,1.0734965,0.27247816,1.0059396,-139.2462,141.32695,0.16369437,-44.585045,-139.55263,-186.94882,-139.5464,1.6018957,-1.3801339,25.155342,141.49065,80000
1.0,0.06363838,-0.0153829465,0.23595242,0.015987374,0.57441956,0.09610817,11.097812,1.2417244,142.68446,-142.60544,0.8867289,1.1360515,0.28643176,1.0065634,-142.58221,144.67564,0.19337484,-43.76989,-142.93977,-191.75911,-143.07483,2.4147978,-1.170244,36.883568,144.86902,85000
1.0,0.062546894,0.018024575,0.1675769,0.016540863,0.5510373,0.08570258,11.068644,0.711823,146.33476,-146.29024,0.83077693,1.0447226,0.24646045,1.004851,-146.2717,148.35764,0.2993586,0.28998548,-146.50162,-188.51898,-146.50728,1.586978,-0.96299344,28.402485,148.657,90000
0.9999999,0.060122803,-0.0117631,0.23153287,0.016829811,0.57644653,0.093833536,11.122557,1.1956512,150.22656,-150.15468,0.8830081,1.1202624,0.27655765,1.0061188,-150.13678,152.22092,0.16774553,-5.8530664,-150.37181,-200.02411,-150.669,2.1470442,-1.936448,40.612396,152.38866,95000
1.0,0.05656874,0.005644162,0.17160514,0.018732224,0.51903635,0.096771814,11.389102,0.9002247,152.53223,-152.48132,0.87163687,1.1027383,0.26339987,1.0055504,-152.46942,154.54343,0.1326975,-55.91462,-152.72049,-205.01357,-152.64491,0.80763614,-1.3870773,25.819836,154.67612,100000
0.99999994,0.055704035,0.0027241101,0.18812951,0.016320288,0.5826006,0.09342176,11.060541,0.9510967,151.70757,-151.65457,0.8486151,1.0714395,0.26088482,1.005392,-151.63309,153.71568,0.19823456,1.0255805,-151.89154,-203.0303,-151.68306,1.477493,-1.6406468,35.678913,153.91391,105000
1.0,0.060062945,0.004167636,0.19509959,0.020604368,0.4910202,0.087617755,11.367683,0.9306122,157.87778,-157.82188,0.86480176,1.1113929,0.25475466,1.0051779,-157.80806,159.88712,0.13931656,0.57013977,-158.01385,-209.18048,-158.05481,1.0382298,-1.0150366,22.344385,160.02643,110000
1.0000002,0.059290685,-0.018363569,0.23425907,0.016719833,0.5670323,0.10012399,11.191378,1.3097209,157.13155,-157.0539,0.87079245,1.1218959,0.28633514,1.006559,-157.01083,159.11975,0.21678504,-29.619564,-157.3868,-205.59662,-157.36926,1.258406,-1.5213566,25.976646,159.33653,115000
1.0,0.05972033,0.0056964415,0.2118467,0.018457655,0.51855546,0.088326134,11.101844,0.9046147,159.41664,-159.36263,0.8432884,1.0699863,0.2537669,1.0051519,-159.32764,161.42749,0.17710313,-45.84196,-159.5191,-218.06107,-159.63092,1.2649231,-0.9493679,25.850712,161.6046,120000
1.0000001,0.05945106,0.0012138793,0.18890078,0.017680094,0.53442746,0.08644605,10.975803,0.97958183,164.30765,-164.24942,0.846532,1.0759166,0.2504131,1.0050166,-164.22327,166.31389,0.19747758,-46.809307,-164.49417,-225.43314,-164.63,1.430426,-1.2941592,29.807827,166.51137,125000
