actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_0.1,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.2744902,0.23091635,0.2928719,0.004223846,1.1339086,0.20529687,5.3890815,3.1587448,27.523273,-26.656227,0.47273636,0.5468588,4.430958,-26.656227,33.18515,0.00459973,-25.317968,-26.655685,-29.615984,-26.682611,2.652907,-3.485624,43.117046,33.18975,5000
1.0,0.08926403,0.07536023,0.28652337,0.004819848,1.0052801,0.17494904,5.366571,3.1557603,50.5255,-50.243805,0.4652323,0.54102254,4.283826,-50.243805,55.884686,0.049683124,-1.5125673,-50.242916,-55.70849,-50.32479,2.00537,-1.5849969,38.203857,55.93437,10000
1.0,0.029187586,0.024719238,0.25438976,0.005686582,0.9631109,0.1455687,5.3772936,3.1530907,71.217224,-71.12519,0.46939412,0.54257524,3.5885665,-71.12519,75.83051,0.021838095,-67.4371,-71.12491,-79.08801,-71.12027,2.5641396,-2.1563733,33.401936,75.85235,15000
1.0000001,0.009548229,0.007823037,0.25576752,0.0059661567,0.9014165,0.14613837,5.3784275,3.180682,88.67733,-88.64696,0.476923,0.54943705,3.616681,-88.64696,93.301834,0.087265655,-0.68633854,-88.64799,-98.66121,-88.74028,3.2943287,-2.8445296,42.605495,93.3891,20000
1.0,0.0031240375,0.0025578877,0.2533099,0.006224732,0.93193245,0.13946022,5.376481,3.1812239,105.38281,-105.37288,0.47723997,0.5487458,3.566636,-105.37288,109.952,0.05716522,-100.25415,-105.37381,-116.25252,-105.344574,1.932026,-1.8878169,28.599215,110.00917,25000
1.0000001,0.0010217181,0.0008565178,0.24202959,0.0053727226,0.9130531,0.14023237,5.39188,3.1616888,119.871506,-119.86828,0.47355396,0.5479969,3.343133,-119.86828,124.21549,0.09104422,-113.87976,-119.87548,-131.39514,-119.89312,2.291935,-1.4958395,28.04232,124.30653,30000
1.0,0.00033412804,0.00028417725,0.24980602,0.0063126218,0.8310653,0.13436237,5.3818192,3.149496,131.63464,-131.6336,0.47048962,0.5429233,3.496122,-131.6336,136.13106,0.46039578,-49.05426,-131.62733,-143.7082,-131.71622,3.174209,-2.7729588,52.53882,136.59145,35000
0.9999998,0.00010929958,9.36866e-05,0.26929778,0.006027475,0.8272703,0.14073479,5.3858986,3.1428456,141.8794,-141.87906,0.46848136,0.5422417,3.9008522,-141.87906,146.78033,0.094010934,-135.66527,-141.88106,-154.83102,-141.97473,2.1990726,-2.680379,37.740005,146.87434,40000
1.0,3.5760844e-05,2.819791e-05,0.22513203,0.0068023494,0.79599833,0.120560005,5.3774242,3.2114863,151.10138,-151.10126,0.48234856,0.55617505,3.0273771,-151.10126,155.12878,0.1708893,-144.99986,-151.09393,-164.56952,-150.98575,1.4756643,-1.2044681,31.933949,155.29967,45000
0.99999994,1.1698706e-05,9.928573e-06,0.24284826,0.0062152203,0.8476971,0.12819912,5.38492,3.1513102,159.01341,-159.01338,0.46901703,0.5440862,3.3590112,-159.01338,163.37244,2.2368615,-0.090170756,-159.00912,-171.66628,-158.99359,2.5545647,-2.0050411,63.252937,165.6093,50000
0.99999994,3.8306357e-06,3.2733742e-06,0.2270425,0.007455601,0.7682355,0.116926715,5.385412,3.145475,164.8442,-164.84418,0.4673534,0.54296005,3.0619318,-164.84418,168.90613,0.2094768,-2.2010841,-164.84538,-178.61623,-164.87299,1.7906879,-2.5970638,31.219421,169.1156,55000
0.9999999,1.2586677e-06,1.0156082e-06,0.23689538,0.006326971,0.81781703,0.12789375,5.3615675,3.1931086,172.3602,-172.3602,0.47324085,0.54843074,3.2447767,-172.3602,176.60498,0.11356754,-165.90431,-172.35396,-184.72786,-172.42258,2.3698123,-2.1732955,38.021626,176.71855,60000
1.0000001,4.1628311e-07,3.5073933e-07,0.22686373,0.0073482427,0.7709554,0.11450914,5.384003,3.15745,177.34486,-177.34486,0.47179145,0.545266,3.058686,-177.34486,181.40355,0.3416663,-0.2829806,-177.36688,-190.02466,-177.25912,2.2665608,-1.8472673,38.2762,181.74521,65000
1.0000002,1.4084026e-07,1.2187692e-07,0.22706343,0.006993061,0.7720476,0.11374295,5.374493,3.1346443,182.55771,-182.55771,0.46523863,0.53796375,3.0623121,-182.55771,186.62003,0.10254498,-176.27888,-182.55226,-194.51602,-182.48047,2.0030265,-1.8220426,34.245205,186.72256,70000
1.0000001,5.0458986e-08,4.2528583e-08,0.23659785,0.0062545557,0.7860627,0.12393779,5.403693,3.1571655,186.4654,-186.4654,0.4751476,0.5497782,3.2391417,-186.4654,190.70453,0.33770633,-2.721808,-186.47575,-198.03984,-186.36098,3.6516187,-3.673664,47.565567,191.04224,75000
1.0,2.0447908e-08,1.6397577e-08,0.22354595,0.006878171,0.74406636,0.112657264,5.336372,3.1980805,190.43442,-190.43442,0.46756852,0.5433661,2.9989119,-190.43442,194.43333,0.15039024,-183.66289,-190.42883,-201.11569,-190.50467,2.9830434,-3.1421673,41.946953,194.58372,80000
1.0,9.935983e-09,8.226916e-09,0.23356818,0.0055961697,0.8679684,0.13011211,5.387331,3.1720078,193.09808,-193.09808,0.47527263,0.54950595,3.182164,-193.09808,197.28024,0.1747689,-186.80934,-193.10364,-203.89806,-193.11682,1.7054492,-1.9213991,36.30407,197.45502,85000
1.0000001,5.7816956e-09,4.77453e-09,0.21607904,0.008161506,0.7198548,0.10854007,5.3748794,3.174199,195.20154,-195.20154,0.47463045,0.5470393,2.867606,-195.20154,199.06914,0.09861383,1.0284128,-195.20457,-205.70415,-195.22983,1.6442535,-1.5436176,31.968924,199.16776,90000
