actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.9999999,0.28978938,0.28956038,0.077957794,0.014717089,0.7358195,0.1394153,11.321674,0.00079027703,26.801996,-26.801765,0.79176223,0.99679124,0.297614,4.542964,-26.802341,32.63452,0.0019482749,-25.559938,-26.802063,-29.762081,-26.791016,0.6127149,-0.71156406,19.953678,32.63647,5000
1.0,0.09459633,0.09380448,0.06813981,0.017601607,0.61240005,0.12355712,11.194069,0.008370769,50.784576,-50.783787,0.7776664,0.98175013,0.29505408,4.482276,-50.782234,56.360657,0.0062414017,-2.596569,-50.78313,-57.256283,-50.798515,1.1319155,-0.97144306,19.021027,56.366898,10000
0.99999994,0.03161248,0.027794335,0.07253073,0.014137056,0.6886633,0.1147394,11.192744,0.12077963,71.39085,-71.387024,0.7883754,0.9908547,0.26317236,3.770388,-71.38475,76.189026,0.01738425,-68.127686,-71.38695,-79.55743,-71.409966,1.008115,-0.68807364,18.946243,76.20641,15000
1.0,0.013103649,0.002716964,0.14717379,0.015470987,0.63871795,0.1108813,11.07933,0.79265594,88.19145,-88.18107,0.8545429,1.074447,0.2747428,4.0193367,-88.178116,93.2135,0.021861076,0.24304289,-88.18552,-99.01862,-88.19479,0.95994174,-0.92502,19.725914,93.23536,20000
1.0,0.010707484,0.0016045908,0.13417806,0.017033331,0.60022515,0.106200114,10.943491,0.850143,103.848015,-103.83891,0.83672,1.0588487,0.26739362,3.8599741,-103.84219,108.709595,0.03449315,-99.65421,-103.854965,-115.22688,-103.777824,1.0449648,-1.3257326,24.412064,108.74409,25000
1.0000002,0.012322212,-0.00013008891,0.14872748,0.015087582,0.641072,0.1056975,11.01293,1.0105573,117.45918,-117.44673,0.84567237,1.0740731,0.257578,3.6538568,-117.44045,122.11291,0.045163844,-112.58005,-117.450554,-129.62021,-117.55487,0.91360486,-1.0862435,24.952559,122.15807,30000
0.9999999,0.014813317,-0.00012279034,0.14999674,0.018396195,0.56352043,0.106385455,10.938707,1.0082892,129.13657,-129.12164,0.83709735,1.0621601,0.26465598,3.8017113,-129.11905,133.93816,0.037880585,-37.447384,-129.12413,-142.12996,-129.20404,1.3594475,-1.1616478,27.303179,133.97604,35000
0.9999998,0.016496247,0.00085586077,0.12481945,0.017729059,0.5816119,0.11876167,10.99402,0.94811785,139.14923,-139.13358,0.8435663,1.0778921,0.28250015,4.192253,-139.14014,144.34235,0.05935807,-134.18524,-139.14389,-153.0956,-139.03156,0.88919777,-0.91292477,26.813042,144.4017,40000
1.0,0.016460009,1.6455655e-05,0.13968149,0.016101463,0.58893853,0.09515964,11.157403,0.99900025,147.8339,-147.81744,0.86950326,1.1026673,0.234639,3.2022183,-147.81836,152.03613,0.13056758,-142.90247,-147.8284,-161.9312,-147.87155,0.95338845,-0.9684136,27.585854,152.1667,45000
0.99999994,0.017882274,-0.022463733,0.14821416,0.016725106,0.57955605,0.10273402,10.997164,2.2562013,155.07278,-155.03244,0.8883921,1.2091876,0.2622282,3.750545,-154.94151,159.80087,0.606597,-2.2543902,-155.10822,-169.04445,-155.00949,0.8948834,-1.061043,33.80654,160.40747,50000
1.0,0.018356899,0.0024700006,0.12411727,0.018490251,0.5369148,0.08975324,10.980417,0.8654457,160.98727,-160.97137,0.8157438,1.04928,0.23651665,3.237605,-160.96939,165.22736,0.18096665,-1.4244711,-160.99005,-175.11823,-161.01111,0.7443249,-1.3146466,27.732143,165.40833,55000
1.0000002,0.018495847,0.0029538325,0.123472475,0.01612252,0.59306246,0.10138273,11.041943,0.8402975,168.34296,-168.32742,0.8389456,1.0645636,0.252574,3.551745,-168.32785,172.89766,0.12423764,-163.78069,-168.33707,-180.2516,-168.20128,0.7350844,-0.8661413,27.94994,173.0219,60000
1.0,0.021022549,0.00018444378,0.12308521,0.020626305,0.5000251,0.08657889,11.08925,0.9912264,172.29678,-172.27594,0.84819865,1.0973694,0.23172066,3.1477723,-172.27835,176.44473,0.32522404,1.7429987,-172.40459,-184.97997,-172.42123,0.9373894,-1.0088192,27.792927,176.76996,65000
0.9999999,0.023345029,-0.021526815,0.16603065,0.017802408,0.526767,0.088092655,10.942433,1.9221156,177.9306,-177.88574,0.87764704,1.1922258,0.23744299,3.255167,-177.89737,182.16425,0.25632033,-141.95938,-177.89294,-189.25572,-177.86919,1.3295507,-1.2785996,34.01152,182.42056,70000
1.0,0.024445625,-0.044042133,0.13664158,0.019172529,0.5343809,0.097587466,11.272041,2.8016367,181.42093,-181.35245,0.8835583,1.3070401,0.2450377,3.4017391,-181.35992,185.77863,0.17820397,-6.224763,-181.41786,-193.33951,-181.33527,0.86944586,-1.1057488,32.51735,185.95683,75000
0.99999994,0.02160179,-0.015921446,0.17295027,0.01603996,0.5766931,0.09284268,10.950348,1.7370429,185.5348,-185.49728,0.85684144,1.1658603,0.23544544,3.2173822,-185.4685,189.73627,0.6866253,-140.25763,-185.53015,-196.40602,-185.40524,1.8100055,-1.460212,48.276352,190.4229,80000
1.0000001,0.022297982,0.009010285,0.12057621,0.01596852,0.57496804,0.09618783,11.145558,0.5959148,188.37038,-188.35709,0.824509,1.0427815,0.240652,3.3165352,-188.3646,192.6959,0.65149105,-160.04631,-188.38477,-198.9894,-188.41664,2.2489514,-2.226669,51.197918,193.3474,85000
1.0,0.021017442,0.00435675,0.11518455,0.01658379,0.5500338,0.085596174,11.172751,0.7927078,190.70738,-190.69072,0.8269576,1.0847076,0.21812065,2.9030647,-190.6858,194.6148,3.5888915,-0.72037554,-190.64035,-201.2678,-190.54932,3.239843,-2.7753341,50.65621,198.2037,90000
1.0000001,0.01996853,0.008281626,0.123127826,0.01680709,0.57691497,0.09388235,11.294241,0.5852661,193.21782,-193.20615,0.84321153,1.055738,0.22795904,3.0786133,-193.20416,197.30472,0.15507627,-7.5794153,-193.20837,-203.46263,-193.2561,1.1926786,-1.9359123,27.997875,197.4598,95000
1.0000001,0.018613715,0.0003677265,0.1499221,0.018687375,0.51981384,0.0968702,11.519524,0.9802443,195.91168,-195.89343,0.88373005,1.1330849,0.24598734,3.4203908,-195.88815,200.33244,0.09665439,-154.15755,-195.9256,-205.083,-196.02348,1.3127016,-1.3804343,33.882416,200.4291,100000
1.0,0.018245555,-0.0023973691,0.1314577,0.016403332,0.58118474,0.09333798,11.175674,1.1313947,195.1197,-195.09906,0.8601302,1.123728,0.23189582,3.151027,-195.09285,199.26834,0.28403026,1.2552142,-195.18451,-206.63498,-195.14777,1.9464177,-1.49073,40.13289,199.55237,105000
1.0,0.019372115,0.004403041,0.11956157,0.020548029,0.4914874,0.087616384,11.527271,0.77271247,196.17398,-196.15903,0.8676704,1.1043974,0.23185192,3.1502123,-196.1944,200.3286,0.62411475,-1.6090243,-196.16563,-208.40523,-196.12946,1.0963374,-1.018559,37.332798,200.95271,110000
1.0000001,0.015972724,-0.018271068,0.14580497,0.016752295,0.56629777,0.09989585,11.423042,2.1438918,200.07602,-200.04176,0.90447426,1.2384014,0.24688745,3.4381366,-200.02617,204.4959,0.37283272,-68.10421,-200.12175,-210.35127,-200.08545,2.3313756,-2.220733,59.23158,204.86873,115000
0.9999999,0.015321228,-0.017949825,0.17612332,0.018435482,0.51904666,0.08833094,11.301846,2.1715658,201.69717,-201.6639,0.9270674,1.2415206,0.24056561,3.3148725,-201.67639,205.9941,0.6468973,-150.693,-201.69313,-211.26872,-201.67056,6.533883,-5.23187,75.98328,206.64099,120000
