actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,3.4464235,0.68928474,4.4464235,0.0038178263,-25.314968,-26.528885,-29.210056,3.058021,-3.0507262,35.296104,5000
1.0,1.0,3.3358023,0.6671605,4.335802,0.01752491,-2.7087686,-50.28487,-55.779633,3.1625,-2.5981195,33.644352,10000
1.0,0.99999994,2.5900679,0.5180136,3.5900679,0.030273827,-67.47185,-71.033035,-78.94045,2.9750876,-2.6604311,30.488186,15000
1.0,1.0,2.607305,0.52146107,3.607305,0.038376644,-0.034852535,-89.115036,-100.72123,2.733758,-3.1649837,31.50722,20000
1.0,1.0000001,2.4685187,0.49370378,3.4685187,0.08419438,-100.32719,-105.34807,-117.47551,2.5893085,-2.366223,30.93733,25000
1.0,1.0,2.427487,0.48549742,3.427487,0.2248579,-113.558495,-119.317085,-131.43819,2.3901346,-2.901681,33.485023,30000
1.0,0.99999994,2.3913832,0.47827664,3.3913832,0.22386965,-46.50568,-131.48691,-145.04504,3.4478965,-2.7544684,40.43567,35000
1.0,1.0,2.9278734,0.5855747,3.9278734,0.10876447,-135.54208,-141.70798,-156.09373,1.8597295,-2.8947582,32.127357,40000
1.0,0.99999994,2.0976725,0.4195345,3.0976725,0.26637363,-144.21968,-150.42993,-164.62173,2.6787093,-1.6338077,38.078228,45000
1.0,1.0,2.322209,0.46444175,3.322209,1.7000895,-3.9990938,-158.2098,-171.95085,2.2992494,-1.5673313,55.400658,50000
1.0,1.0,2.0932822,0.41865647,3.0932822,0.18662351,-2.2861114,-163.80858,-178.56938,1.3059043,-2.6413684,38.236866,55000
1.0,0.99999994,2.2165484,0.44330972,3.2165484,0.14401454,-165.11365,-171.22557,-183.99101,2.7271175,-2.2993114,29.722336,60000
1.0,0.99998635,2.0465736,0.40931472,3.04656,0.18726163,1.2218407,-176.26773,-189.33994,1.6107877,-1.4036505,32.77762,65000
1.0,1.0,2.0341802,0.40683606,3.0341802,0.093827814,-175.67525,-181.51631,-193.58401,2.6622467,-1.9993936,29.880657,70000
1.0,1.0,2.2868843,0.4573769,3.2868843,0.2692931,-7.653439,-185.28253,-196.92204,2.5060234,-2.878087,49.277214,75000
1.0,1.0000001,1.9271561,0.38543123,2.9271562,0.08304904,-183.29,-189.36041,-200.22285,2.6204338,-3.2556305,36.69809,80000
1.0,0.9999999,2.072054,0.4144108,3.072054,0.094795465,-186.51605,-192.12292,-202.61433,1.5949439,-2.395902,30.542032,85000
1.0,0.99996203,1.7803264,0.35606527,2.7802885,0.07566892,2.735977,-194.13863,-205.19713,2.4565077,-1.9266881,37.15926,90000
1.0,1.0,2.0982554,0.41965103,3.0982554,1.2914361,-4.951847,-196.01093,-207.05273,2.2533064,-2.9770856,58.292057,95000
1.0,0.9999999,2.1887074,0.43774146,3.1887074,0.081369266,-193.83281,-198.88052,-208.4182,1.7871304,-2.2033088,37.927406,100000
1.0,1.0,2.0103064,0.40206125,3.0103064,0.32886428,-1.4064323,-198.36884,-209.91788,1.8307678,-2.1790996,32.790665,105000
1.0,0.9999659,1.9444908,0.38889813,2.9444566,0.27386945,2.006066,-198.97284,-210.92447,2.9074712,-3.0839748,38.773228,110000
1.0,1.0,2.2729797,0.45459598,3.2729797,0.122530736,-93.629555,-202.77274,-211.9429,1.8087878,-2.126308,33.97131,115000
1.0,1.0,2.1230328,0.42460656,3.1230328,0.13114552,-199.72874,-204.23135,-212.40047,1.778004,-2.157109,27.618437,120000
1.0,1.0,1.7923372,0.35846743,2.7923372,0.07566418,-201.05638,-204.9513,-214.06097,2.154043,-1.5514095,36.472797,125000
1.0,1.0,2.0065188,0.40130377,3.0065188,0.12814155,-83.70841,-205.63022,-213.87827,1.0729681,-1.5800288,25.657085,130000
1.0,1.0000001,1.6791496,0.3358299,2.6791496,0.34289226,-198.23676,-206.4823,-214.52274,1.9775999,-3.1043797,57.80959,135000
1.0,1.0000001,2.1154494,0.42308992,3.1154494,0.033435434,-203.30014,-207.40276,-214.73404,2.7837396,-2.0105872,28.755854,140000
1.0,1.0,1.8845117,0.37690234,2.8845117,0.040926978,-67.084915,-207.61792,-214.74512,2.1738422,-2.5340793,26.635704,145000
1.0,1.0,1.9746149,0.39492297,2.9746149,0.090679504,-0.13063297,-207.57736,-215.43364,2.2507224,-4.069661,30.0503,150000
1.0,1.0,1.9135358,0.38270712,2.9135358,0.04198979,-205.12129,-208.84225,-215.53717,1.8013837,-1.6515843,27.084127,155000
1.0,1.0,2.066782,0.41335642,3.066782,1.0221517,-191.0322,-208.93588,-215.36948,10.009516,-15.367741,113.56616,160000
1.0,1.0,1.8172817,0.36345637,2.8172817,4.2025814,-98.31347,-208.49875,-215.58536,81.609505,-69.68484,842.05865,165000
1.0,1.0,1.7608933,0.35217863,2.7608933,0.044495076,-206.12419,-209.88278,-215.92151,2.8651826,-1.3175225,26.180832,170000
1.0,1.0,1.7413106,0.3482621,2.7413106,2.3343809,-1.2549344,-208.05386,-215.77673,4.120833,-3.3239806,77.03983,175000
1.0,1.0,2.180974,0.43619478,3.180974,1.6969641,-77.28325,-209.04803,-215.72781,20.333645,-9.167927,122.257416,180000
1.0,1.0,2.009257,0.40185142,3.009257,0.018497877,-206.53769,-209.86726,-216.14284,3.4777086,-3.167009,26.72112,185000
1.0,1.0,1.6523974,0.33047947,2.6523974,0.60937583,0.7127905,-207.06317,-216.48769,2.1089058,-2.560672,44.374573,190000
1.0,0.99994004,1.7359265,0.34718528,2.7358665,0.21790878,2.6152198,-207.97711,-215.98723,2.441739,-1.8684565,38.632126,195000
1.0,1.0,1.911774,0.3823548,2.9117742,0.34160239,-5.376072,-209.43562,-215.8014,2.6286705,-2.5482867,44.152714,200000
1.0,1.0,1.785566,0.35711318,2.7855659,0.110093065,-207.08208,-210.52759,-215.96233,1.9169537,-1.7758131,30.345987,205000
1.0,1.0,1.9048992,0.38097987,2.9048991,0.039884742,-207.03148,-210.53104,-215.92247,2.2492824,-3.5350642,32.872463,210000
1.0,1.0,1.8133435,0.36266872,2.8133435,0.2382653,-32.593895,-209.989,-215.7199,2.2801263,-2.0966244,36.20583,215000
1.0,1.0000001,1.7519854,0.3503971,2.7519855,0.18190983,-3.3349197,-208.4268,-216.2178,2.522821,-1.9226681,32.472706,220000
1.0,1.0,1.7830418,0.35660833,2.783042,0.025343716,-207.32137,-210.27356,-215.97708,2.728116,-1.7870151,28.685633,225000
1.0,1.0,1.7674286,0.3534857,2.7674286,0.4317271,-86.37645,-209.485,-216.0024,3.2147684,-1.9665065,43.894264,230000
1.0,1.0000001,1.6979544,0.3395909,2.6979547,0.024034586,-207.37453,-210.08173,-215.47581,2.6447766,-2.3791957,25.710903,235000
1.0,1.0,1.7519276,0.35038552,2.7519276,0.2640375,-30.626072,-209.26732,-215.31055,3.2546928,-2.7960615,40.979675,240000
1.0,0.99999994,1.668766,0.33375323,2.668766,0.04104571,-1.5919703,-209.29298,-214.38686,2.3680036,-2.1954663,26.108925,245000
1.0,1.0,1.8532574,0.37065148,2.8532574,14.711659,-10.664558,-208.92319,-215.0335,20.56892,-25.115229,271.43918,250000
1.0,0.99990875,1.5793425,0.3158685,2.5792513,0.06188243,3.6542122,-208.44583,-214.39952,1.7217536,-1.4849579,25.091509,255000
1.0,1.0,1.7796621,0.3559324,2.7796621,1.1472825,-2.3863544,-207.22163,-215.10507,2.3417234,-2.3644872,41.11034,260000
1.0,1.0,1.981433,0.3962866,2.981433,2.2251985,-82.739204,-209.06949,-215.08629,4.822149,-9.414318,93.22054,265000
1.0,1.0,1.6307156,0.32614312,2.6307156,0.09651671,-61.73305,-208.84366,-214.21223,2.3418345,-1.8107384,30.148296,270000
1.0,1.0,1.6148169,0.32296336,2.614817,0.013271642,-206.61943,-209.34956,-214.32907,2.1202965,-1.9867891,29.77429,275000
1.0,1.0000001,1.5793976,0.3158795,2.5793977,0.098664194,0.16903791,-208.2624,-213.61665,4.234775,-2.6430142,28.365282,280000
1.0,1.0000001,1.8144522,0.36289042,2.8144522,0.637927,-50.086952,-207.92111,-213.91704,3.0056255,-3.1676214,39.68957,285000
1.0,1.0,1.6218288,0.32436574,2.6218288,0.200955,-5.3067217,-208.38593,-213.29922,3.741043,-2.2392714,38.214287,290000
1.0,1.0,1.6459785,0.32919568,2.6459785,0.09722411,-4.9579706,-207.3825,-213.56003,2.1411054,-2.4779599,30.84445,295000
1.0,1.0,1.7074845,0.34149688,2.7074845,0.31133714,-14.619321,-208.28412,-213.99573,2.1341016,-1.8657477,32.55786,300000
1.0,1.0,1.6294388,0.32588774,2.6294389,0.008748687,-206.13062,-208.26973,-213.41629,1.9559602,-1.9893768,25.486973,305000
1.0,1.0,1.7021055,0.34042114,2.7021055,0.07439671,-0.7580826,-207.2684,-212.14348,3.0988204,-2.3909926,31.34973,310000
1.0,1.0,1.747722,0.3495444,2.7477221,0.035869014,-0.4687222,-207.24486,-212.46902,3.0764582,-1.9601141,31.494522,315000
1.0,1.0,1.7567847,0.35135692,2.7567847,0.025758926,-205.83984,-208.28723,-212.61873,3.1795032,-2.3392253,30.0666,320000
1.0,1.0,1.7685754,0.35371512,2.7685754,0.18244639,-73.693535,-207.50543,-212.79814,2.7960613,-2.5275893,31.077635,325000
1.0,1.0,1.495753,0.2991506,2.495753,0.6543035,0.15271133,-205.79712,-212.81519,1.7546505,-2.3843584,31.795424,330000
1.0,1.0000001,1.5488074,0.30976146,2.5488076,3.8927894,-205.69936,-207.68875,-211.06274,2.3729415,-3.212928,39.283485,335000
1.0,1.0,1.7314519,0.34629035,2.731452,0.08519699,-44.02129,-207.16335,-211.57957,1.8818401,-1.8646984,31.654232,340000
1.0,1.0,1.6719608,0.33439216,2.6719608,0.08662095,-1.3377526,-206.30574,-211.40964,2.1441956,-2.9234483,29.127216,345000
1.0,1.0,1.5426524,0.30853048,2.5426524,11.459889,-12.992327,-206.68216,-211.10362,2.4598649,-3.177148,106.79058,350000
1.0,1.0,1.7604353,0.35208705,2.7604353,0.17300065,-107.682434,-207.09859,-211.31639,2.6224484,-3.3141794,34.750923,355000
1.0,1.0000001,1.8594291,0.37188584,2.8594294,0.26792288,-3.1881409,-206.08823,-214.19757,3.5895047,-2.4247096,38.101135,360000
1.0,1.0,1.6962117,0.33924234,2.6962118,0.006843105,-205.38515,-207.3841,-212.87138,2.5721571,-2.2853193,28.378149,365000
1.0,1.0,1.5293298,0.30586594,2.5293298,1.1006098,-127.12559,-206.7955,-212.24454,3.7209368,-1.8332813,42.823,370000
1.0,1.0,1.562662,0.3125324,2.5626621,0.021433339,-1.947558,-206.70824,-211.82494,1.609046,-1.6153735,20.410164,375000
1.0,1.0,1.6766537,0.33533075,2.6766539,0.7307327,-2.517289,-205.0113,-211.83621,3.3866804,-3.6885297,47.337498,380000
1.0,1.0,1.6325232,0.32650462,2.632523,0.048152603,-7.8766336,-206.02548,-211.39099,4.1420155,-2.988858,29.528503,385000
1.0,1.0,1.6828887,0.33657777,2.6828887,0.2188444,-113.84942,-206.80435,-211.216,2.9011116,-3.7801104,36.404465,390000
1.0,0.9999301,1.6385772,0.32771546,2.6385074,0.46810606,3.3758147,-206.15015,-211.5939,1.5484135,-2.0817401,29.64198,395000
1.0,1.0,1.6586485,0.33172965,2.6586485,0.008017649,-204.97865,-206.94211,-211.67657,3.4598835,-2.1536162,26.289837,400000
1.0,1.0,1.6187172,0.32374346,2.6187172,0.0048372075,-204.8913,-207.03445,-211.31029,3.0083234,-4.4032207,28.98475,405000
1.0,0.99988055,1.6923404,0.33846807,2.692221,0.45544752,3.7719615,-204.65302,-211.00684,2.6508656,-2.0355148,43.90371,410000
1.0,1.0,1.569593,0.3139186,2.569593,0.0050451085,-204.91234,-206.8651,-211.82486,5.495875,-6.2669225,35.98224,415000
1.0,1.0000001,1.7090904,0.34181803,2.7090905,0.012466654,-0.80780417,-205.88684,-211.52153,6.1423507,-3.342605,31.983978,420000
1.0,1.0,1.7335874,0.34671748,2.7335873,0.46652076,-3.489479,-205.34116,-212.24991,2.4256074,-2.1165018,45.41656,425000
1.0,1.0,1.7010838,0.34021676,2.7010837,0.07201022,-157.53189,-206.61237,-211.04199,2.4056323,-2.7083273,34.94262,430000
1.0,1.0,1.5567824,0.31135648,2.5567822,0.00650693,-204.82059,-206.62274,-211.13387,2.3174326,-2.129127,25.508533,435000
1.0,0.99999994,1.5288835,0.30577672,2.5288835,6.430215,-109.242584,-205.87454,-210.37971,3.303163,-4.809543,97.880646,440000
1.0,0.9999726,1.5148413,0.30296826,2.514814,0.014118996,0.58258635,-205.66774,-211.16307,2.0977983,-1.8731648,22.083933,445000
1.0,1.0,1.5101045,0.3020209,2.5101047,0.03042833,-98.38539,-205.37924,-211.1034,2.0707848,-2.415266,29.603264,450000
1.0,1.0000001,1.5953598,0.31907195,2.5953598,0.019385003,-204.29971,-206.0582,-211.82938,5.1119876,-2.730557,37.809677,455000
1.0,0.9999712,1.5870066,0.31740135,2.5869777,0.022202179,2.2962134,-205.25418,-209.51096,2.339237,-3.5004175,29.01572,460000
1.0,0.9999447,1.5374222,0.30748442,2.5373669,0.07164508,3.5352986,-205.0341,-212.51707,2.283839,-1.9643192,28.308594,465000
1.0,0.99999076,1.4921675,0.29843348,2.4921582,24.580969,1.1319011,-204.67621,-209.23029,57.490253,-64.10978,704.0241,470000
1.0,1.0,1.4794974,0.29589948,2.4794974,36.205677,-21.199942,-205.01447,-209.70343,28.435259,-29.762169,593.73254,475000
1.0,1.0,1.6574876,0.33149752,2.6574876,0.0046115154,-204.11864,-205.66673,-209.0711,2.542592,-3.0115602,25.999851,480000
1.0,1.0,1.6103479,0.3220696,2.6103477,0.0064787487,-203.96866,-205.5375,-210.28036,3.070375,-3.9553442,27.706766,485000
1.0,1.0,1.5666705,0.3133341,2.5666704,0.4573505,-11.650251,-203.9032,-211.34491,4.914665,-2.4297748,54.976357,490000
1.0,1.0,1.6185265,0.3237053,2.6185265,0.0713258,-64.69987,-204.92116,-209.24272,2.3772192,-1.4831764,26.471184,495000
1.0,1.0,1.4959528,0.29919058,2.4959528,0.027639076,-1.8645086,-204.85065,-209.2042,3.1431546,-2.551019,28.390614,500000
1.0,1.0,1.5933372,0.3186674,2.593337,1.2385247,-4.472673,-203.6912,-210.52776,17.56892,-10.899305,98.53493,505000
1.0,1.0,1.6048031,0.32096058,2.604803,0.078803755,-79.837006,-204.85158,-209.14241,2.6239784,-2.8364775,28.027153,510000
1.0,0.99999225,1.5181668,0.30363333,2.518159,0.008565115,1.4494509,-204.45677,-209.264,2.512904,-3.3040924,26.293283,515000
1.0,1.0,1.5647029,0.3129406,2.564703,0.33864924,-94.33536,-204.44885,-211.73259,3.087482,-2.494932,39.03072,520000
1.0,1.0,1.471421,0.2942842,2.471421,0.024282584,0.45474607,-203.703,-209.8868,3.120311,-1.4324458,26.88334,525000
1.0,0.9999952,1.5603944,0.31207886,2.5603895,0.36250517,1.6745548,-203.67436,-209.5292,2.3076756,-2.471714,49.962955,530000
1.0,1.0000001,1.6480849,0.329617,2.648085,0.008971643,-4.1433992,-204.47392,-209.55048,1.6388748,-1.9083567,22.673336,535000
1.0,0.9999999,1.4915354,0.2983071,2.4915352,0.0069724172,-203.50534,-205.28053,-209.8576,2.2400572,-1.5783252,24.759361,540000
1.0,1.0,1.5756931,0.31513864,2.5756931,1.539663,-203.35944,-205.22977,-209.65302,2.0710351,-2.5974822,36.05698,545000
1.0,0.99999607,1.5870918,0.31741834,2.5870879,0.010147376,0.69488466,-204.18768,-209.47137,2.3319905,-1.6830657,24.540234,550000
1.0,1.0,1.4539473,0.29078943,2.4539473,0.09056085,-1.1918637,-203.2781,-210.15927,2.455833,-1.5208496,25.673386,555000
1.0,1.0,1.5325315,0.30650628,2.5325315,0.47007516,-137.32945,-204.72897,-209.26637,4.3270497,-3.8998406,65.104004,560000
1.0,0.9999982,1.4734411,0.29468822,2.4734392,0.61445004,1.1230043,-202.54453,-211.26228,2.114197,-2.7101502,39.106194,565000
1.0,0.99999994,1.6863642,0.33727282,2.6863642,0.14102861,-193.40816,-204.93935,-210.32962,3.5768006,-6.1760716,68.04892,570000
1.0,1.0,1.5345048,0.30690098,2.534505,0.0619802,-97.98011,-204.47906,-210.70721,3.3371465,-2.4258897,37.26968,575000
1.0,1.0,1.4795657,0.29591316,2.4795656,0.07143664,-0.120346606,-202.95181,-209.85617,2.0194852,-1.6664277,24.84087,580000
1.0,1.0,1.7501578,0.35003155,2.7501578,0.01997112,-112.72987,-204.95001,-211.34445,1.9980769,-2.1491647,25.441893,585000
1.0,1.0,1.590801,0.31816018,2.590801,0.0044824835,-203.19392,-204.83894,-210.16988,2.5639615,-4.178745,25.600029,590000
1.0,0.9999999,1.5957146,0.3191429,2.5957146,14.657187,-117.66099,-204.84402,-210.45312,30.448591,-38.12619,373.98138,595000
1.0,1.0,1.7056656,0.34113312,2.7056656,0.007606312,-203.21817,-205.19737,-211.03563,2.1672955,-2.5704257,27.490261,600000
1.0,1.0,1.4460429,0.2892086,2.446043,0.00968747,-0.42057383,-204.27928,-210.94067,2.5286689,-2.8334904,25.21053,605000
1.0,1.0,1.7289265,0.34578532,2.7289267,0.30746895,-197.29929,-205.28984,-211.6256,11.151874,-13.339146,87.34275,610000
1.0,0.9999987,1.559188,0.3118376,2.5591867,0.40289962,1.3908114,-204.22534,-211.57468,3.5249128,-5.9419503,46.34636,615000
1.0,0.99999994,1.4104617,0.28209233,2.4104617,0.23059085,-88.08211,-204.68106,-210.13887,3.2763517,-3.6538067,37.63147,620000
