actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/euclidean_penalty,actor/generated_to_data_mse,actor/generator_variance,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/manifold_penalty,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28977883,0.2896638,0.08204019,0.014715745,0.73587364,0.7080139,0.1394164,0.4623472,11.32298,0.00039704103,26.785847,-26.785732,23.13702,0.7914313,0.99626136,0.2974924,2.5039062,-26.78624,30.579416,0.0026736544,-25.526978,-26.785925,-29.679745,-26.754795,0.50737995,-0.71366507,13.948231,30.58209,5000
1.0000001,0.094469406,0.093980834,0.08218266,0.017597534,0.61254215,0.6777587,0.12356271,0.3778227,11.202978,0.0051718317,50.09238,-50.09189,22.623146,0.7786679,0.9832541,0.29106674,2.4705043,-50.090622,53.656868,0.0060797203,-2.2056215,-50.091164,-55.48969,-50.055992,1.1291379,-0.97130084,15.748095,53.66295,10000
1.0000001,0.031329688,0.02940455,0.08943233,0.014136169,0.6887847,0.5381826,0.11475489,0.43249863,11.2051935,0.061447687,70.52649,-70.524574,17.827503,0.784631,0.98592865,0.2593701,2.1587877,-70.523315,73.71468,0.0104666725,-67.58434,-70.52761,-77.19936,-70.57318,1.0086597,-0.69041747,15.226137,73.72515,15000
1.0,0.0117074065,0.005289768,0.119597346,0.015471547,0.63863724,0.5969987,0.11088076,0.4420151,11.169683,0.5481691,87.327545,-87.32114,18.921497,0.83647805,1.0497274,0.27317545,2.229878,-87.32106,90.56271,0.011148048,0.26705617,-87.328835,-95.956665,-87.339325,0.9603567,-0.9254953,14.832023,90.57386,20000
1.0000002,0.007897846,0.00033341648,0.12697867,0.017035503,0.6002317,0.5667914,0.106212586,0.43367243,10.973245,0.9577839,103.28377,-103.2762,19.191387,0.84903795,1.0787741,0.2661746,2.24744,-103.27568,106.53154,0.014508359,-99.50706,-103.28276,-112.671165,-103.26214,1.0447707,-1.3254488,16.623957,106.54605,25000
1.0000002,0.0079071475,-0.0006318606,0.14267942,0.015104745,0.6409826,0.56267554,0.10570254,0.48057032,10.994398,1.07991,116.6613,-116.65276,17.490828,0.8493258,1.0976124,0.2652064,2.1369038,-116.65616,119.79757,0.124053374,-105.75452,-116.67458,-126.60463,-116.72092,0.91165483,-1.0851259,19.610504,119.92162,30000
1.0000001,0.008768924,-0.0029461964,0.17368746,0.018398605,0.56350094,0.6237682,0.10638311,0.44039342,10.902179,1.3359816,128.07773,-128.06601,18.885527,0.8429634,1.0899442,0.27923292,2.227559,-128.06186,131.30234,0.08253861,-31.065765,-128.07971,-138.39156,-128.08861,1.3590494,-1.1632787,19.095291,131.38487,35000
0.9999998,0.01020302,-0.0029290093,0.1666562,0.017733186,0.5815866,0.7341337,0.11877099,0.48394096,10.88718,1.2870728,137.79623,-137.78311,25.35622,0.8521383,1.109035,0.3029302,2.6481543,-137.78058,141.44145,0.022998638,-133.81075,-137.80363,-148.37997,-137.76591,0.8884992,-0.9105172,16.9413,141.46445,40000
0.9999999,0.009603419,0.0029532304,0.13643649,0.016097415,0.5891369,0.4926021,0.09516411,0.4627654,11.062633,0.69248134,146.31526,-146.30862,16.351728,0.8281665,1.0422096,0.24814364,2.0628624,-146.30762,149.38109,0.022487234,-142.94711,-146.31006,-156.87407,-146.27054,0.9222648,-0.96751827,16.43772,149.40358,45000
1.0000002,0.009074182,-0.0020648995,0.15386537,0.016701054,0.5800134,0.52723956,0.102776565,0.38422203,10.872108,1.2275577,153.216,-153.20486,19.011751,0.84280753,1.0935147,0.2567196,2.2357085,-153.21002,156.44965,0.51486117,1.41956,-153.21204,-164.63167,-153.20639,1.0109088,-1.1808745,30.503744,156.96451,50000
0.99999994,0.009761561,0.00349635,0.12277544,0.018479504,0.5369481,0.4585331,0.08977628,0.36027122,10.864205,0.6418246,159.04938,-159.0431,17.55846,0.7949698,1.0188402,0.23940894,2.1412997,-159.04233,162.19417,0.026099302,-1.3741882,-159.04625,-171.10397,-159.09787,0.7450047,-1.3218313,18.127848,162.22026,55000
1.0,0.013180056,0.003992716,0.120579734,0.016124584,0.59288836,0.48775256,0.10137947,0.38355565,10.926868,0.6970638,165.76093,-165.75174,17.506924,0.8075744,1.0454698,0.24691916,2.13795,-165.73677,168.90288,0.1573742,-149.67595,-165.84564,-176.9708,-165.67969,0.7372396,-0.86260945,27.45771,169.06026,60000
1.0,0.015928868,-0.0076862765,0.13001475,0.02065345,0.49986565,0.4402473,0.086604334,0.31408578,10.958243,1.4825375,169.27199,-169.24837,17.175446,0.8241161,1.1161988,0.23458669,2.1163864,-169.25322,172.38068,0.22192715,0.7361077,-169.32271,-181.06894,-169.35959,0.93692374,-1.002313,20.359846,172.6026,65000
1.0,0.018066434,-0.002152332,0.13864927,0.017786864,0.5269835,0.4484016,0.08812021,0.29001424,10.811544,1.1191343,173.96521,-173.945,17.105717,0.81366,1.0833488,0.23674923,2.1118717,-173.94443,177.07494,0.31698135,-93.10323,-173.99179,-184.77818,-174.01778,1.3273335,-1.2694569,24.617977,177.39192,70000
0.99999994,0.025883028,0.005369732,0.12594274,0.019235956,0.53376573,0.49954328,0.09759779,0.31385198,11.096403,0.7925385,176.87689,-176.85638,20.246857,0.8200232,1.0691469,0.2498858,2.3160458,-176.83769,180.1983,0.5313603,-2.524372,-176.85864,-188.0688,-176.65236,1.1154351,-1.2007813,38.09422,180.72966,75000
1.0,0.027436115,0.001528434,0.13913941,0.016037526,0.576776,0.4626472,0.09287779,0.33734336,10.79296,0.9442911,180.5515,-180.52559,15.532461,0.8064493,1.0503718,0.24048056,2.00961,-180.51993,183.56264,0.38860738,-118.98467,-180.60788,-191.08688,-180.51297,1.6059035,-1.3779094,31.506804,183.95125,80000
1.0000002,0.027416762,-0.0054898597,0.14325926,0.015983697,0.5743901,0.5123947,0.09611806,0.35551292,10.995421,1.2002373,181.58984,-181.55695,19.53741,0.8404368,1.109033,0.2530797,2.2699318,-181.56439,184.85428,0.4124918,-112.14298,-181.66852,-193.75354,-181.7105,1.1633816,-0.9225298,26.920885,185.26677,85000
