actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/euclidean_penalty,actor/generated_to_data_mse,actor/generator_variance,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/manifold_penalty,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28924224,0.2887959,0.16857949,0.014221543,0.7337764,0.9062544,0.1361244,0.44249204,11.365721,0.001543202,26.436298,-26.435854,26.263947,0.7947272,1.0012242,0.3365736,1.0034143,-26.44032,28.728508,0.10576944,-0.48744306,-26.510122,-27.221317,-26.4707,0.761144,-0.62814045,15.302201,28.834278,5000
1.0,0.095729224,0.08296327,0.22227083,0.015629265,0.65848446,1.0582237,0.11846861,0.42329177,11.41567,0.13335483,46.635155,-46.62239,30.28585,0.82151294,1.0308238,0.3637004,1.0039371,-46.636578,48.722054,0.045829013,-23.81922,-46.7807,-48.70726,-46.88491,0.77464664,-0.5182499,13.416224,48.767883,10000
0.99999994,0.04520162,0.0021095308,0.29613084,0.016094979,0.6290992,2.325679,0.108077794,0.4979117,11.160782,0.9533306,60.80137,-60.758278,35.70258,0.8735864,1.0924048,0.53917515,1.0046413,-60.746223,62.80812,0.058243074,-18.948235,-61.009365,-67.26658,-60.900307,1.043618,-0.97668,22.947128,62.866364,15000
0.9999999,0.047603346,0.012225954,0.26895088,0.017563265,0.5911787,1.9047844,0.109669596,0.48316628,11.394718,0.74317026,73.30089,-73.26552,30.962826,0.871706,1.0954611,0.48795292,1.0040252,-73.25545,75.31714,0.069441035,-13.249208,-73.49927,-83.36755,-73.30968,1.1757301,-1.4690951,33.025166,75.38658,20000
1.0000001,0.059615698,0.0013832571,0.3014383,0.017338222,0.5811399,1.948827,0.108823225,0.5134692,10.976885,0.97679716,79.32167,-79.263435,28.383278,0.8533558,1.0796279,0.49356192,1.0036899,-79.26942,81.326744,0.07924932,-0.124240495,-79.62484,-97.66445,-79.67467,1.7008142,-1.5273392,21.947521,81.40599,25000
1.0,0.057913516,0.0076330686,0.29052645,0.015458067,0.6499131,2.2364726,0.11501664,0.58348507,11.267711,0.8681989,88.500854,-88.45058,30.239317,0.8821759,1.1027972,0.52873343,1.003931,-88.453926,90.51241,0.08932793,-0.46034685,-88.81267,-110.01625,-88.86032,1.1992986,-0.71410793,23.180439,90.60174,30000
1.0000001,0.05651882,0.009561136,0.28177598,0.01589129,0.61791676,1.9270332,0.10263026,0.58956254,11.47888,0.8308327,93.84464,-93.79768,26.345371,0.8985033,1.1272602,0.49079436,1.0034249,-93.7994,95.85763,0.09312494,-0.49677378,-94.11864,-121.23935,-93.92523,1.5473896,-2.5828931,44.126884,95.95075,35000
0.9999999,0.06544167,-0.00030276843,0.28379688,0.01596224,0.61374575,2.0607336,0.108785376,0.6243727,11.1832285,1.0046265,100.84116,-100.77542,28.140593,0.8787619,1.1085019,0.5075349,1.0036583,-100.773254,102.84451,0.13501632,-0.32842475,-101.096146,-131.39253,-100.91379,1.4734377,-2.6171768,41.2641,102.97953,40000
1.0,0.066280045,0.0023190046,0.28977486,0.019227277,0.5377498,1.9290694,0.0975567,0.5994707,11.444042,0.965012,107.28754,-107.22358,25.508518,0.89166903,1.1246653,0.49105364,1.0033162,-107.21895,109.293175,0.08777626,-31.122532,-107.55178,-140.32043,-107.698074,2.416708,-1.4973849,37.904385,109.38095,45000
1.0,0.0719022,-0.014799029,0.29591262,0.017430156,0.5670745,2.012169,0.09624834,0.55876064,11.2448635,1.2058216,112.08382,-111.997116,25.942825,0.88843375,1.1119312,0.5015188,1.0033726,-111.97906,114.07239,0.13349092,-23.23351,-112.42322,-148.13167,-112.50644,1.4319739,-0.90208495,27.429485,114.20588,50000
1.0000001,0.07232378,0.001541424,0.2941166,0.018874094,0.5368966,1.9035443,0.09881971,0.6468808,11.052891,0.97868717,115.305855,-115.23507,25.492496,0.8519697,1.0682178,0.48779404,1.003314,-115.21881,117.31071,0.107207105,-30.24734,-115.59264,-156.60799,-115.64096,1.0698371,-0.6776235,23.624767,117.417915,55000
1.0000001,0.076342136,0.0045637423,0.29410318,0.016932216,0.5749677,1.9437808,0.1097742,0.6417933,11.280264,0.9402199,115.54757,-115.4758,28.091385,0.8827119,1.1067677,0.49292248,1.0036457,-115.46419,117.55578,0.15262696,0.07853675,-115.847145,-163.80205,-115.62854,2.263285,-3.6533525,56.189034,117.708405,60000
0.9999999,0.07523818,-0.0027165115,0.27374163,0.017769273,0.570279,1.9898818,0.102804355,0.74137294,11.224897,1.0361055,117.26247,-117.18451,26.405436,0.865861,1.0994518,0.4987336,1.0034328,-117.15384,119.26318,0.1702713,-33.046944,-117.592026,-171.24098,-117.61598,1.7673911,-1.3202292,29.571636,119.43346,65000
1.0,0.08085109,0.018693982,0.26814,0.015334433,0.6098025,1.6800735,0.10327019,0.73497564,11.025894,0.768785,122.62579,-122.56364,24.502375,0.83971447,1.0564905,0.4582676,1.0031853,-122.56047,124.647675,0.13425161,-30.396383,-122.928894,-177.88927,-122.95387,1.2084874,-0.8806256,21.44872,124.78193,70000
1.0000002,0.07714098,0.019040884,0.24160066,0.015958447,0.5755382,1.4538003,0.09111378,0.5686283,11.175293,0.7531677,124.83151,-124.77341,24.521738,0.8360764,1.0560361,0.42629218,1.0031878,-124.759476,126.853745,0.19830948,-38.2595,-125.10419,-185.5736,-125.318375,3.156856,-2.3399246,48.844822,127.052055,75000
0.9999999,0.07621254,0.008480775,0.2545638,0.016350787,0.5672498,1.5995965,0.09382108,0.5825913,10.89842,0.888722,123.475365,-123.40763,23.283974,0.83694494,1.0583405,0.4471572,1.003027,-123.40439,125.48688,0.34932554,-0.19655846,-123.79091,-191.89703,-124.03944,6.8115044,-4.36229,75.35681,125.836205,80000
1.0000002,0.07835758,0.00012463541,0.27491972,0.015047669,0.6190885,1.844702,0.10398735,0.6777458,11.230435,0.9984094,124.154,-124.075775,26.81007,0.88732004,1.1137577,0.48019552,1.0034853,-124.08461,126.15761,0.23883812,-21.798462,-124.52611,-195.43982,-124.29043,3.7233427,-4.986779,65.61743,126.39645,85000
1.0000001,0.081771955,0.009167204,0.25687402,0.017014015,0.5656872,1.5992621,0.09733041,0.5797582,11.180851,0.8878931,129.29095,-129.21835,26.560665,0.852268,1.0866872,0.44711047,1.0034529,-129.20865,131.30357,0.1946171,-40.1676,-129.62085,-202.30794,-129.68451,2.6457207,-1.47924,32.241447,131.49818,90000
1.0,0.07653593,-0.018170305,0.29130057,0.017825631,0.5437439,2.0584304,0.09045653,0.84042656,11.378853,1.2374089,131.8056,-131.7109,25.428898,0.90839934,1.1395035,0.5072512,1.0033058,-131.69067,133.79074,0.21985345,-46.209732,-132.16034,-206.01466,-132.05298,2.9821274,-3.2067668,46.306137,134.01059,95000
1.0000001,0.07475772,-0.0106213195,0.2755404,0.018597847,0.51914173,1.9078536,0.08417827,0.73802495,11.061148,1.1420765,130.90105,-130.81567,25.34908,0.8720708,1.0981946,0.48834586,1.0032954,-130.80734,132.89372,0.16282254,0.17849603,-131.25221,-208.88655,-131.34525,1.6591228,-1.4491605,32.10772,133.05655,100000
1.0,0.078146875,-0.00046562008,0.2609986,0.016083298,0.5889597,1.8239884,0.09555936,0.7820961,11.239471,1.0059583,131.32236,-131.24374,23.752836,0.876676,1.1016266,0.47749195,1.0030879,-131.22775,133.32497,0.12578951,-10.350048,-131.60797,-213.43166,-131.70563,2.2912743,-1.7000406,33.59407,133.45076,105000
1.0,0.08036977,-0.009768188,0.2706008,0.015251685,0.5803615,1.7670238,0.1024389,0.7762313,11.28857,1.1215405,131.1889,-131.09875,26.127863,0.8839096,1.1258807,0.46997654,1.0033966,-131.09216,133.18254,0.18379378,-0.4420603,-131.53264,-209.21419,-131.69301,3.0745122,-2.2305455,43.520386,133.36633,110000
1.0,0.0748176,0.0017651351,0.2599702,0.01574504,0.5544078,1.6634043,0.093868524,0.8072413,11.55621,0.97640747,131.74078,-131.66772,22.953623,0.89585614,1.1364688,0.45598853,1.0029839,-131.63919,133.74554,0.17157294,-4.5020947,-132.05887,-191.71878,-131.97978,1.6471908,-1.8223566,29.785904,133.91711,115000
1.0000002,0.073963,-0.0038397342,0.2538256,0.015834318,0.5819304,1.8503567,0.10049642,0.77713346,11.08011,1.0519142,133.06699,-132.98918,27.626297,0.86684656,1.0778655,0.48093095,1.0035875,-132.96579,135.06673,0.20119898,0.08673635,-133.39293,-224.83997,-133.4537,3.0225317,-2.2663393,31.205837,135.26793,120000
1.0,0.072511606,0.0061909445,0.23192894,0.018253114,0.5485514,1.4727801,0.093616694,0.7009791,11.176812,0.9146213,134.52856,-134.46225,25.842749,0.86866856,1.0948186,0.42906585,1.0033314,-134.45145,136.53809,0.3212966,0.41958204,-134.88979,-228.81003,-135.0848,5.583634,-5.243406,63.806,136.85938,125000
1.0,0.07398153,-0.012189993,0.24821216,0.017272102,0.54043347,1.6549634,0.08807103,0.7385773,11.238199,1.1647708,136.20544,-136.11928,24.296154,0.88984764,1.1209624,0.4548301,1.0031585,-136.09761,138.19641,0.17459927,-31.132284,-136.47958,-232.57053,-136.50781,1.0841488,-0.8995731,23.404732,138.37102,130000
1.0,0.07308274,0.004681656,0.23239632,0.018313672,0.5151021,1.3530176,0.08467387,0.7531522,11.271081,0.93594027,134.92737,-134.85898,24.08202,0.8660765,1.0997763,0.41125077,1.0031307,-134.84492,136.93518,0.15531088,-0.37282065,-135.1875,-205.33751,-135.22708,1.2242291,-1.5843318,24.600433,137.09048,135000
1.0000002,0.07480679,0.005208197,0.21760479,0.014943883,0.5796607,1.2995814,0.084459126,0.69638455,11.320073,0.930378,136.23172,-136.16212,21.072731,0.86321974,1.0885491,0.40304798,1.0027394,-136.1454,138.23967,0.13342024,-24.075193,-136.50024,-206.57959,-136.52472,1.1519711,-1.3523638,27.910765,138.3731,140000
1.0,0.07848779,0.0056906017,0.24733251,0.01737759,0.52198803,1.42746,0.09049265,0.596895,11.192,0.927497,134.7509,-134.6781,26.253819,0.8626834,1.0901769,0.4224127,1.003413,-134.65274,136.76001,0.18340579,-1.9070964,-135.08504,-208.51913,-135.00946,2.820225,-2.407884,37.399445,136.94342,145000
0.99999994,0.07864369,0.0033485754,0.25696597,0.018113188,0.5319666,1.7560906,0.090532444,0.74691826,11.181078,0.95742095,137.79225,-137.71695,24.825233,0.8385195,1.0619637,0.46852034,1.0032272,-137.6641,139.79883,0.16592312,-3.270293,-138.12518,-202.22594,-138.13684,3.2551775,-1.9239682,31.495749,139.96475,150000
0.9999999,0.07476162,0.017571155,0.21946493,0.017500475,0.51462525,1.2509146,0.087265216,0.6105998,11.448207,0.7649709,140.33444,-140.27725,22.482122,0.86909175,1.0966374,0.39542928,1.0029227,-140.25952,142.35495,0.15221503,-44.07574,-140.5954,-210.68324,-140.544,1.7076491,-1.4396405,27.816662,142.50717,155000
1.0000002,0.07464125,-0.00049979053,0.25231153,0.01759104,0.5455125,1.4413975,0.0876774,0.6409455,11.188234,1.0066959,142.02832,-141.95319,22.868332,0.8888159,1.122012,0.42446992,1.0029728,-141.94101,144.03079,0.18286534,-9.44331,-142.33432,-208.05086,-142.13431,3.3748307,-3.1064904,49.60943,144.21365,160000
1.0000002,0.07267466,0.00060521404,0.22012949,0.019555997,0.49814203,1.4271116,0.08058456,0.6112782,11.251095,0.9916723,139.0373,-138.96521,21.71618,0.87534547,1.1045839,0.42236117,1.002823,-138.97653,141.04073,0.12898298,-0.33753306,-139.3616,-218.50989,-139.2531,1.296807,-1.3039206,32.40699,141.16971,165000
0.9999999,0.07656797,0.0017443327,0.23477988,0.018971547,0.4965793,1.3631761,0.07882505,0.6684879,11.36084,0.9772185,138.50389,-138.42908,21.917603,0.89166677,1.1190505,0.41279173,1.0028374,-138.42613,140.50847,0.12902758,0.23569526,-138.83316,-216.5261,-138.93272,1.691142,-1.3672945,30.558979,140.6375,170000
