actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/euclidean_penalty,actor/generated_to_data_mse,actor/generator_variance,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/manifold_penalty,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28976393,0.28968894,0.09357472,0.014716426,0.73590314,0.75767726,0.1394214,0.46178165,11.323202,0.00025885284,26.264168,-26.264091,25.143291,0.7914382,0.9965644,0.30774933,1.0032686,-26.264751,28.557125,0.0026411833,-24.838766,-26.270273,-28.577951,-26.28038,0.5067467,-0.7101434,9.899115,28.559767,5000
0.99999994,0.09483092,0.09050638,0.114107266,0.017601777,0.61247617,0.77168787,0.12356652,0.37964055,11.203533,0.045602635,47.830715,-47.826393,25.06813,0.7785568,0.9875958,0.31058168,1.0032588,-47.828804,49.92448,0.08021328,-1.8601718,-47.877884,-51.54227,-47.89405,1.1345785,-0.9732471,14.244578,50.004692,10000
1.0000001,0.064431086,-0.0061236983,0.35095733,0.014137553,0.68873274,2.0996385,0.11475102,0.4716421,11.083288,1.0950426,59.39669,-59.326138,47.659935,0.8558091,1.0932143,0.5123034,1.0061958,-59.318085,61.396763,0.11474092,-30.79827,-59.850056,-67.81704,-59.91233,1.0095183,-0.6884318,20.896332,61.511505,15000
0.99999994,0.06675801,-0.0028542108,0.3675583,0.015474223,0.6386418,2.3889809,0.11087525,0.5378582,11.238913,1.0427547,67.462364,-67.392746,36.501617,0.8821501,1.1154495,0.5464637,1.0047193,-67.40098,69.46423,0.10282012,0.30463085,-67.86686,-85.33635,-67.709885,1.1013707,-2.1642234,37.868877,69.567055,20000
0.9999998,0.055672556,0.0038195378,0.3295246,0.017035699,0.6002155,2.309763,0.10620276,0.5486314,11.206822,0.9313928,75.020355,-74.968506,35.295498,0.8542626,1.0736243,0.53732705,1.0045884,-74.95671,77.02876,0.073553726,-27.717953,-75.31137,-104.546265,-75.21158,1.0451254,-1.7424176,30.759825,77.10232,25000
1.0,0.050324496,0.0017364626,0.30090454,0.015104048,0.64101285,2.0683742,0.10570251,0.5600871,11.208479,0.9654947,82.05205,-82.00346,29.91653,0.868539,1.1013027,0.50847495,1.0038891,-81.997345,84.05768,0.07665506,-12.664389,-82.32053,-115.0217,-82.20693,1.1167446,-2.2243114,33.26483,84.13433,30000
1.0,0.054867413,0.0034286503,0.28531513,0.018394008,0.5635538,1.9501257,0.10639395,0.5040442,11.093164,0.93751025,88.22734,-88.1759,30.035637,0.85797995,1.0754447,0.49372634,1.0039046,-88.16539,90.23467,0.075931974,-11.084648,-88.46124,-122.25862,-88.59203,1.353107,-1.1575661,29.389187,90.31061,35000
1.0,0.06223102,-0.005524546,0.2908766,0.017727792,0.58168113,2.0894246,0.11877294,0.5954262,11.11282,1.0887747,98.26453,-98.19678,34.4575,0.8605666,1.0988885,0.5110558,1.0044795,-98.18247,100.26348,0.092631534,-26.023523,-98.527565,-130.96324,-98.463615,0.8919229,-1.2448994,25.776875,100.35611,40000
1.0000001,0.06929113,-0.00038321735,0.29491016,0.016102087,0.5891375,1.866128,0.09518409,0.6282577,11.330339,1.0055306,98.98365,-98.91397,24.063288,0.86550796,1.0943993,0.48297614,1.0031282,-98.89037,100.9864,0.12559733,-29.898481,-99.26306,-136.07434,-99.405106,3.1496422,-1.5573817,43.72753,101.11199,45000
1.0000001,0.07193505,-0.0043557133,0.29015893,0.016723197,0.5795995,2.1159706,0.10274388,0.546181,11.144247,1.0605507,103.21025,-103.13396,29.047981,0.86782956,1.1060275,0.51429206,1.0037762,-103.107254,105.20967,0.1286551,-1.1854409,-103.539055,-151.99132,-103.51059,0.8539341,-1.0573899,19.749405,105.338326,50000
