actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.28923258,0.28908938,0.078560516,0.01422191,0.733781,0.13612753,11.363549,0.00049513456,27.216118,-27.215977,0.7948343,1.0013231,0.30973282,1.0076747,-27.234613,29.512882,0.16256519,-1.2756033,-27.253504,-27.817879,-27.24881,0.7628505,-0.6285085,13.382543,29.675447,5000
1.0000001,0.095995925,0.08997436,0.09194733,0.015629707,0.65850836,0.11847223,11.403292,0.06272732,48.55075,-48.54473,0.8096962,1.0166775,0.29235017,1.0068375,-48.54488,50.64756,0.015005794,-35.459984,-48.59607,-50.669468,-48.573425,0.7752875,-0.519267,10.47678,50.662567,10000
0.9999999,0.047808625,0.007517878,0.13849854,0.016092043,0.6291593,0.10807907,11.115017,0.8427506,65.6776,-65.6373,0.84127575,1.0590954,0.30097643,1.007247,-65.62582,67.69236,0.09054394,-24.33579,-65.77661,-68.89995,-65.62864,1.0433426,-0.97632694,23.811604,67.782906,15000
1.0,0.054620165,0.0076625296,0.12023057,0.017563222,0.59121186,0.10966462,11.243032,0.8597124,78.75394,-78.70698,0.8543279,1.075407,0.30296996,1.0073433,-78.68663,80.768936,0.08610207,-23.292881,-78.828094,-84.71471,-78.93088,1.1773913,-0.67839646,18.854889,80.85504,20000
1.0000001,0.04787711,-0.022289798,0.20315449,0.017336892,0.58126086,0.1088451,10.772696,1.4655626,89.319626,-89.24945,0.85227764,1.0957991,0.29407907,1.0069185,-89.24841,91.30425,0.09217511,-1.061903,-89.39227,-99.2294,-89.38368,1.7003162,-1.5261581,17.896355,91.39643,25000
0.9999998,0.047596194,0.0029924195,0.12954089,0.015473951,0.6496777,0.11499491,11.143383,0.937129,102.59288,-102.54828,0.87782425,1.1008296,0.3101938,1.0076976,-102.54726,104.60357,0.17025475,-0.37063605,-102.698395,-112.265045,-102.5732,1.064023,-0.7154179,19.46244,104.77383,30000
1.0000001,0.05181583,-0.019261835,0.19128388,0.015891518,0.61791813,0.10264396,11.375897,1.3717365,108.541336,-108.47026,0.9078206,1.1556108,0.2859009,1.0065391,-108.475624,110.52861,0.15490533,-0.7612333,-108.663605,-123.84358,-108.631195,0.90355736,-1.7517581,21.032452,110.68352,35000
1.0,0.059767947,0.005550215,0.15989079,0.015960697,0.61369634,0.108762145,11.164101,0.9071373,118.04454,-117.99031,0.87304646,1.0975617,0.29899278,1.0071517,-117.98129,120.057236,0.15771917,-1.2602626,-118.200226,-133.32819,-118.37706,0.7801995,-0.7475347,24.8871,120.21496,40000
0.9999999,0.05714627,-0.0017800624,0.15558796,0.01923832,0.5377391,0.0975524,11.444665,1.0311491,126.55433,-126.49541,0.8877241,1.1154191,0.27924022,1.006238,-126.50299,128.55879,0.17278802,-41.71132,-126.72453,-142.70403,-126.68077,0.9053184,-1.1091487,22.629078,128.73158,45000
1.0000001,0.055484828,0.009756707,0.15218143,0.01743586,0.56695426,0.09623899,11.231432,0.8241554,133.88928,-133.84357,0.8725013,1.09368,0.27173457,1.0059072,-133.85583,135.90494,0.1387876,-29.759628,-133.99203,-150.23239,-134.05139,0.80906427,-0.69680816,19.807142,136.04373,50000
