actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.99999994,0.28976294,0.2897036,0.052693833,0.014714103,0.73597974,0.13942377,11.32441,0.0002048703,26.515461,-26.515404,0.7914781,0.99662244,0.30470252,1.0074275,-26.515995,28.812592,0.00084842846,-25.459583,-26.51682,-28.953568,-26.517294,0.5064554,-0.70963764,9.453313,28.81344,5000
0.9999999,0.094474904,0.09358315,0.05679756,0.017602464,0.6124114,0.12356665,11.204464,0.009439093,48.77894,-48.778046,0.77884984,0.9831643,0.30027243,1.0072131,-48.777847,50.879734,0.005665321,-1.0076498,-48.78547,-53.562454,-48.79787,1.1338468,-0.97358227,11.649666,50.8854,10000
1.0000001,0.041822515,-0.007307281,0.15124166,0.0141373705,0.6887229,0.114757925,11.047296,1.1747212,64.9946,-64.94547,0.8591684,1.115016,0.30800065,1.0075891,-64.938,66.99488,0.088097036,-32.854687,-65.1254,-72.85273,-65.18566,1.0083053,-0.6888739,15.590252,67.08298,15000
1.0000001,0.043622557,-0.0025433614,0.15243909,0.015471328,0.6386905,0.110885695,11.10578,1.0583038,78.3794,-78.33324,0.8518671,1.1010605,0.30037656,1.0072181,-78.33765,80.38408,0.06148184,0.055666238,-78.48345,-85.81931,-78.53219,0.95908517,-0.9241673,14.666627,80.445564,20000
1.0,0.093114115,-0.105983205,0.21595941,0.017034205,0.6002336,0.106207296,11.10194,2.138208,89.18424,-88.98514,0.91097605,1.1904414,0.3797721,1.0115381,-88.96004,91.0898,0.59784436,-35.225388,-89.80847,-99.609055,-89.7247,1.046769,-1.3255639,30.241955,91.687645,25000
1.0000001,0.08391357,-0.008592311,0.1680807,0.015104467,0.6410535,0.10570797,11.168087,1.1023948,92.45015,-92.35765,0.8783492,1.1043732,0.3201906,1.0082017,-92.34822,94.44976,0.24961765,-21.667233,-92.772125,-111.720535,-93.02138,1.6694378,-1.0849329,35.900803,94.69938,30000
0.9999999,0.079341896,-0.004801212,0.17407013,0.018395608,0.5635136,0.106390364,11.0848675,1.060513,98.16061,-98.07646,0.8643321,1.0913019,0.30327788,1.0073582,-98.051636,100.16316,0.13981602,-14.427917,-98.36798,-122.03273,-98.43474,1.3588567,-1.1606538,20.682034,100.30298,35000
1.0000001,0.07088521,9.445101e-05,0.1723652,0.017722663,0.5817752,0.11877632,11.12051,0.9986676,108.03284,-107.96205,0.845519,1.0815237,0.32552874,1.0084776,-107.94614,110.041405,0.13858473,-34.666092,-108.24011,-131.41812,-108.3232,0.8898379,-0.9073617,20.804008,110.17999,40000
1.0000001,0.064509384,0.006888176,0.14966986,0.016100023,0.5891424,0.09517054,11.329002,0.8932221,111.993095,-111.93547,0.8857795,1.108417,0.27339074,1.0059793,-111.9189,114.00597,0.18984571,-39.678967,-112.14606,-139.16945,-112.05077,0.9206064,-0.96684086,21.679354,114.19581,45000
0.9999999,0.059656676,-0.018063342,0.1814982,0.016718043,0.5799224,0.10277606,11.129253,1.3027883,117.16912,-117.0914,0.890893,1.1312271,0.29793707,1.0071013,-117.09337,119.15816,0.18483946,-1.2854146,-117.40717,-146.90999,-117.38169,0.8540331,-1.0557983,18.550903,119.342995,50000
