actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/euclidean_penalty,actor/generated_to_data_mse,actor/generator_variance,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/manifold_penalty,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.28923625,0.28908792,0.08103697,0.01422191,0.733781,0.7144035,0.13612753,0.44306064,11.363262,0.00051279715,27.340786,-27.340637,1.4916859,0.7947003,1.0011292,0.29883176,1.0149168,-27.353003,29.64479,0.13588955,-1.4869114,-27.352655,-28.430117,-27.343796,0.7628505,-0.6285085,17.836666,29.78068,5000
1.0000001,0.0945148,0.09400488,0.08840101,0.015629707,0.65850836,0.59376705,0.11847223,0.4007432,11.38739,0.005395151,50.55404,-50.553528,1.2363095,0.8021535,1.0061522,0.2724351,1.0123631,-50.554527,52.660408,0.006394003,-40.071045,-50.564766,-52.84383,-50.613277,0.7752875,-0.519267,10.903883,52.6668,10000
0.9999999,0.035049133,0.023273546,0.08928289,0.016092043,0.6291593,0.5841493,0.10807907,0.3918044,11.112489,0.33597368,68.99635,-68.98458,1.1335983,0.8069375,1.00355,0.27021965,1.011336,-68.96544,71.03097,0.10455488,-32.81235,-69.00876,-72.173096,-69.0173,1.0433426,-0.97632694,13.93782,71.13552,15000
1.0,0.042755183,0.009404268,0.10965712,0.017563222,0.59121186,0.6803833,0.10966462,0.33140773,11.115345,0.7800437,82.8805,-82.84715,1.1691498,0.8297258,1.052976,0.29162976,1.0116915,-82.82204,84.901596,0.06714612,-27.35134,-82.93147,-88.2649,-82.964005,1.1773913,-0.67839646,15.685385,84.96874,20000
1.0000001,0.047765624,-0.0013718911,0.11465389,0.017336892,0.58126086,0.74225307,0.1088451,0.38572145,10.681139,1.0287213,92.67832,-92.62918,1.2324291,0.81570816,1.0513943,0.30460078,1.0123243,-92.619896,94.68927,0.16459766,-0.73707634,-92.77474,-101.38522,-92.826614,1.7003162,-1.5261581,20.465569,94.85387,25000
0.9999998,0.066390246,0.021024644,0.11161441,0.015473951,0.6496777,0.7334205,0.11499491,0.4240279,11.077965,0.6833173,104.328384,-104.28302,1.3894259,0.84344625,1.0545939,0.302783,1.0138942,-104.2719,106.363304,0.10494235,-0.20885156,-104.420815,-113.5036,-104.338066,1.064023,-0.7154179,18.582058,106.46825,30000
1.0000001,0.10858643,-0.005156868,0.1286723,0.015891518,0.61791813,0.9091251,0.10264396,0.50146276,11.303745,1.0474908,107.90614,-107.79239,1.4802339,0.8869711,1.1219449,0.33710626,1.0148023,-107.771736,109.91579,0.28690666,-0.84000266,-108.162704,-124.21446,-108.18399,0.90355736,-1.7517581,22.954334,110.20269,35000
1.0,0.101786844,-0.012573518,0.15247811,0.015960697,0.61369634,0.8896646,0.108762145,0.52919495,11.043885,1.1235279,114.5001,-114.38574,1.6520181,0.8734798,1.1013719,0.33347875,1.0165201,-114.37018,116.50404,0.2639026,-1.0541161,-114.649,-133.88564,-114.74238,1.6212721,-1.3283978,31.05051,116.767944,40000
0.9999999,0.10334867,0.008900482,0.14019457,0.01923832,0.5377391,0.8124513,0.0975524,0.4865626,11.313751,0.91387904,121.05008,-120.955635,1.3347105,0.8636703,1.0899191,0.31867915,1.0133471,-120.93189,123.07233,0.16639453,-36.218426,-121.19005,-141.70212,-121.20134,0.9053184,-1.1091487,17.347164,123.23872,45000
1.0000001,0.09409507,-0.0032979483,0.12988651,0.01743586,0.56695426,0.7818227,0.09623899,0.4838579,11.129641,1.0350492,127.68622,-127.58882,1.3107932,0.8707142,1.0930388,0.3126145,1.0131079,-127.55751,129.69603,0.15281202,-28.31247,-127.85581,-149.3276,-127.82816,0.80906427,-0.9976394,20.450684,129.84885,50000
1.0,0.0907837,-0.0028456275,0.15475506,0.018855631,0.53705627,0.7245636,0.098825015,0.57024014,10.959263,1.0313451,129.90245,-129.8088,1.6096834,0.8491481,1.063539,0.30094925,1.0160968,-129.78894,131.91571,0.162243,-33.286594,-129.98294,-156.26294,-129.97021,0.9269437,-0.678589,18.021948,132.07796,55000
1.0,0.08232386,-0.0033770953,0.15189645,0.016957073,0.5747635,0.8567133,0.10981025,0.55404615,11.190109,1.0410221,134.91545,-134.82974,1.78725,0.87182724,1.0994077,0.32724482,1.0178725,-134.82361,136.92995,0.17843655,-0.18872745,-135.0479,-161.88019,-134.98215,0.7363571,-0.9497206,21.637558,137.10838,60000
1.0,0.088516645,-0.0011770502,0.14529599,0.017759152,0.57042164,0.68039685,0.10284773,0.53390294,11.137482,1.0132976,137.06613,-136.97644,1.6128306,0.84876525,1.0742509,0.29163265,1.0161283,-136.95035,139.08109,0.23397045,-39.459904,-137.18146,-167.67386,-137.25017,1.2170789,-0.8377844,26.303585,139.31505,65000
0.99999994,0.0935654,0.007474535,0.1400868,0.015332015,0.6102163,0.74814034,0.10330477,0.547932,10.967325,0.92011434,143.80167,-143.71558,1.599285,0.84265316,1.0657065,0.30580637,1.0159929,-143.72418,145.82513,0.11436754,-41.24978,-143.95268,-171.88817,-143.97278,1.2097275,-0.87886655,20.113998,145.9395,70000
1.0000002,0.09852048,0.012210822,0.11886869,0.015933907,0.5758325,0.60855407,0.091116786,0.5108886,11.129382,0.87605804,147.19043,-147.10411,1.3003906,0.8409581,1.0606376,0.27580658,1.013004,-147.09828,149.21564,0.20510678,-47.46935,-147.29292,-176.91386,-147.35158,2.034464,-1.2474803,29.094088,149.42075,75000
1.0,0.09453718,-0.015791893,0.16954727,0.016353376,0.56748354,0.6562037,0.093845785,0.502422,10.827012,1.1670443,148.87793,-148.76761,1.1605728,0.8569999,1.1057428,0.28640088,1.0116057,-148.76685,150.87375,0.28884423,-1.2986562,-149.08308,-181.4116,-149.15872,1.1483767,-1.9567505,29.10225,151.1626,80000
1.0,0.09544669,0.0013990537,0.16443014,0.015039196,0.619212,0.66223115,0.10401049,0.59499764,11.168251,0.985342,151.1399,-151.04584,1.4900963,0.8677925,1.0998243,0.2877132,1.0149009,-151.03265,153.1562,0.2020867,-43.323788,-151.27853,-185.0959,-151.25189,0.95076305,-0.69447994,18.201675,153.35829,85000
1.0000001,0.099162884,-0.010036423,0.17704694,0.017008273,0.5656394,0.6842762,0.09728089,0.53155726,11.081979,1.1012115,155.13686,-155.02766,1.4616147,0.84736586,1.0921751,0.29246286,1.0146161,-155.0074,157.14143,0.26234946,-54.39046,-155.23566,-189.89084,-155.36528,0.98688555,-0.67578506,25.027996,157.40378,90000
1.0,0.094306916,-0.041505143,0.20164114,0.017807905,0.5440019,0.7248276,0.09048444,0.7625931,11.292353,1.4401071,157.17204,-157.03622,1.7845298,0.9044106,1.1535068,0.30100405,1.0178453,-157.00575,159.14838,0.19394305,-53.745514,-157.34492,-190.24733,-157.38156,0.9041514,-0.9555179,24.596645,159.34232,95000
1.0,0.094545074,-0.0018297908,0.17568971,0.018568136,0.51954865,0.5855917,0.084199145,0.6510463,10.998495,1.0193536,156.84323,-156.74684,1.3887043,0.8498888,1.0703773,0.27055305,1.013887,-156.69214,158.85529,0.16908593,-0.054730654,-156.93016,-197.45844,-156.87912,1.0473442,-1.1036878,23.009903,159.02437,100000
1.0,0.09739221,-0.019362982,0.18352424,0.01610767,0.5886914,0.710627,0.095573366,0.66427517,11.144909,1.1988145,159.89664,-159.77988,1.8256862,0.8841979,1.1163191,0.29804087,1.0182569,-159.76648,161.89552,0.23072805,-11.489001,-160.08197,-196.28745,-160.01283,1.1400603,-1.1579703,24.466358,162.12625,105000
1.0,0.09936551,-0.012152549,0.16978851,0.0152417775,0.5803998,0.68519795,0.10242081,0.70160484,11.19687,1.1223015,162.82379,-162.71228,1.7460262,0.8621326,1.0992577,0.2926598,1.0174602,-162.65771,164.8291,0.22641805,-0.23439473,-162.94643,-207.2287,-162.98027,1.6207533,-1.804694,37.4622,165.05553,110000
