actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/euclidean_penalty,actor/generated_to_data_mse,actor/generator_variance,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/manifold_penalty,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.99999994,0.28976673,0.28972426,0.07976448,0.014717376,0.735857,0.71957755,0.13942058,0.46189237,11.323515,0.00014654701,26.668182,-26.66814,1.6559143,0.79126287,0.9963429,0.29991198,1.0165591,-26.668707,28.974466,0.00071259175,-25.447462,-26.669195,-29.381224,-26.662956,0.50659215,-0.7097137,9.468979,28.97518,5000
1.0000001,0.09447459,0.094322816,0.08038242,0.017598445,0.61256915,0.67609346,0.123578206,0.3785544,11.19833,0.0016064988,50.071968,-50.071815,1.258508,0.7772333,0.981872,0.29070893,1.012585,-50.0708,52.178875,0.006266973,-1.2104949,-50.072502,-55.32306,-50.07006,1.1333988,-0.97360915,11.68556,52.185143,10000
1.0000002,0.033640735,0.01612994,0.09420104,0.01413667,0.68874574,0.6290047,0.114742585,0.4256814,11.084679,0.52052355,68.99778,-68.98027,1.2979088,0.7954345,1.0196418,0.28040254,1.012979,-68.97858,71.026886,0.2551297,-51.091377,-69.077255,-76.31031,-69.08025,1.0067053,-0.6898963,16.482271,71.28201,15000
1.0000002,0.050940923,-0.015845887,0.12089895,0.0154564455,0.6388037,0.8584348,0.11087707,0.39500868,10.995658,1.311064,81.332504,-81.26572,1.6836014,0.85691816,1.1062679,0.32757342,1.016836,-81.25837,83.333496,0.13648506,-0.11644128,-81.56127,-91.11183,-81.457726,0.9597892,-1.4059657,23.63856,83.46998,20000
1.0,0.050776586,0.005691366,0.10886362,0.017050255,0.6001111,0.7045789,0.10620125,0.35805583,10.954368,0.88791364,94.15168,-94.10659,1.1998062,0.8196857,1.035783,0.29676986,1.011998,-94.08504,96.16937,0.16589113,-36.24144,-94.240555,-102.1621,-94.292336,1.0453773,-1.324635,20.200993,96.335266,25000
1.0,0.11644652,0.012694108,0.137925,0.015104974,0.6409332,0.8812414,0.10569653,0.3951574,11.068771,0.89098763,98.258675,-98.15492,1.4082053,0.854218,1.0907423,0.33189633,1.0140821,-98.15542,100.28545,0.4354125,-26.474688,-98.642044,-114.82535,-98.57763,2.9364448,-2.814254,56.32746,100.72086,30000
0.99999994,0.107758716,0.014212512,0.12209214,0.018393755,0.5634823,0.8767196,0.106381945,0.4087373,10.96945,0.868108,101.71498,-101.621445,1.4026078,0.8433989,1.0659074,0.33104372,1.014026,-101.60167,103.74322,0.26779965,-16.391836,-101.892624,-124.96296,-101.80542,1.3584608,-1.9385718,35.355263,104.01102,35000
1.0000001,0.08749507,0.010332092,0.1266068,0.017729435,0.5815267,0.9098865,0.11875355,0.46254936,11.016037,0.88191223,110.58922,-110.512054,1.6655191,0.82231414,1.0512623,0.3372474,1.0166552,-110.48459,112.6162,0.17538232,-37.53035,-110.74789,-133.8113,-110.80358,0.8884614,-1.1084183,26.043541,112.79159,40000
0.99999994,0.08089603,-0.0029814013,0.11566704,0.01609806,0.58912766,0.6760355,0.09517193,0.47998446,11.169291,1.0368547,114.76895,-114.685074,1.2422321,0.8615245,1.0919253,0.29069647,1.0124223,-114.659164,116.77839,0.20667914,-40.217144,-114.88156,-143.10594,-114.772026,0.92082995,-0.9652043,23.240934,116.98507,45000
1.0000001,0.07802803,-0.017094769,0.15148057,0.016731398,0.57966954,0.86300755,0.102775596,0.5128951,10.998497,1.219085,119.65675,-119.56163,1.5397854,0.86047673,1.0983282,0.32844472,1.0153979,-119.53792,121.65505,0.18892309,-1.2510133,-119.855865,-151.51501,-119.75678,0.8486905,-1.061548,24.807926,121.84398,50000
1.0000002,0.078048445,0.014156735,0.1083969,0.018473454,0.5370144,0.5859895,0.08975875,0.41894707,10.991808,0.81861603,128.9299,-128.866,1.0631558,0.8351079,1.0614083,0.27064493,1.0106316,-128.8517,130.9547,0.16692552,-3.141253,-129.04752,-158.69301,-128.97647,0.74566156,-1.3177513,21.618908,131.12163,55000
0.99999976,0.08381263,0.0005120358,0.13484563,0.016129114,0.59288484,0.70518994,0.101380505,0.5592332,11.057036,0.9938907,134.75665,-134.67334,1.4759555,0.8326994,1.0652997,0.29689854,1.0147595,-134.6434,136.77193,0.13138138,-49.066383,-134.89966,-163.78105,-134.83517,0.7347417,-0.8666047,21.323898,136.9033,60000
1.0,0.08479835,-0.012740081,0.17141117,0.020653147,0.49963516,0.6672079,0.0865611,0.4770596,11.074524,1.1502397,134.90031,-134.80276,1.2205408,0.87145114,1.1132482,0.28879228,1.0122054,-134.79088,136.89978,0.18028404,-0.04032789,-135.00739,-168.82137,-135.00217,0.93449956,-1.0027267,17.80333,137.08006,65000
1.0,0.09035302,-0.0063943104,0.13637932,0.017789867,0.5268191,0.6574575,0.08809017,0.44945046,10.914283,1.0707703,142.6929,-142.59616,1.358949,0.83808947,1.075688,0.28667435,1.0135895,-142.59486,144.7001,0.1862405,-40.796116,-142.83264,-175.12437,-142.7773,1.3351802,-1.2662641,24.501522,144.88634,70000
1.0,0.0955576,0.015519011,0.144195,0.019195195,0.53438693,0.64515245,0.09762072,0.5386274,11.178686,0.8375952,142.58005,-142.50002,1.4743487,0.8567576,1.088172,0.28397897,1.0147434,-142.5025,144.6103,0.21298927,-1.5698324,-142.72955,-177.92607,-142.80696,0.8673307,-0.79289025,21.648031,144.82329,75000
