actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.0074412944,0.7441295,1.0074413,0.18491906,-1.3977247,-26.991072,-27.557417,0.31930324,-0.42344818,8.966586,5000
1.0,1.0,0.005851336,0.58513355,1.0058514,0.0037218395,-49.02391,-50.128506,-51.70286,0.050165184,-0.021162115,1.0750921,10000
1.0,0.99999994,0.005715243,0.5715243,1.0057151,0.3179465,-23.918161,-67.945244,-70.87942,0.41341576,-0.47295296,13.481991,15000
1.0,1.0,0.006235904,0.6235904,1.006236,0.14263159,-26.102983,-80.721275,-86.279854,0.39249393,-0.9621888,9.63531,20000
1.0,1.0,0.0069178995,0.69179,1.006918,0.62742716,-0.34786856,-88.7518,-99.77486,2.5183487,-2.723101,39.14612,25000
1.0,1.0,0.010529576,1.0529577,1.0105295,0.5213771,-0.10055719,-90.998505,-112.072395,2.018487,-1.73106,18.486908,30000
1.0,1.0,0.0070734443,0.7073444,1.0070734,0.3758346,-0.691396,-93.589584,-121.08292,2.267154,-3.5876532,49.67491,35000
1.0,1.0,0.0070644952,0.7064495,1.0070645,0.40507245,-1.7637136,-100.912415,-128.0377,1.6864798,-2.7034116,33.707275,40000
1.0,1.0,0.006486805,0.64868057,1.0064868,0.32703018,-35.920452,-107.963745,-135.85446,0.7313584,-1.9151883,19.264261,45000
1.0,1.0000001,0.005952836,0.5952836,1.005953,0.39558434,-25.57696,-114.25836,-142.07004,1.69381,-2.7309294,31.080473,50000
1.0,1.0,0.005926011,0.5926012,1.005926,0.34648076,-33.16511,-118.347946,-153.2236,3.4934468,-1.720841,34.043015,55000
1.0,0.99998176,0.006587047,0.65870476,1.0065688,0.352979,0.47385406,-122.26544,-160.786,1.6637748,-3.7937326,44.732994,60000
1.0,1.0,0.0060687037,0.6068704,1.0060687,0.34230995,-39.948235,-125.34955,-169.09749,1.7460463,-4.808316,49.77234,65000
1.0,0.99999994,0.005780032,0.57800317,1.00578,0.3139518,-42.571968,-132.75417,-175.50047,6.6734548,-2.2403998,64.38412,70000
1.0,0.99999994,0.004828415,0.4828415,1.0048283,0.24603474,-47.044804,-137.92978,-188.03102,2.860592,-0.92594135,28.934385,75000
1.0,1.0,0.0055168425,0.55168426,1.0055169,0.99707913,-1.134015,-138.93887,-197.29309,28.376247,-31.261166,178.45976,80000
1.0,1.0,0.0055593085,0.55593085,1.0055593,0.33440003,-33.176605,-143.38077,-194.64088,1.7805754,-2.4379835,24.561354,85000
1.0,1.0,0.004840685,0.4840685,1.0048407,0.3306948,-54.299835,-149.6037,-215.5752,1.292017,-1.4921056,17.618557,90000
1.0,1.0,0.0054070763,0.54070765,1.0054071,0.35760945,-58.619106,-153.32117,-223.93907,1.739127,-1.3893226,20.55555,95000
