actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.0064971037,0.6497104,1.0064971,0.004785762,-0.5587607,-25.094034,-26.41833,0.025766421,-0.08928621,1.7593974,5000
1.0,1.0,0.0054859053,0.5485906,1.0054859,0.013817954,-21.685349,-47.632042,-51.3355,0.18180387,-0.07444139,2.95422,10000
1.0,0.99999994,0.0058365865,0.5836587,1.0058365,0.102873914,-15.492529,-64.88924,-71.19573,0.11554705,-0.33030894,4.0214996,15000
1.0,1.0,0.006733492,0.6733492,1.0067335,0.08888637,-0.9511407,-78.136024,-83.61484,0.62115246,-0.47615698,9.661433,20000
1.0,1.0,0.0066877212,0.6687721,1.0066878,1.0546436,-1.2211796,-87.96376,-98.3001,4.3882732,-2.510411,52.91882,25000
1.0,1.0,0.007575461,0.7575461,1.0075755,0.4162879,-26.226772,-95.22902,-111.06528,1.0589359,-1.8812469,24.34944,30000
1.0,0.99999994,0.007727337,0.7727337,1.0077273,0.38697764,-34.059315,-97.13318,-120.35204,1.6872213,-3.2382615,38.665627,35000
1.0,0.99999994,0.006715323,0.67153233,1.0067153,0.2812377,-0.5879457,-103.89403,-129.92772,2.5998292,-0.9532124,28.912403,40000
1.0,0.99999994,0.006325938,0.63259375,1.0063258,0.332067,-34.364376,-109.1634,-136.71855,0.8110972,-0.6084968,12.970878,45000
1.0,1.0,0.0062039783,0.6203978,1.006204,0.2460005,-29.598982,-115.492676,-145.88022,1.2770768,-2.2324731,25.471323,50000
1.0,1.0,0.0065840664,0.6584067,1.006584,0.34681565,-29.32432,-119.93088,-153.39505,0.6440053,-0.8760756,13.775913,55000
1.0,0.99997437,0.0062238513,0.6223852,1.0061982,0.25344235,0.52578217,-122.8922,-156.08514,0.8928935,-0.5096617,13.419795,60000
1.0,0.9999999,0.005099262,0.5099262,1.0050992,0.44714737,-1.690164,-131.97818,-167.00925,0.70456797,-1.2425985,16.032846,65000
1.0,1.0,0.0061466335,0.61466336,1.0061467,0.27743453,-1.2425873,-135.6756,-172.55072,1.5069293,-1.2525285,17.893888,70000
1.0,1.0,0.0056971814,0.5697182,1.0056971,0.28360814,-0.84378004,-140.7426,-177.2155,0.8910441,-1.4337952,22.299673,75000
1.0,0.9999999,0.0054762955,0.5476296,1.0054761,0.32001206,-15.499835,-146.78629,-176.77234,0.6481885,-0.5141941,14.628684,80000
1.0,1.0,0.0047389744,0.47389746,1.0047389,0.24288467,-31.305098,-147.95065,-185.44939,1.1581423,-0.9101902,18.35115,85000
1.0,1.0,0.004961404,0.49614036,1.0049614,0.42771038,-0.19758889,-150.48938,-189.57147,1.4679422,-1.2650709,24.468477,90000
1.0,1.0,0.004656834,0.4656834,1.0046568,0.37267107,-2.5491304,-152.30367,-187.64906,0.9864188,-1.0813857,18.148317,95000
1.0,0.99999994,0.005060939,0.5060939,1.0050609,0.46448588,-48.801926,-156.06244,-193.33716,1.473593,-4.064516,35.10739,100000
1.0,0.9999999,0.0043280134,0.43280137,1.0043279,1.4985745,-17.470522,-154.98978,-204.49196,8.847047,-7.5751805,72.78578,105000
1.0,0.99999994,0.00491274,0.49127403,1.0049127,1.3724508,-62.76734,-164.26578,-212.01173,7.201927,-5.536301,67.38739,110000
1.0,0.9999999,0.0051381495,0.513815,1.005138,0.39950815,-0.06525621,-161.39148,-207.2919,1.1615021,-1.1735983,18.975899,115000
1.0,0.99999994,0.004390034,0.4390034,1.00439,0.34164542,-54.24587,-164.47969,-215.07173,1.2397386,-1.900898,21.684563,120000
1.0,0.9999991,0.005036627,0.50366277,1.0050358,0.58946633,0.15180212,-163.99109,-218.49217,3.667717,-3.6437218,40.689724,125000
1.0,1.0,0.0047867047,0.47867048,1.0047867,0.36262265,-57.19012,-163.26254,-223.93507,1.1034367,-0.7454617,18.400951,130000
1.0,1.0,0.0057662204,0.5766221,1.0057663,0.40086576,0.12399849,-165.52234,-220.9448,1.5897547,-1.1481454,19.003109,135000
1.0,1.0000001,0.004966142,0.49661422,1.0049663,0.39125562,-12.023899,-166.43199,-235.883,0.9710164,-1.5274817,18.983778,140000
1.0,1.0,0.004816854,0.4816854,1.0048169,0.618498,-35.95239,-169.37215,-221.37857,6.2556043,-4.967682,55.41232,145000
1.0,1.0,0.0050158934,0.5015894,1.0050159,0.6774253,-30.991375,-171.2695,-245.40318,4.6433325,-5.177119,55.69306,150000
1.0,1.0,0.005503254,0.5503254,1.0055033,0.83394057,-16.565664,-165.76813,-221.24757,4.4805617,-4.137287,49.87508,155000
1.0,1.0,0.004817697,0.4817697,1.0048177,0.64192337,-48.172703,-166.397,-231.40451,5.631021,-5.892949,53.747093,160000
1.0,0.99999994,0.0057776254,0.5777626,1.0057776,0.7861819,-43.430363,-169.1337,-252.47215,2.739536,-4.060049,43.035446,165000
1.0,1.0,0.0048315967,0.48315972,1.0048316,0.78011715,-54.349697,-168.42685,-213.11018,5.5800657,-4.275369,55.09999,170000
1.0,1.0,0.0044343495,0.44343492,1.0044343,0.5582411,-11.951843,-164.0416,-214.68552,1.7810947,-2.690248,31.684065,175000
1.0,1.0,0.0043732612,0.43732613,1.0043733,1.0643688,-48.958107,-168.75186,-262.70154,4.0263286,-6.231208,78.8825,180000
1.0,0.9999946,0.005291952,0.5291952,1.0052866,0.7169522,0.26456755,-167.10846,-259.068,3.4845505,-3.785884,39.0633,185000
1.0,1.0,0.0051520867,0.5152087,1.0051521,0.66730297,-0.643928,-168.72675,-230.88402,3.357072,-6.592121,46.19027,190000
1.0,1.0,0.0046080286,0.4608029,1.004608,0.7466958,-0.11879352,-169.76207,-264.49628,2.2002716,-3.572367,45.21376,195000
1.0,1.0,0.004608345,0.46083453,1.0046084,0.65174115,-0.83969903,-166.73993,-244.38722,2.1356757,-2.6189299,28.678274,200000
1.0,0.99997485,0.0054323347,0.5432335,1.0054072,1.3104248,0.67747843,-164.556,-210.25954,6.1640496,-5.0263534,43.25243,205000
1.0,1.0,0.0047459444,0.4745944,1.004746,0.83254564,-52.727497,-167.35698,-275.99014,23.196735,-14.488134,160.09167,210000
1.0,0.9999999,0.004576927,0.4576927,1.0045768,0.4907046,-35.34335,-168.38962,-221.35155,2.9924612,-1.6582682,40.754364,215000
1.0,1.0000001,0.004479448,0.44794482,1.0044795,0.4338022,-0.022605658,-165.31425,-272.0958,1.8233541,-3.7572582,26.273739,220000
1.0,0.99999994,0.0044957316,0.44957316,1.0044956,3.1314886,-32.132088,-167.53757,-277.60858,31.250689,-27.174541,204.90694,225000
1.0,0.9999999,0.0046742847,0.4674285,1.0046742,1.1402007,-35.65004,-169.17174,-273.09518,10.650295,-11.137942,95.514755,230000
1.0,0.9999911,0.005561295,0.55612946,1.0055524,0.74096775,-0.1445415,-165.58499,-222.12857,10.603967,-7.768215,73.238365,235000
1.0,0.9999934,0.00547185,0.54718494,1.0054653,0.8332474,0.570893,-167.83499,-274.33002,5.332823,-3.7275605,42.078423,240000
1.0,0.9999866,0.004524202,0.45242023,1.0045108,1.0989116,0.39153042,-169.46042,-277.243,5.4185295,-2.9141147,47.027622,245000
1.0,1.0,0.004303506,0.4303506,1.0043035,0.82221967,-33.40758,-166.16446,-213.24303,4.411983,-4.9340363,43.68518,250000
1.0,1.0,0.0047071544,0.47071546,1.0047071,0.7712973,-6.4136643,-164.93869,-221.81073,9.537868,-8.897715,58.31201,255000
1.0,1.0,0.004749636,0.4749636,1.0047497,0.67571235,-57.18748,-167.72868,-283.06308,6.955298,-4.598676,50.976414,260000
1.0,1.0,0.004693769,0.46937695,1.0046937,0.53582954,-49.043526,-169.82968,-235.58414,2.5698478,-2.9625983,27.118721,265000
1.0,0.99999994,0.0044590207,0.4459021,1.0044589,0.9979505,-1.2520291,-168.50632,-286.89108,4.6491356,-3.2720077,51.49327,270000
1.0,0.9999999,0.0042644613,0.42644614,1.0042644,0.8048985,-0.40828505,-169.041,-231.5098,5.673506,-6.273349,68.41371,275000
1.0,1.0,0.0046770326,0.46770325,1.004677,0.58651626,0.14410797,-171.1678,-236.78069,2.8046803,-2.5065067,33.59861,280000
1.0,0.9999999,0.0041787103,0.41787106,1.0041786,0.72105706,-55.864605,-166.97427,-236.97629,3.1220412,-6.3859158,52.864628,285000
1.0,1.0000001,0.00412237,0.412237,1.0041225,0.46507043,-47.756313,-169.84302,-292.30087,2.1440344,-1.3543406,27.92677,290000
1.0,0.999964,0.0040700845,0.40700847,1.004034,0.49006748,0.75008714,-167.53029,-223.10103,1.5090189,-1.1232078,25.025759,295000
1.0,0.9999711,0.0040757935,0.40757936,1.0040469,0.39889804,0.52145934,-171.4273,-242.29593,1.5806234,-1.1481662,21.56619,300000
1.0,0.99999726,0.004059333,0.40593332,1.0040566,0.6473139,0.1337485,-169.2302,-289.2723,2.6525047,-4.613234,37.28554,305000
1.0,1.0,0.0043965466,0.4396547,1.0043966,0.35888824,-17.887798,-175.58804,-234.1208,1.0584507,-1.4266913,16.881777,310000
1.0,0.99999994,0.004760158,0.4760158,1.0047601,0.5029604,-0.82431686,-169.4685,-242.4324,4.7470965,-2.258702,29.882267,315000
1.0,1.0,0.004083901,0.4083901,1.0040839,0.31828642,-64.64274,-172.74142,-243.35129,2.19816,-1.4557829,23.675774,320000
1.0,1.0,0.0039710514,0.39710516,1.0039711,0.47302043,-37.09941,-174.24593,-278.65097,5.5495877,-5.1248693,42.372406,325000
1.0,1.0,0.0044048387,0.44048387,1.0044048,0.7315536,-53.617653,-170.52649,-236.73546,10.9091215,-7.1585617,59.19486,330000
1.0,1.0,0.004192261,0.4192261,1.0041922,0.48213053,-46.00869,-168.59802,-253.58525,1.645794,-2.4286923,27.323406,335000
1.0,1.0,0.004328683,0.4328683,1.0043287,0.536281,-62.301258,-175.16888,-222.05864,4.9843273,-2.8270288,32.358574,340000
1.0,0.99998856,0.0042976635,0.42976636,1.0042862,0.59280735,0.2172777,-171.85892,-225.48338,4.3957167,-2.5993507,31.070415,345000
1.0,1.0,0.0049401703,0.49401703,1.0049402,0.64091086,-45.962677,-169.42409,-230.21953,4.2103558,-3.4588878,34.79907,350000
1.0,0.99997354,0.0037336187,0.3733619,1.0037072,0.52530813,0.7826631,-173.11697,-222.3639,3.5503972,-2.902031,30.821705,355000
1.0,0.99999994,0.0046953815,0.4695382,1.0046953,0.56117547,-24.927618,-171.45898,-279.87595,7.3495693,-7.9448266,46.32846,360000
1.0,1.0,0.004260462,0.42604616,1.0042604,0.45757937,-24.597776,-171.51282,-283.6908,1.8911368,-2.678565,28.767311,365000
1.0,1.0,0.004097439,0.4097439,1.0040975,0.61069906,-0.03208399,-172.36057,-220.28145,2.2123182,-3.611349,33.44782,370000
1.0,1.0,0.003725512,0.3725512,1.0037255,1.1218591,-0.27680376,-172.17206,-214.92934,9.179272,-8.307249,68.5467,375000
1.0,1.0,0.0044658715,0.44658715,1.0044658,0.6178526,-19.229221,-178.51753,-224.64084,2.6262033,-6.2023406,40.129196,380000
1.0,1.0,0.004253323,0.42533234,1.0042533,0.41732347,-27.889229,-172.4747,-291.6561,1.8928143,-1.8749496,22.496546,385000
1.0,1.0,0.0034391272,0.34391278,1.0034391,2.6978488,0.07384056,-173.13174,-220.72124,25.149008,-22.580133,204.11186,390000
1.0,0.99999994,0.004239284,0.42392844,1.0042392,0.34328675,-50.783024,-174.94876,-231.77217,1.7258596,-0.991957,22.15398,395000
1.0,0.99999994,0.0042814584,0.42814583,1.0042814,0.33796948,-47.19961,-172.272,-231.66022,1.418817,-1.3547305,17.126633,400000
