actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,0.99999994,0.0073520187,0.7352019,1.007352,0.0022804928,-25.387056,-26.554623,-29.242105,0.077323824,-0.024435872,1.1575491,5000
1.0,1.0,0.006904912,0.6904912,1.006905,0.01626185,-1.1792241,-49.05091,-53.941772,0.050835423,-0.1378711,2.7042928,10000
1.0,0.9999999,0.006414992,0.6414992,1.0064149,0.3713081,-37.713043,-66.153564,-73.94518,0.46828645,-0.9644596,13.13348,15000
1.0,1.0,0.007902179,0.7902179,1.0079021,0.22105828,-0.25835824,-78.89641,-86.68543,0.440394,-0.46214876,7.908055,20000
1.0,0.99999994,0.0070345933,0.7034593,1.0070345,0.37196273,-34.73582,-84.92676,-98.43209,1.8934137,-1.3552543,28.699066,25000
1.0,1.0000001,0.006731042,0.6731043,1.0067312,0.30366787,-25.044125,-90.99844,-110.511116,2.0716805,-3.5161645,40.961273,30000
1.0,0.99999994,0.0064387154,0.64387155,1.0064386,0.24102391,-16.600998,-96.93518,-120.63454,0.68679845,-0.94957554,11.607234,35000
1.0,1.0,0.007369197,0.73691976,1.0073692,0.34752473,-37.339035,-106.78415,-129.55388,1.8504974,-3.6376686,47.260815,40000
1.0,0.9999999,0.0052997554,0.5299756,1.0052997,0.3248831,-40.17651,-109.491234,-137.55972,1.1039883,-2.0488281,26.489098,45000
1.0,0.99999994,0.0065872464,0.65872467,1.0065871,0.4151459,-1.0660956,-114.96138,-145.63138,1.4151341,-1.7468184,24.475845,50000
1.0,0.99999994,0.00517313,0.517313,1.0051731,0.37019047,-3.547355,-124.012436,-153.29584,3.8373384,-1.9569324,48.19856,55000
1.0,1.0,0.005942192,0.5942192,1.0059422,0.3046027,-45.768433,-128.98338,-160.2097,2.7854836,-1.2821045,29.414492,60000
1.0,0.9999918,0.0048279017,0.48279017,1.0048196,0.36983234,0.5109554,-130.71411,-164.40756,1.9814063,-1.6850673,24.455362,65000
1.0,1.0,0.0050680693,0.50680697,1.0050681,0.31111553,-40.64872,-137.15015,-172.10318,1.8014581,-1.1385272,26.00494,70000
1.0,0.9999999,0.005093482,0.5093483,1.0050933,0.33123186,-1.848181,-139.125,-178.30428,1.088157,-2.0551631,23.73196,75000
1.0,1.0,0.005046648,0.50466484,1.0050466,0.36057878,-45.164448,-142.41147,-182.8137,1.997187,-2.0796154,28.50002,80000
1.0,1.0,0.0056516877,0.5651688,1.0056517,0.45451027,-43.79138,-146.05856,-187.07916,2.7152896,-5.4574285,63.11708,85000
1.0,1.0,0.0044792206,0.44792205,1.0044792,0.40152478,-0.22307435,-149.78705,-184.71078,1.0506337,-0.8602342,18.303211,90000
1.0,1.0,0.00505621,0.505621,1.0050563,0.42653313,-8.065047,-153.27509,-199.84824,1.9570575,-2.9429662,27.402891,95000
1.0,1.0,0.0052592605,0.52592605,1.0052593,0.3164318,-61.553185,-155.2391,-194.65459,0.78421265,-0.9773,14.174603,100000
1.0,0.99996895,0.00511178,0.511178,1.0050807,0.40404004,0.85304976,-154.90112,-198.22385,1.528517,-4.26385,40.569195,105000
1.0,1.0,0.0051099774,0.5109978,1.00511,6.4834313,-0.18735203,-159.48459,-206.13377,43.604187,-44.127842,414.21686,110000
1.0,0.99999994,0.006107175,0.61071754,1.0061071,0.46280098,-29.751999,-159.56851,-201.33089,1.5612894,-1.0244409,22.752506,115000
1.0,0.99999994,0.0048704464,0.4870447,1.0048704,0.3442081,-46.501324,-160.7894,-198.48203,3.406945,-1.2470378,27.96019,120000
1.0,1.0,0.0045661293,0.45661294,1.0045661,0.4733644,-44.3294,-165.45903,-217.02965,4.9459443,-1.6492932,46.31444,125000
1.0,0.99999994,0.005127896,0.5127896,1.0051278,0.4635747,-27.801704,-166.73355,-220.7376,3.874673,-2.6498852,39.54855,130000
1.0,1.0,0.0040644244,0.40644246,1.0040644,0.55756617,-40.99162,-167.82996,-244.73067,1.3580416,-1.9970652,24.2279,135000
1.0,1.0000001,0.0054252073,0.54252076,1.0054253,0.74339175,-54.001198,-167.32755,-248.25992,9.66744,-4.9636664,62.714424,140000
1.0,1.0,0.0045533804,0.45533806,1.0045534,0.35162282,-19.19817,-168.07501,-220.77873,3.917636,-1.5847307,30.872879,145000
1.0,0.9999999,0.0047610095,0.47610095,1.0047609,0.5034296,-2.9786236,-171.6778,-241.39702,2.4074867,-4.6199107,43.682003,150000
1.0,1.0,0.0044995816,0.4499582,1.0044996,0.4038103,-37.393036,-169.54953,-251.39552,2.6664832,-1.7076362,26.038118,155000
1.0,1.0,0.0054285983,0.54285985,1.0054286,0.5379232,-35.691772,-168.80072,-224.66313,5.8370833,-3.1002314,40.935978,160000
1.0,1.0,0.004894232,0.48942322,1.0048943,1.0273732,-10.334863,-168.53818,-216.09134,8.951476,-4.384411,60.473133,165000
1.0,1.0,0.0044384124,0.44384122,1.0044384,0.7154541,-23.782555,-168.22345,-269.45038,4.223112,-6.0221252,49.515675,170000
1.0,0.99999774,0.0043563964,0.43563965,1.0043541,0.68736875,0.16734761,-167.62314,-252.2312,3.9662623,-3.203528,44.31747,175000
1.0,1.0,0.008717202,0.8717202,1.0087172,10.01445,-28.946846,-168.26593,-223.17836,32.07266,-34.165394,236.17656,180000
1.0,1.0,0.005089867,0.5089867,1.0050899,0.6490848,-54.14566,-167.78688,-274.28262,6.316346,-4.9159174,49.244095,185000
1.0,1.0000001,0.004159047,0.4159047,1.0041592,0.9403675,-0.23706916,-163.38216,-229.8245,5.179506,-4.9467487,54.316277,190000
1.0,0.9999922,0.0054649813,0.5464982,1.0054572,0.9999638,0.2666908,-159.84032,-276.99805,3.2919538,-4.222219,41.04645,195000
1.0,1.0000001,0.0054657552,0.54657555,1.0054659,1.1358792,-11.322716,-157.72786,-278.1872,9.675815,-5.8845644,66.364426,200000
1.0,1.0000001,0.0047800117,0.4780012,1.0047802,0.74755484,-49.94216,-161.16096,-215.43192,3.521402,-3.3973064,41.69903,205000
1.0,0.99999994,0.005676843,0.56768435,1.0056767,0.98411226,-48.861153,-162.37178,-228.0416,5.4128647,-3.2145622,58.591557,210000
1.0,1.0000001,0.0046216883,0.46216887,1.0046219,1.3702466,-4.5487814,-160.8013,-282.7615,4.47675,-4.099427,48.742256,215000
