actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.99999994,0.28947583,0.28740525,0.19008897,0.014220666,0.73376644,0.13611914,11.372419,0.007152759,25.450771,-25.448702,0.79600096,1.0030364,0.3448858,1.0095156,-25.456877,27.747692,0.09299514,-1.4479123,-25.609324,-27.22643,-25.578579,0.76008487,-0.6286027,14.993236,27.840687,5000
1.0,0.10056017,0.0708597,0.21048371,0.015630445,0.6584307,0.118469045,11.375811,0.29535025,39.235558,-39.205856,0.827788,1.0447202,0.35270318,1.009952,-39.22227,41.31637,0.14316875,-0.6912124,-39.577232,-49.04842,-39.642418,0.7742407,-0.5189147,18.377518,41.459538,10000
1.0,0.070063435,-0.0017890576,0.19788615,0.016091708,0.6291648,0.108077705,11.076008,1.0255349,49.455055,-49.383205,0.8580704,1.0750307,0.36693174,1.0107712,-49.364323,51.46404,0.22642335,-1.3562789,-49.87451,-69.08521,-49.808205,1.0443871,-1.0632967,26.747562,51.690464,15000
1.0,0.06417026,-0.0009801092,0.19027053,0.01756226,0.5911714,0.109663144,11.289706,1.0152736,60.742737,-60.677586,0.8799888,1.1181878,0.3373153,1.0091026,-60.689014,62.75086,0.23688346,-16.003204,-61.08919,-87.19023,-61.23001,2.079724,-1.3981432,37.810406,62.987743,20000
1.0000002,0.059817415,-0.00030007557,0.19003548,0.017340735,0.58120805,0.10881925,10.854195,1.0050166,68.94154,-68.881424,0.83608896,1.0545435,0.3143715,1.0079025,-68.86728,70.94915,0.23540515,-0.024054036,-69.18683,-108.93681,-69.139404,2.587311,-1.525569,40.79561,71.184555,25000
1.0000001,0.058979873,-0.0029952694,0.1892377,0.015459726,0.64991975,0.1150269,11.185231,1.0507846,83.55892,-83.49694,0.89551973,1.1188494,0.3244561,1.0084218,-83.47746,85.56435,0.17264125,-0.50969565,-83.785706,-116.18908,-83.61667,1.3215706,-1.2359045,33.434994,85.736984,30000
0.99999994,0.0638637,0.0019017728,0.17053774,0.015890222,0.61794674,0.102635294,11.398499,0.9702214,93.212265,-93.1503,0.88765883,1.1208344,0.28591737,1.00654,-93.142235,95.2207,0.20249458,-5.793221,-93.396484,-146.13356,-93.25946,2.3999789,-1.7487677,41.862064,95.423195,35000
1.0,0.060345728,-0.0004851258,0.19834487,0.015962198,0.6136977,0.10877496,11.139642,1.0080391,99.94925,-99.88843,0.8744284,1.1090248,0.2947446,1.00692,-99.87051,101.95568,0.099733986,0.3290149,-100.11633,-166.14594,-100.056854,0.794392,-0.8371494,24.050861,102.05541,40000
1.0000002,0.060558,0.003959716,0.17348792,0.019224567,0.53775406,0.09754884,11.386135,0.9346129,108.768295,-108.7117,0.8981378,1.1294036,0.2854861,1.0065203,-108.72241,110.77878,0.23295774,-0.51372904,-109.05687,-169.51703,-109.10159,2.5080326,-1.7498928,37.108967,111.011734,45000
1.0000001,0.07176575,0.0044645052,0.16783802,0.017431598,0.5670815,0.096262485,11.202003,0.93779063,113.17499,-113.10769,0.8791475,1.0970534,0.28501123,1.0064985,-113.11085,115.18595,0.37800166,-10.378653,-113.45499,-175.00339,-113.38237,1.627306,-3.6979709,39.6289,115.56395,50000
1.0000001,0.07230532,-0.013022322,0.19230497,0.018867936,0.5369232,0.098801404,10.99836,1.1801019,120.126175,-120.04085,0.8696023,1.109491,0.29791084,1.0071001,-120.04607,122.120255,0.30178574,-0.10519369,-120.49637,-177.72406,-120.65847,2.7641594,-2.5949795,47.434143,122.42204,55000
1.0,0.06912049,0.014967794,0.17369,0.016948171,0.574825,0.10976716,11.231993,0.7834536,125.83324,-125.77908,0.86492616,1.0899,0.29138073,1.0067923,-125.78754,127.854996,0.2398377,-0.35052732,-126.06384,-178.59132,-126.05825,1.4101673,-1.9152273,31.753973,128.09483,60000
0.99999994,0.06654128,0.009032581,0.18165343,0.017767087,0.5702644,0.10280615,11.1428385,0.864256,130.2788,-130.22128,0.85376656,1.0853109,0.2765968,1.0061204,-130.22083,132.29395,0.2542824,-1.006901,-130.51524,-216.28993,-130.56836,2.403132,-2.1566634,40.926476,132.54823,65000
0.9999999,0.06703788,0.0003352065,0.22249609,0.01533439,0.610211,0.10331714,10.960805,0.99499977,130.72958,-130.66289,0.82999414,1.063871,0.284912,1.006494,-130.62842,132.73642,0.36721635,-4.433993,-130.93825,-209.60199,-130.88443,3.335796,-4.1432195,44.77946,133.10364,70000
1.0000002,0.067386895,-0.008699192,0.20307252,0.015953727,0.575423,0.091081515,11.132037,1.1290932,136.2127,-136.13663,0.87474656,1.1229926,0.27009797,1.0058362,-136.1445,138.20984,0.4682824,-2.759469,-136.49727,-264.4958,-136.6023,5.6014595,-5.2595387,63.545067,138.67812,75000
