actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.2899628,0.2872869,0.23102394,0.014713631,0.73593396,0.13941363,11.338439,0.00922835,25.24627,-25.243595,0.7928766,0.99852884,0.36526704,1.0106736,-25.246693,27.54423,0.26101232,-3.9657733,-25.489471,-27.714708,-25.314152,0.7893751,-1.141917,24.113468,27.805243,5000
1.0,0.100037225,0.08073513,0.1811877,0.017598597,0.6125573,0.12357493,11.156963,0.19294909,40.8759,-40.856598,0.7962329,1.0047928,0.35357478,1.0100012,-40.856617,42.966637,0.16746381,-1.8132689,-41.118958,-49.769737,-41.16477,1.1332715,-0.9734236,18.49886,43.1341,10000
0.99999994,0.07113544,-0.0087657925,0.22695796,0.014136443,0.68883723,0.11475948,10.969054,1.1232269,49.116173,-49.03627,0.8626409,1.0873007,0.3920145,1.012294,-49.009552,51.1197,0.31843302,-1.6537259,-49.61864,-73.28414,-49.786823,4.0269074,-3.844468,59.615746,51.438133,15000
1.0,0.06242097,0.0014930201,0.21209918,0.015472165,0.6386598,0.110874444,11.061712,0.97608143,58.886093,-58.825165,0.8606633,1.0840827,0.3476919,1.0096595,-58.820183,60.897243,0.10776129,0.068273984,-59.24187,-93.5927,-59.183502,0.96179634,-0.9961802,24.42621,61.005005,20000
0.99999994,0.058589604,-0.0103296535,0.18602666,0.017033385,0.60018986,0.10619968,11.0850525,1.1763053,69.15687,-69.08795,0.8820071,1.1061283,0.32598966,1.0085015,-69.07279,71.15504,0.12924394,-17.397728,-69.441956,-107.632774,-69.45976,1.0451449,-1.3242725,25.001478,71.28428,25000
1.0000001,0.05427619,-0.00087153027,0.19795783,0.015087476,0.64109886,0.105700284,11.13484,1.0160573,79.47918,-79.42403,0.8619312,1.0901756,0.29936266,1.0071695,-79.41151,81.48548,0.09898381,-11.840689,-79.68404,-116.39831,-79.61392,0.920062,-1.0852711,22.575418,81.584465,30000
1.0,0.050985795,-0.0074352273,0.20876718,0.01839479,0.5636328,0.106395885,11.031746,1.1458294,88.37497,-88.31654,0.84675694,1.0739546,0.3087649,1.0076269,-88.28694,90.37516,0.24461877,-0.750262,-88.55141,-125.71427,-88.620674,1.3590496,-1.1618179,26.752367,90.61978,35000
0.9999999,0.054711983,0.0002667331,0.19999596,0.017735776,0.58149767,0.118757136,11.0778885,0.9951248,96.22333,-96.16888,0.8642558,1.094372,0.3127882,1.0078268,-96.16119,98.23142,0.1779995,-5.373031,-96.45606,-154.49548,-96.443436,1.1280392,-1.6383582,29.481155,98.409424,40000
1.0,0.064160824,-0.0018684501,0.21645977,0.016098749,0.5891126,0.09517142,11.2862835,1.0291214,107.82709,-107.76106,0.89406437,1.1256092,0.28491837,1.0064943,-107.75465,109.83171,0.20332028,-2.2363822,-108.10019,-133.39392,-108.274445,2.2679405,-1.7008098,40.083443,110.035034,45000
0.9999999,0.067986794,0.0075491527,0.17854318,0.016722431,0.5797332,0.102753796,11.129768,0.88896155,109.92909,-109.86865,0.8367934,1.0582811,0.29105237,1.0067523,-109.83759,111.94339,0.76003444,0.3297488,-110.20216,-145.81439,-110.4216,5.435853,-4.7267094,82.14257,112.70342,50000
