actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.28947586,0.2851498,0.18489331,0.01422191,0.733781,0.13612753,11.370692,0.014944385,25.579725,-25.575397,0.7974222,1.0036081,0.35395256,1.0100226,-25.58487,27.874899,0.17795715,-2.1833763,-25.732548,-27.26595,-25.650295,0.7628505,-0.6285085,18.433107,28.052856,5000
1.0000001,0.103607275,0.055443995,0.20165882,0.015629707,0.65850836,0.11847223,11.416241,0.46486387,38.916557,-38.868393,0.8453207,1.0636921,0.37286526,1.0111222,-38.89386,40.983124,0.15083635,-0.82979345,-39.2881,-49.212208,-39.33707,1.2705035,-0.8485986,24.106607,41.13396,10000
0.9999999,0.08428117,0.004747065,0.17544179,0.016092043,0.6291593,0.10807907,11.167946,0.9436759,50.22772,-50.148186,0.85652584,1.0754118,0.3473957,1.0096548,-50.135246,52.24212,0.19816498,-1.8711928,-50.496624,-68.37678,-50.460255,1.0433426,-1.119225,27.249592,52.440285,15000
1.0,0.076834515,0.009917604,0.15102427,0.017563222,0.59121186,0.10966462,11.403885,0.87092257,63.309845,-63.242928,0.87566483,1.1115606,0.31666246,1.008022,-63.267784,65.32778,0.1761511,-16.396006,-63.563587,-85.408134,-63.66706,1.1773913,-1.257498,27.111155,65.50393,20000
1.0000001,0.06835177,-0.002802789,0.1564333,0.017336892,0.58126086,0.1088451,10.961205,1.0410054,72.48273,-72.41157,0.8494569,1.0699041,0.30896103,1.0076365,-72.406364,74.487564,0.3062618,-0.71755606,-72.64948,-101.83974,-72.56938,2.1756787,-1.6042905,42.45634,74.79382,25000
0.9999998,0.0657198,-0.0035873693,0.15637448,0.015473951,0.6496777,0.11499491,11.2888155,1.0545858,87.718475,-87.64918,0.89774,1.1121705,0.3341205,1.0089309,-87.63595,89.72382,0.17981058,-1.479495,-87.893814,-122.43363,-87.79795,1.4526997,-1.5297359,37.450962,89.90363,30000
1.0000001,0.07112372,0.021974027,0.13960977,0.015891518,0.61791813,0.10264396,11.509507,0.69104505,97.48868,-97.43952,0.8861609,1.1085033,0.28378916,1.0064429,-97.44527,99.51709,0.1294099,-8.662721,-97.61636,-151.80792,-97.565216,1.015324,-1.7517581,28.2356,99.6465,35000
1.0,0.06438016,0.006334906,0.16328251,0.015960697,0.61369634,0.108762145,11.197758,0.90160155,104.83588,-104.77783,0.86880255,1.100041,0.30403483,1.0073301,-104.78044,106.84954,0.13326555,1.2838851,-105.03924,-170.57597,-105.05162,1.1050123,-0.7739197,23.620522,106.9828,40000
0.9999999,0.07170116,0.0099157905,0.14870457,0.01923832,0.5377391,0.0975524,11.487121,0.8617066,113.4689,-113.40712,0.89819914,1.134929,0.2864829,1.0065569,-113.409485,115.485374,0.20342268,0.48271245,-113.66832,-192.94418,-113.65939,3.262901,-2.5196133,38.253635,115.6888,45000
1.0000001,0.06659427,-0.0073036468,0.15988603,0.01743586,0.56695426,0.09623899,11.243035,1.1096737,119.486824,-119.41293,0.90265936,1.1328872,0.28904578,1.0066838,-119.43178,121.486206,0.67224085,-7.8547707,-119.74031,-206.90933,-119.5063,3.4714355,-5.2020516,63.71457,122.15845,50000
1.0,0.079602584,0.010747047,0.16517167,0.018855631,0.53705627,0.098825015,11.116184,0.86499125,128.1775,-128.10866,0.85345656,1.0776653,0.2952497,1.0069737,-128.1289,130.19522,0.34707007,-1.5171664,-128.47809,-236.25096,-128.45038,1.3555477,-1.5082704,32.43357,130.5423,55000
1.0,0.06153867,0.003221929,0.16162902,0.016957073,0.5747635,0.10981025,11.299292,0.9476439,132.95459,-132.89629,0.87985116,1.1103107,0.29807627,1.007108,-132.92828,134.96492,1.1204519,-0.35330048,-133.1742,-256.8585,-133.26053,16.936666,-18.385124,172.12218,136.08537,60000
1.0,0.057755098,0.017240003,0.15474525,0.017759152,0.57042164,0.10284773,11.226845,0.7014982,140.33844,-140.29793,0.85249174,1.0797837,0.27209398,1.0059228,-140.29788,142.3616,0.25828633,-0.6648251,-140.52765,-295.64987,-140.4842,2.463042,-3.3523486,42.41225,142.61989,65000
0.99999994,0.06802488,-0.0049032825,0.20440175,0.015332015,0.6102163,0.10330477,10.996727,1.0720807,137.42435,-137.35141,0.84369016,1.067234,0.29344788,1.006889,-137.33186,139.42633,0.5300888,-6.9423876,-137.67435,-199.92548,-137.68759,3.0634375,-2.8266947,42.156082,139.95642,70000
1.0000002,0.06278706,-0.0076544518,0.16032939,0.015933907,0.5758325,0.091116786,11.161623,1.1219113,145.0317,-144.96126,0.8789051,1.1150011,0.27358136,1.0059878,-144.9607,147.03001,0.66509134,-1.1981097,-145.31294,-339.30075,-145.51566,10.189295,-5.984621,98.014915,147.6951,75000
1.0,0.05977795,0.01516986,0.14161476,0.016353376,0.56748354,0.093845785,10.898348,0.7462298,150.18925,-150.14464,0.82146657,1.0351622,0.26022503,1.0054173,-150.18188,152.20984,0.3611706,-12.10332,-150.471,-361.36096,-150.52043,1.739651,-2.9396417,36.85738,152.57101,80000
1.0,0.064168826,0.0069949315,0.14665122,0.015039196,0.619212,0.10401049,11.2850685,0.8909917,152.18176,-152.12459,0.8692293,1.0997013,0.28334823,1.0064229,-152.12672,154.19518,0.49779785,-1.4625412,-152.46147,-210.43344,-152.60028,10.576437,-5.052249,85.78079,154.69298,85000
1.0000001,0.061517328,0.007942993,0.15137665,0.017008273,0.5656394,0.09728089,11.254627,0.87088203,152.63889,-152.58533,0.8538538,1.0811447,0.27049726,1.0058535,-152.5729,154.6527,0.47589555,-1.0541657,-152.87912,-395.9368,-152.89517,3.212681,-4.942648,56.98147,155.12859,90000
1.0,0.061868675,-0.022618562,0.20668258,0.017807905,0.5440019,0.09048444,11.453138,1.3655899,154.61197,-154.52747,0.9325006,1.1747298,0.2884705,1.0066572,-154.52121,156.59601,0.35726297,-0.12911358,-154.87933,-265.90488,-154.76443,1.9392941,-4.2044854,44.123497,156.95328,95000
1.0,0.055231106,-0.011291867,0.19748047,0.018568136,0.51954865,0.084199145,11.125561,1.2044476,156.92372,-156.85721,0.8858668,1.1143792,0.26773918,1.0057347,-156.84503,158.91817,0.38064933,-1.8083166,-157.18729,-213.32304,-157.20493,2.50577,-2.1474383,56.794502,159.29881,100000
1.0,0.052169275,0.0021618488,0.19097313,0.01610767,0.5886914,0.095573366,11.210283,0.9585608,157.15784,-157.10783,0.8702065,1.0944833,0.26434514,1.0055903,-157.1192,159.16559,0.4292497,-1.1116527,-157.42131,-268.317,-157.25552,4.8987236,-5.796253,60.59666,159.59483,105000
1.0,0.050912112,0.0028999941,0.15566534,0.0152417775,0.5803998,0.10242081,11.311786,0.94303924,161.75421,-161.70619,0.8726335,1.1033397,0.27209795,1.005923,-161.68289,163.76303,0.60692173,-0.09530541,-161.98352,-305.8909,-162.03018,7.293985,-6.6182714,66.96037,164.36995,110000
1.0000001,0.049623054,0.0015456164,0.1848606,0.015779149,0.5538244,0.09384367,11.561829,0.9688529,161.81723,-161.76915,0.88012505,1.1311077,0.2774794,1.0061595,-161.74178,163.82494,0.47196218,-1.3604224,-162.18083,-210.23875,-162.29178,4.78758,-1.996584,46.26137,164.2969,115000
