actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28996328,0.28238654,0.22063129,0.014713631,0.73593396,0.13941363,11.347156,0.02612998,25.420101,-25.412523,0.7962878,1.0009918,0.37369725,1.0111719,-25.426014,27.71366,0.3089309,-4.1175313,-25.629663,-27.75374,-25.437445,0.8494464,-1.3168305,26.931324,28.02259,5000
1.0,0.102614574,0.07207933,0.1682289,0.017598597,0.6125573,0.12357493,11.209261,0.29757217,40.894913,-40.86438,0.8155323,1.0275751,0.36063927,1.0104048,-40.870247,42.977398,0.18443087,-2.0457246,-41.127815,-49.428864,-41.0849,1.1332715,-0.9734236,17.581556,43.161827,10000
0.99999994,0.08777175,-0.013422515,0.21923737,0.014136443,0.68883723,0.11475948,11.089478,1.1529253,49.95099,-49.849792,0.87705123,1.1087115,0.39573115,1.0125283,-49.819508,51.950092,0.25982204,-1.2007576,-50.379257,-71.37708,-50.497253,2.5162258,-2.7113335,47.632477,52.209915,15000
1.0,0.08360606,-0.0091325175,0.19386253,0.015472165,0.6386598,0.110874444,11.220007,1.1092327,60.92423,-60.83149,0.887935,1.1144199,0.35632297,1.0101572,-60.820385,62.925255,0.1779257,-0.016918562,-61.228447,-98.48947,-61.032265,1.1282103,-0.9265502,32.0109,63.10318,20000
0.99999994,0.07378694,0.007996714,0.19156353,0.017033385,0.60018986,0.10619968,11.243956,0.8916243,71.32432,-71.25853,0.8710029,1.0932869,0.3226015,1.0083257,-71.25178,73.34064,0.13990064,-17.847086,-71.58481,-106.95635,-71.619835,1.0451449,-1.3242725,26.964966,73.48054,25000
1.0000001,0.06686284,0.0058379807,0.17019749,0.015087476,0.64109886,0.105700284,11.235836,0.9126872,82.0968,-82.03578,0.8638916,1.0934786,0.30369514,1.0073785,-82.051384,84.110016,0.11412179,-14.782962,-82.29216,-119.42017,-82.21505,1.1061305,-1.0852711,24.051193,84.22414,30000
1.0,0.06290537,0.00054644234,0.18541719,0.01839479,0.5636328,0.106395885,11.164669,0.9913132,91.2743,-91.211945,0.851447,1.0817727,0.31868327,1.0081247,-91.184814,93.282974,0.27554393,-0.99334526,-91.45052,-127.95396,-91.45845,1.4741118,-1.3273289,31.462826,93.55852,35000
0.9999999,0.058429487,-0.007992502,0.17087065,0.017735776,0.58149767,0.118757136,11.208826,1.1367888,98.058395,-97.991974,0.8895346,1.120561,0.3287092,1.008644,-98.006584,100.059044,0.3158968,-3.8362403,-98.30675,-158.40079,-98.570175,2.8335166,-1.9509846,54.317383,100.37494,40000
1.0,0.0657198,0.014381636,0.17565626,0.016098749,0.5891126,0.09517142,11.406034,0.7811674,110.244965,-110.193634,0.8834568,1.1079808,0.2794819,1.0062488,-110.21745,112.265594,0.32010263,-2.852255,-110.54619,-136.67664,-110.74257,2.9495423,-2.0718272,42.52435,112.58569,45000
0.9999999,0.060628776,-0.00400791,0.1778572,0.016722431,0.5797332,0.102753796,11.204397,1.0661058,113.63584,-113.571205,0.8643019,1.0944129,0.30474326,1.0074295,-113.55716,115.63927,0.74096704,-0.5324255,-113.90155,-149.25507,-113.97648,6.9888225,-4.883057,85.55875,116.38023,50000
1.0,0.05715465,0.0036496813,0.16627358,0.018473832,0.53702354,0.08975906,11.144346,0.93614376,120.29594,-120.24243,0.8599013,1.0924692,0.2720534,1.005921,-120.243744,122.305504,0.48808295,-4.398533,-120.52919,-204.27846,-120.30733,4.418224,-5.207827,75.96968,122.79359,55000
1.0,0.06431941,-0.006933095,0.1773503,0.016127724,0.59292424,0.101375066,11.238354,1.1077917,123.92566,-123.85441,0.8780302,1.1016304,0.28496206,1.0064962,-123.83476,125.92522,0.7219333,-0.86339504,-124.1764,-163.35109,-123.86659,5.023077,-6.2543693,78.95434,126.64715,60000
1.0000001,0.060844347,0.018179998,0.13945076,0.020661335,0.49964842,0.08660754,11.212727,0.7012048,131.03229,-130.98961,0.84923935,1.0723711,0.27131397,1.0058889,-130.97635,133.05635,0.63989365,-31.4989,-131.26003,-229.232,-131.27393,7.9734707,-9.904491,79.02861,133.69624,65000
1.0,0.05201328,0.0051347106,0.15201075,0.01778185,0.527053,0.088104144,11.099122,0.90128076,131.44814,-131.40126,0.85090256,1.0753391,0.27128825,1.0058877,-131.40564,133.45917,0.37262827,-0.113762856,-131.68208,-241.56853,-131.63011,1.6070989,-2.630835,42.715675,133.8318,70000
1.0000001,0.05466787,0.01752372,0.15069416,0.019187974,0.53426236,0.09762214,11.314386,0.6794512,139.21056,-139.17342,0.8563362,1.0845923,0.27216703,1.0059168,-139.15318,141.234,0.33047456,0.25399807,-139.43044,-202.25476,-139.56842,2.695252,-2.4528852,44.91,141.56447,75000
1.0,0.052934516,0.005044841,0.1694786,0.016040152,0.5768045,0.09288788,11.08172,0.9046966,143.9682,-143.9203,0.8567515,1.0868812,0.26853904,1.005769,-143.90527,145.97902,0.42232084,-40.63629,-144.15442,-191.59674,-143.97726,4.6542344,-4.925561,57.565884,146.40134,80000
1.0000001,0.051269755,0.012931861,0.16324145,0.015961807,0.5746542,0.096136115,11.259914,0.7477682,143.3454,-143.30705,0.8453451,1.0632406,0.2695609,1.005813,-143.27669,145.36415,0.50824386,-0.10430217,-143.59892,-279.52225,-143.7125,6.0128293,-4.0374646,63.295837,145.87239,85000
1.0,0.050011598,0.007050159,0.15687846,0.016566247,0.55060804,0.08566223,11.182249,0.8590295,149.67946,-149.6365,0.8514794,1.0794226,0.25796515,1.0053236,-149.64983,151.69183,0.5951357,-25.17808,-149.90097,-219.04306,-150.10428,3.327204,-3.4560757,57.641388,152.28697,90000
0.99999994,0.041668076,0.004125199,0.15490563,0.016801966,0.57703084,0.093903854,11.2689085,0.9009986,151.03674,-150.9992,0.87343806,1.1032585,0.27015954,1.0058389,-151.00299,153.0467,0.36360693,-3.641455,-151.28777,-302.38718,-151.32533,1.3654397,-2.030925,34.535812,153.41031,95000
1.0,0.042191185,0.0058406233,0.17439345,0.018705849,0.5194086,0.09683785,11.546887,0.8615677,157.40343,-157.36707,0.8706786,1.1190044,0.29080355,1.0067654,-157.376,159.41603,0.25321078,-5.5593257,-157.70131,-215.12341,-157.79288,3.4912887,-3.1765208,40.770695,159.66924,100000
1.0,0.043653153,-0.0049030907,0.19626215,0.016351586,0.5822718,0.09339766,11.214345,1.1123192,156.14343,-156.09488,0.87935275,1.1104873,0.26825368,1.0057569,-156.1221,158.14429,0.575876,0.3234168,-156.4061,-214.06697,-156.40356,8.287748,-6.458956,76.90917,158.72017,105000
1.0,0.041554213,0.008321227,0.1460764,0.020550922,0.49152586,0.087605484,11.476692,0.7997501,160.0336,-160.00037,0.86634284,1.1082759,0.26771054,1.0057335,-160.00446,162.04765,0.71824896,-2.9887094,-160.34744,-219.09633,-160.35754,7.6402383,-7.210449,84.52559,162.7659,110000
0.9999999,0.038492255,-0.0012748132,0.20417961,0.016725313,0.56681466,0.100022376,11.428685,1.0331187,159.94423,-159.90446,0.88896173,1.1144735,0.29600903,1.0070097,-159.85738,161.94995,0.657207,-32.692238,-160.2987,-227.21921,-160.51025,11.18048,-5.1172557,106.98279,162.60716,115000
1.0,0.042076245,-0.0015526019,0.22685386,0.018449524,0.5185606,0.08832798,11.279634,1.0368998,163.08374,-163.04012,0.890355,1.1122125,0.2679372,1.0057433,-163.04877,165.08792,0.5291456,0.78777456,-163.39029,-204.2884,-163.32932,5.2839823,-5.490813,61.2582,165.61707,120000
0.99999994,0.03890161,0.00029321294,0.19089022,0.0177188,0.5336727,0.08639604,11.188588,0.9924627,160.70859,-160.66998,0.8814204,1.1090194,0.26560968,1.0056438,-160.65506,162.71452,0.41130626,-0.32805803,-161.04443,-224.76518,-161.07123,5.1746836,-6.149279,64.04817,163.12582,125000
