actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
0.99999994,0.28936902,0.28848597,0.13500051,0.014220666,0.73376644,0.13611914,11.374061,0.0030516016,25.610039,-25.609158,0.79686,1.0034211,0.31426266,1.0079008,-25.612085,27.906425,0.06400894,-0.44974217,-25.667545,-26.943497,-25.724281,0.76008487,-0.6286027,14.061117,27.970434,5000
1.0,0.09615888,0.087011896,0.13453071,0.015630445,0.6584307,0.118469045,11.418222,0.095123634,45.795124,-45.785976,0.81050247,1.0173066,0.29857218,1.0071316,-45.781803,47.889267,0.08923775,-12.951426,-45.896523,-48.01084,-45.966377,0.7742407,-0.63558626,17.646358,47.978504,10000
1.0,0.04239694,0.016997255,0.13871942,0.016091708,0.6291648,0.108077705,11.126466,0.5990924,60.81332,-60.787918,0.83163357,1.0378871,0.29774514,1.0070921,-60.77439,62.83741,0.09800355,-1.6088418,-60.954155,-66.743614,-60.93346,1.0443871,-0.97561586,16.171345,62.935413,15000
1.0,0.041701548,0.003889476,0.15035638,0.01756226,0.5911714,0.109663144,11.250746,0.90673065,74.624405,-74.58659,0.8633261,1.0883303,0.29912,1.0071329,-74.582596,76.63543,0.12510256,0.15515125,-74.74786,-83.15603,-74.79308,1.1736118,-0.67738235,18.096472,76.76053,20000
1.0000002,0.04566503,-0.0033697584,0.18925825,0.017340735,0.58120805,0.10881925,10.7704735,1.0737929,84.35044,-84.30141,0.83488977,1.0584959,0.29301655,1.0068687,-84.30139,86.353935,0.1122232,-12.583839,-84.521385,-97.764496,-84.478065,1.7015303,-1.525569,23.374832,86.466156,25000
1.0000001,0.047621507,-0.0026478732,0.19321054,0.015459726,0.64991975,0.1150269,11.0497055,1.0556024,94.05387,-94.0036,0.8641361,1.0861663,0.30502355,1.0074432,-93.98616,96.05867,0.075735494,-0.51540977,-94.230316,-110.7916,-94.23552,1.062488,-0.712869,14.354889,96.13441,30000
0.99999994,0.050012697,-0.0029009997,0.20552105,0.015890222,0.61794674,0.102635294,11.303753,1.0580053,101.53305,-101.48015,0.89649844,1.120733,0.2809162,1.0063131,-101.46896,103.53646,0.12954417,-0.019710556,-101.68005,-122.22126,-101.71501,1.389233,-1.7487677,28.249165,103.66601,35000
1.0,0.053165607,-0.0132623315,0.21262169,0.015962198,0.6136977,0.10877496,11.018628,1.2494532,108.2856,-108.21917,0.8728733,1.1048704,0.29601145,1.0070099,-108.21074,110.27935,0.1054009,-13.521735,-108.51649,-132.8195,-108.47981,0.7825502,-0.74475706,19.127106,110.38475,40000
1.0000002,0.05671213,0.010383451,0.18981025,0.019224567,0.53775406,0.09754884,11.284208,0.8169095,117.69548,-117.64915,0.8707118,1.1001735,0.28081632,1.0063087,-117.63811,119.71217,0.21673688,-15.592226,-117.94914,-142.99031,-117.93306,2.11881,-1.1512053,31.631939,119.92891,45000
1.0000001,0.055638958,0.0074392273,0.18043032,0.017431598,0.5670815,0.096262485,11.064021,0.8662946,124.750885,-124.70269,0.849079,1.0629565,0.27885795,1.0062209,-124.69112,126.76454,0.194481,-0.35026717,-124.94532,-150.98805,-125.00911,1.8974184,-1.4856352,35.298275,126.95902,50000
1.0000001,0.056904715,-0.005405291,0.21695735,0.018867936,0.5369232,0.098801404,10.895077,1.0949886,125.62227,-125.55996,0.8553703,1.0759369,0.27920467,1.0062364,-125.540825,127.6231,0.19825593,-0.40127125,-125.81624,-158.41841,-125.70001,1.3213294,-1.4410014,35.29583,127.82136,55000
1.0,0.05843332,0.0003087162,0.20084733,0.016948171,0.574825,0.10976716,11.106735,0.99471676,131.85063,-131.79251,0.8560816,1.0902836,0.28803688,1.0066372,-131.7796,133.85757,0.18882014,-0.040535673,-132.02199,-181.88303,-132.04565,1.2422372,-1.51493,24.460619,134.0464,60000
0.99999994,0.06440077,0.0060607977,0.19294472,0.017767087,0.5702644,0.10280615,11.051395,0.9058894,133.39339,-133.33505,0.8517785,1.0720721,0.29208654,1.0068252,-133.32642,135.40627,0.5537821,-0.34928128,-133.6794,-171.48471,-133.68475,5.3336887,-6.1466765,57.904808,135.96005,65000
0.9999999,0.05933947,-0.0004902921,0.21668199,0.01533439,0.610211,0.10331714,10.84021,1.0082624,139.06088,-139.00107,0.83508897,1.0587933,0.280182,1.0062802,-138.98459,141.06668,0.14820632,-1.8109903,-139.30222,-176.7568,-139.28534,1.2106252,-1.3932883,30.258099,141.21489,70000
1.0000002,0.064383514,-0.0076116584,0.19618003,0.015953727,0.575423,0.091081515,10.993116,1.1182238,138.4326,-138.36061,0.854043,1.0780102,0.26287293,1.0055282,-138.35666,140.43051,0.20371962,-4.918787,-138.64664,-181.86957,-138.6731,2.0526612,-2.2901263,33.573963,140.63423,75000
1.0,0.07057612,-0.0063433526,0.22310135,0.016352762,0.5674124,0.093835846,10.721622,1.0898795,142.61865,-142.54173,0.8354059,1.0738133,0.2816323,1.0063454,-142.53085,144.61865,0.35898954,0.65939164,-142.95752,-258.80917,-142.95163,1.7363861,-1.4808573,30.397503,144.97765,80000
1.0000001,0.068731174,-0.004306345,0.20706521,0.015054153,0.61908084,0.10400225,11.041615,1.062655,138.45105,-138.37799,0.87321985,1.0995878,0.28920963,1.0066758,-138.34705,140.45343,0.38286114,0.6808561,-138.82596,-279.4521,-138.90666,2.7975256,-2.3098454,35.539833,140.83629,85000
1.0,0.06720692,0.0018873308,0.19399475,0.01701748,0.56572884,0.097332664,10.982011,0.9719176,143.05084,-142.98552,0.85224056,1.0842359,0.27625054,1.0061052,-143.01259,145.05884,0.33733344,0.025268793,-143.39359,-287.64322,-143.4028,2.7168171,-1.7954341,41.017365,145.39616,90000
1.0,0.06686212,-0.010618554,0.22353828,0.017829467,0.5436495,0.09044842,11.205452,1.1588126,148.81595,-148.73846,0.8845365,1.1216192,0.28229138,1.0063751,-148.71448,150.8117,0.22026695,-0.21026713,-149.13245,-200.66534,-149.33469,1.5254024,-1.5737295,38.207047,151.03197,95000
1.0,0.06197182,0.012765536,0.20087822,0.018595703,0.5191659,0.08416538,10.877085,0.7940106,149.52884,-149.47966,0.84235275,1.0537875,0.2514375,1.0050426,-149.45174,151.54665,0.19735026,0.52153695,-149.76634,-233.83023,-149.81305,2.6503067,-1.607467,36.562866,151.744,100000
1.0,0.06846878,0.0068177474,0.21880655,0.01612251,0.58838284,0.095511414,11.020145,0.90042543,143.60477,-143.54312,0.84723985,1.0627898,0.26742268,1.0057212,-143.53607,145.61731,0.19206429,-0.50293636,-143.89581,-236.71149,-143.88634,1.7386006,-2.1362922,31.679665,145.80937,105000
1.0000001,0.06475839,-0.0106257,0.22652587,0.0152534,0.58006585,0.102410555,11.043243,1.1640823,146.47346,-146.39807,0.859326,1.0976895,0.27868286,1.006213,-146.39513,148.46906,0.16690055,0.09653792,-146.75024,-231.08984,-146.68362,1.8919475,-1.2531642,34.52101,148.63596,110000
