actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28995717,0.2890089,0.14319025,0.014713631,0.73593396,0.13941363,11.327011,0.003270471,24.770851,-24.769905,0.79219943,0.99702483,0.31760082,1.0080696,-24.767403,27.06793,0.03162559,-1.8415707,-24.821053,-26.642685,-24.818287,0.50675726,-0.71148306,11.1143875,27.099556,5000
1.0,0.096910454,0.07423656,0.15120459,0.017598597,0.6125573,0.12357493,11.208963,0.23396748,42.928368,-42.905693,0.79887974,1.0117482,0.33573124,1.0090172,-42.910324,45.011623,0.046848536,-1.3980896,-43.099937,-47.87119,-43.09965,1.1332715,-0.9734236,13.748075,45.05847,10000
0.99999994,0.045306295,0.0039158026,0.15577054,0.014136443,0.68883723,0.11475948,11.033523,0.91357046,58.642048,-58.600655,0.84159493,1.0725166,0.30243477,1.0073173,-58.5888,60.653282,0.11314877,-2.8974154,-58.79119,-67.21092,-58.886913,1.0089624,-0.6903346,19.252369,60.76643,15000
1.0,0.053059578,-0.0042790985,0.19160493,0.015472165,0.6386598,0.110874444,11.047703,1.080647,71.10414,-71.0468,0.86905354,1.0945289,0.30258483,1.0073246,-71.033676,73.107185,0.13522974,-2.3935983,-71.252426,-85.083984,-71.130905,0.96179634,-0.9265502,24.363926,73.24242,20000
0.99999994,0.05211189,-0.011231134,0.21440077,0.017033385,0.60018986,0.10619968,11.065114,1.2155197,82.61155,-82.5482,0.85250497,1.0838526,0.31374446,1.0078748,-82.53212,84.60819,0.094965905,-4.966872,-82.8106,-104.145905,-82.95349,1.0451449,-1.3242725,27.814796,84.703156,25000
1.0000001,0.051994324,0.001212989,0.17866547,0.015087476,0.64109886,0.105700284,11.0881,0.9766708,91.05875,-91.007965,0.8635162,1.0865266,0.28381827,1.0064442,-90.9973,93.06641,0.13665558,-0.20935798,-91.21727,-121.0032,-91.038445,0.91432625,-1.0852711,28.712729,93.203064,30000
1.0,0.05208076,-0.0010445006,0.19516271,0.01839479,0.5636328,0.106395885,10.960667,1.0200554,96.0527,-95.99957,0.8498925,1.0743533,0.29739374,1.0070754,-95.98088,98.05872,0.114543274,-0.2921412,-96.250984,-132.14188,-96.129745,1.3590496,-1.1618179,27.01539,98.17326,35000
0.9999999,0.05231071,0.0067407507,0.18132547,0.017735776,0.58149767,0.118757136,11.006109,0.8711401,108.640236,-108.594666,0.83457017,1.06777,0.29912317,1.0071579,-108.590225,110.65414,0.08232066,-0.19424978,-108.77796,-132.84355,-108.75026,0.89023274,-0.91142833,18.065145,110.73646,40000
1.0,0.05477267,-0.0063282684,0.21911998,0.016098749,0.5891126,0.09517142,11.1724415,1.1155369,114.89146,-114.83035,0.87842274,1.1103152,0.26882485,1.0057813,-114.821,116.890915,0.11941445,-8.700461,-115.02487,-151.9494,-114.95343,0.9239842,-1.168356,25.648987,117.01033,45000
0.9999999,0.05644725,0.00090901926,0.17767225,0.016722431,0.5797332,0.102753796,11.020336,0.98389614,118.96309,-118.90755,0.8420435,1.068075,0.28118816,1.0063212,-118.898926,120.97032,0.13183767,-0.005629733,-119.19495,-152.96527,-119.11213,0.87180424,-1.3614794,26.098637,121.10216,50000
1.0,0.06026359,0.0061717397,0.18412097,0.018473832,0.53702354,0.08975906,11.0043125,0.89758766,128.30693,-128.25284,0.8493201,1.0771296,0.2666831,1.0056896,-128.25179,130.31879,0.21483377,-1.4930766,-128.48073,-162.91663,-128.4127,1.0337899,-1.3175405,29.12872,130.53362,55000
1.0,0.062127214,-0.003198232,0.20114514,0.016127724,0.59292424,0.101375066,11.077257,1.0514787,131.83238,-131.76706,0.8529274,1.0838646,0.27857554,1.0062083,-131.75128,133.83539,0.17950076,-9.403387,-132.06494,-165.505,-132.20432,1.5326039,-1.159856,33.94692,134.0149,60000
1.0000001,0.063417815,0.0033833752,0.18063681,0.020661335,0.49964842,0.08660754,11.065069,0.9466495,134.38722,-134.3272,0.8577931,1.0831707,0.26321125,1.0055424,-134.32037,136.39615,0.40980828,-1.0113155,-134.62053,-170.31668,-134.69339,4.0576954,-5.9225364,49.219284,136.80595,65000
1.0,0.061526593,0.007935497,0.18310261,0.01778185,0.527053,0.088104144,10.878022,0.8710233,137.1688,-137.1152,0.8120792,1.0373824,0.26201674,1.0054922,-137.10373,139.18222,0.17407338,0.29814297,-137.41153,-238.9848,-137.47449,2.285719,-2.0233667,37.033894,139.3563,70000
1.0000001,0.068086624,3.402587e-05,0.20564428,0.019187974,0.53426236,0.09762214,11.143904,0.9995003,136.44077,-136.37271,0.86611176,1.0907073,0.2776645,1.0061678,-136.34781,138.44696,0.30427006,0.23217097,-136.70477,-209.27615,-136.78844,1.6115857,-2.0119083,33.047096,138.75124,75000
1.0,0.07029124,-0.0009867842,0.23016065,0.016040152,0.5768045,0.09288788,10.914006,1.0140386,141.37073,-141.29945,0.8473067,1.0692748,0.27661657,1.0061214,-141.29239,143.37585,0.20965672,-0.056434363,-141.73373,-196.68686,-141.8133,2.6747584,-1.3829157,36.472595,143.58551,80000
1.0000001,0.06875818,0.0052017393,0.21067023,0.015961807,0.5746542,0.096136115,11.073639,0.92434734,144.24991,-144.18634,0.849092,1.0791347,0.27715355,1.0061451,-144.1835,146.26126,0.20026322,-0.61802506,-144.4979,-186.21503,-144.59131,1.7322047,-1.2452371,34.468033,146.46152,85000
1.0,0.06681127,0.016484495,0.17962238,0.016566247,0.55060804,0.08566223,11.005621,0.75326777,143.13898,-143.08865,0.840273,1.0531713,0.24880794,1.0049524,-143.08353,145.16042,0.27896982,-0.8733549,-143.40625,-191.34406,-143.54141,1.6451957,-1.0897948,30.03039,145.43939,90000
0.99999994,0.065993406,-0.0030166549,0.2218543,0.016801966,0.57703084,0.093903854,11.0526705,1.0457115,140.27806,-140.20905,0.8718332,1.102587,0.2669746,1.005702,-140.21724,142.28075,0.22401056,-1.3239093,-140.59665,-188.01479,-140.68686,1.8817087,-2.1919,32.644783,142.50476,95000
1.0,0.0658338,0.0039638104,0.18401659,0.018705849,0.5194086,0.09683785,11.309231,0.9397906,144.05566,-143.99379,0.86280894,1.1112335,0.28208157,1.0063657,-143.97736,146.066,0.47456524,-1.2097385,-144.38397,-195.20348,-144.33597,5.0069547,-4.2802615,53.60573,146.54056,100000
1.0,0.061604556,0.010490252,0.1915037,0.016351586,0.5822718,0.09339766,10.968246,0.8297163,146.80371,-146.7526,0.84542334,1.0593667,0.26103938,1.0054513,-146.73322,148.81964,0.21984637,-2.0074396,-147.0752,-199.29039,-147.0394,2.8608334,-3.6626017,35.192047,149.03949,105000
1.0,0.063859574,-0.007316368,0.23079428,0.020550922,0.49152586,0.087605484,11.266464,1.1145697,147.17053,-147.09935,0.87434363,1.110686,0.27047038,1.0058523,-147.06396,149.16908,0.2974487,-0.9058217,-147.48087,-198.304,-147.46518,1.3025838,-1.1317742,28.410217,149.46654,110000
0.9999999,0.06073205,-0.012753913,0.2477508,0.016725313,0.56681466,0.100022376,11.131081,1.210003,142.82382,-142.75035,0.85861427,1.0973742,0.2859614,1.006542,-142.72119,144.81761,0.26261035,-0.61297596,-143.06221,-201.75362,-142.93913,1.595976,-4.6421742,45.568485,145.08022,115000
1.0,0.05854961,0.008975111,0.21763918,0.018449524,0.5185606,0.08832798,11.015646,0.84670925,143.23041,-143.18083,0.8453661,1.0668125,0.26460916,1.0056014,-143.16765,145.24498,0.25922328,-28.582346,-143.5327,-197.33755,-143.63226,1.679211,-2.1787965,40.824467,145.5042,120000
0.99999994,0.06055581,0.00090307323,0.1996382,0.0177188,0.5336727,0.08639604,10.888717,0.9850869,148.41933,-148.35966,0.8327875,1.0570285,0.25187337,1.0050752,-148.32587,150.42531,0.18601811,-12.193882,-148.64932,-207.5675,-148.6489,1.45027,-1.3170604,28.500149,150.61133,125000
1.0000002,0.060180444,0.009202994,0.18550864,0.01817334,0.4952983,0.08542214,11.138975,0.84707665,148.94641,-148.89543,0.8592243,1.088692,0.26893538,1.0057861,-148.89957,150.9614,0.64261395,-0.12870347,-149.3497,-208.90985,-149.25595,5.3784633,-5.149526,58.695095,151.604,130000
0.99999994,0.062442612,-0.0011222635,0.23822957,0.016653076,0.5358594,0.08598486,10.870533,1.0179727,148.15562,-148.09206,0.831299,1.0621984,0.28088212,1.0063115,-148.0613,150.16081,0.31041738,-32.331573,-148.55498,-202.66924,-148.4715,1.3601385,-1.89775,36.531525,150.47124,135000
1.0,0.06329678,0.001966951,0.19938351,0.022374198,0.47666767,0.09056075,10.848579,0.968925,150.1767,-150.11537,0.83071226,1.0588777,0.26849788,1.0057673,-150.11296,152.18443,0.24018393,-12.247077,-150.5041,-216.74445,-150.40276,2.093347,-1.3301408,36.892536,152.42462,140000
1.0000001,0.06711875,0.013333428,0.2021582,0.01871119,0.522825,0.08784054,11.039154,0.8013457,146.591,-146.53722,0.8375524,1.0570812,0.26750118,1.0057245,-146.51785,148.61006,0.3315291,0.07270184,-146.94553,-217.53505,-146.9303,2.127699,-1.775189,41.601707,148.94159,145000
0.9999999,0.061733026,-0.0033057453,0.22521134,0.018742329,0.5115398,0.08735292,10.984599,1.053549,149.0766,-149.01157,0.84818435,1.076604,0.2608753,1.0054445,-148.9875,151.07874,0.267409,-2.3171456,-149.35127,-218.50398,-149.17946,2.1541998,-3.058895,45.887505,151.34615,150000
0.9999999,0.06365005,0.00012288056,0.22603437,0.015522789,0.5725531,0.08982513,11.091573,0.99806947,150.17517,-150.11163,0.848052,1.0872018,0.26271734,1.0055217,-150.06464,152.18082,0.5766642,-1.3594785,-150.48083,-213.15158,-150.72775,4.6645226,-3.3190703,59.079617,152.75748,155000
1.0000002,0.06326963,0.0073812427,0.19875635,0.019064706,0.5148147,0.09254706,10.993534,0.8833368,146.71405,-146.65817,0.8192048,1.0445536,0.27125838,1.0058864,-146.61328,148.72733,0.27409875,-6.1782074,-147.0635,-209.17421,-147.06,2.2305825,-1.8486462,31.35363,149.00142,160000
