actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.28964254,0.28782743,0.11269047,0.014221163,0.7336846,0.13610518,11.38293,0.006266744,25.680264,-25.67845,0.7980396,1.0055605,0.31635734,1.0080066,-25.691826,27.976097,0.09017716,-0.41615602,-25.738504,-26.958157,-25.792934,0.760484,-0.62842685,14.072294,28.066275,5000
0.9999999,0.097026184,0.08656346,0.12292791,0.015630554,0.65842545,0.11846625,11.431557,0.10783406,46.27838,-46.267918,0.8111151,1.021128,0.30788454,1.0075834,-46.258213,48.372528,0.07175271,-14.233917,-46.368744,-48.200462,-46.346863,0.7736435,-0.53688914,15.17965,48.444283,10000
1.0,0.048894588,0.019352661,0.12850565,0.016096132,0.62909824,0.10808502,11.166018,0.60419625,61.35769,-61.328148,0.8355306,1.0458486,0.29450387,1.0069386,-61.329712,63.38398,0.0936292,-1.704928,-61.453804,-66.86736,-61.44027,1.0442265,-0.97556204,16.359276,63.477608,15000
0.9999999,0.049583983,0.009926321,0.13115208,0.017562926,0.5912588,0.10968551,11.350775,0.7998079,75.67839,-75.63874,0.871587,1.1058356,0.29006293,1.0067309,-75.625854,77.695045,0.14079744,-0.21055174,-75.74703,-83.2626,-75.678925,1.1754028,-0.6785846,19.630404,77.835846,20000
1.0,0.055858307,-0.0057531954,0.1810426,0.017341273,0.5811948,0.10882735,10.943171,1.1029963,85.65442,-85.592804,0.85308003,1.0721471,0.30343583,1.0073658,-85.60939,87.65603,0.17051943,-11.762525,-85.82446,-97.818794,-85.69667,1.7014239,-1.5285599,26.991116,87.826546,25000
1.0000001,0.052633755,0.002602382,0.15859552,0.015462887,0.6497492,0.11502363,11.200944,0.95055676,95.40564,-95.355606,0.8861294,1.1009703,0.31856027,1.0081184,-95.33978,97.41636,0.09961193,-0.9631306,-95.56476,-110.54324,-95.493805,1.0649488,-0.715622,21.975082,97.51597,30000
1.0,0.05552523,-0.0030286256,0.15732239,0.015896391,0.6176488,0.102599934,11.479043,1.0545449,103.271065,-103.21251,0.9141921,1.1534641,0.28603423,1.0065453,-103.246216,105.27458,0.17341444,0.089977786,-103.47911,-122.02739,-103.4352,0.9759911,-1.7530985,29.041502,105.448,35000
1.0000001,0.05509317,-0.012491724,0.16822585,0.015960455,0.6137212,0.10878159,11.159146,1.2267382,109.92427,-109.85668,0.8912034,1.1099266,0.29587156,1.0070032,-109.85324,111.918785,0.11442877,-10.8346,-110.155075,-132.91869,-110.12154,0.853214,-0.7464475,20.555422,112.03321,40000
0.9999999,0.05369965,0.0029936554,0.14747503,0.019227251,0.5378665,0.0975752,11.410023,0.9442519,119.05303,-119.00233,0.88713175,1.1155866,0.2854171,1.006517,-119.01907,121.06254,0.14664009,-15.895923,-119.30163,-142.17587,-119.257164,1.2637892,-1.1137892,24.30003,121.209175,45000
0.99999994,0.059124425,0.016279591,0.12688851,0.017432222,0.5670062,0.0962475,11.21554,0.7246554,126.64538,-126.60254,0.8565946,1.0743942,0.27516428,1.0060573,-126.583466,128.66771,0.1347808,-0.49872786,-126.807396,-151.91243,-126.79263,1.6155521,-1.5182002,24.376068,128.80249,50000
1.0,0.05759524,-0.0050883284,0.18954691,0.01885745,0.5369505,0.09883633,10.988524,1.0883464,128.00772,-127.945045,0.8619634,1.0732728,0.30076537,1.0072368,-127.903076,130.00987,0.1907061,0.1154753,-128.28998,-157.96655,-128.2229,0.93006736,-1.2987174,24.700638,130.20058,55000
0.9999999,0.058215905,0.014775516,0.1592374,0.016953688,0.57461315,0.10977486,11.224766,0.7461945,134.08304,-134.03961,0.8540961,1.0683385,0.28887278,1.0066758,-134.01187,136.10449,0.20671467,-0.25326398,-134.24347,-168.05579,-134.16673,1.0697992,-1.3851783,27.200369,136.3112,60000
1.0,0.057527203,0.009405603,0.14872448,0.017750515,0.5704941,0.10284862,11.164387,0.83650166,136.24,-136.19188,0.8643587,1.0804012,0.28880972,1.0066729,-136.19427,138.25607,0.34384888,0.074110806,-136.50458,-174.08876,-136.37497,1.7918609,-1.8210914,41.99023,138.59991,65000
1.0,0.053412925,-0.0018867977,0.17456135,0.015329912,0.60991603,0.10326346,10.939203,1.0353248,140.875,-140.8197,0.8519276,1.0735797,0.2877991,1.0066262,-140.81,142.87973,0.16538277,-0.8397497,-141.11887,-176.41444,-141.14264,1.9123025,-1.5669281,36.746307,143.04512,70000
0.99999994,0.055738125,0.0061892676,0.1597166,0.01593834,0.5759623,0.091142625,11.11317,0.8889581,141.41615,-141.36661,0.8468199,1.0636052,0.25282967,1.0051138,-141.37918,143.42746,0.2564944,-1.777878,-141.61844,-180.6909,-141.49966,2.121095,-2.0738583,55.10443,143.68396,75000
1.0,0.055810187,-0.0013942529,0.1760099,0.016348708,0.5673558,0.093825996,10.80492,1.024982,144.72229,-144.66507,0.8438954,1.0579023,0.26999116,1.0058316,-144.64532,146.72673,0.36503637,-0.18959802,-145.0264,-192.36877,-144.91208,2.5574927,-2.0252938,38.559574,147.09177,80000
1.0,0.05785344,0.0028793719,0.15773325,0.0150342025,0.6192604,0.10399031,11.160598,0.9502299,141.29784,-141.24286,0.8709047,1.0964848,0.29120365,1.0067544,-141.24086,143.30748,0.35159665,0.75976896,-141.67139,-189.44156,-141.59381,2.8074546,-3.3148491,50.414886,143.65907,85000
0.99999994,0.057227112,-0.0013300835,0.17790434,0.017009161,0.5658437,0.097303264,11.115475,1.0232422,146.19254,-146.13397,0.8640617,1.0839677,0.2784067,1.0061681,-146.15543,148.19737,0.44167048,0.74694556,-146.53528,-242.91109,-146.66855,5.3417935,-2.5094013,51.07019,148.63904,90000
0.9999999,0.060569655,0.008506658,0.16478094,0.01781245,0.5439414,0.09048678,11.304869,0.8595557,151.50891,-151.45685,0.86740804,1.0930778,0.2702855,1.0058444,-151.44751,153.52325,0.23495114,-0.81021404,-151.81831,-194.68335,-151.86237,2.0632007,-1.0512209,27.263416,153.75821,95000
1.0,0.053613797,7.155631e-05,0.18910253,0.018606503,0.51914585,0.08420694,11.01211,0.99866533,152.72661,-152.67307,0.8639916,1.0819032,0.26178214,1.0054113,-152.65454,154.7321,0.23848298,0.8850889,-152.95227,-267.46344,-153.09277,2.4371722,-2.333021,45.065006,154.97058,100000
