actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.29011142,0.28853408,0.12522173,0.014715745,0.73587364,0.1394164,11.3355665,0.0054370775,24.88066,-24.879084,0.7931694,0.9989483,0.32020715,1.0082026,-24.876286,27.177395,0.040645376,-2.259796,-24.919598,-26.661724,-24.889482,0.50737995,-0.71366507,12.0381155,27.21804,5000
1.0000001,0.09836161,0.063032,0.13998826,0.017597534,0.61254215,0.12356271,11.220552,0.3591808,43.312817,-43.277485,0.80949247,1.027747,0.33989555,1.0092423,-43.271564,45.38509,0.09867112,-1.6691061,-43.45658,-47.87059,-43.400948,1.1291379,-0.97130084,17.658588,45.48376,10000
1.0000001,0.052216794,-0.004095739,0.14170389,0.014136169,0.6887847,0.11475489,11.072473,1.0784372,59.346268,-59.289955,0.8545251,1.0907604,0.31629643,1.0080036,-59.284336,61.350174,0.14192969,-3.4278622,-59.487514,-67.221016,-59.520866,1.0086597,-0.69041747,17.932762,61.492104,15000
1.0,0.05649483,0.0031709832,0.14967355,0.015471547,0.63863724,0.11088076,11.156272,0.94387126,72.31387,-72.260544,0.86587137,1.0883358,0.30064866,1.0072311,-72.24457,74.32428,0.113571584,-1.659076,-72.43855,-85.487,-72.45172,0.9603567,-0.9254953,16.186832,74.43785,20000
1.0000002,0.060333,0.0010941445,0.16409864,0.017035503,0.6002317,0.106212586,11.2074175,0.98186487,84.33938,-84.28014,0.8512108,1.0789193,0.3027173,1.007331,-84.26544,86.3478,0.115438074,-4.420777,-84.51492,-104.07274,-84.583084,1.0447707,-1.3254488,22.30121,86.46324,25000
1.0000002,0.056936156,0.00858718,0.14407928,0.015104745,0.6409826,0.10570254,11.17705,0.8491788,93.0125,-92.96415,0.85442877,1.0774202,0.28283054,1.0063994,-92.96756,95.02749,0.12003238,-0.57679915,-93.17529,-116.79938,-93.02104,0.91165483,-1.0851259,23.281307,95.14752,30000
1.0000001,0.055364378,-0.003186867,0.16453381,0.018398605,0.56350094,0.10638311,11.076838,1.0575616,98.188034,-98.129486,0.86908925,1.0929466,0.3009833,1.0072473,-98.111664,100.19209,0.11610497,-0.31837246,-98.36098,-125.75178,-98.30677,1.3590494,-1.1632787,24.607922,100.3082,35000
0.9999998,0.053979736,0.000741238,0.16826643,0.017733186,0.5815866,0.11877099,11.086832,0.9862682,111.01657,-110.96333,0.8550695,1.0858223,0.312287,1.0078018,-110.95791,113.025116,0.10419994,-0.23523049,-111.161224,-133.17412,-111.115524,0.8884992,-0.9105172,22.598148,113.12932,40000
0.9999999,0.053348422,-0.014076222,0.17812233,0.016097415,0.5891369,0.09516411,11.259985,1.2638545,117.14099,-117.07358,0.9028194,1.1455611,0.27612513,1.0060997,-117.07135,119.13301,0.20111413,-9.4712105,-117.296036,-145.21902,-117.4125,1.9737899,-2.3581238,37.904728,119.33412,45000
1.0000002,0.058232825,-0.006605256,0.17662452,0.016701054,0.5800134,0.102776565,11.092428,1.1134284,121.3013,-121.236465,0.8651844,1.0939846,0.29653734,1.0069828,-121.22554,123.301674,0.19808006,0.6321616,-121.87673,-165.16672,-121.84889,0.92182785,-1.3213065,26.21944,123.499756,50000
0.99999994,0.05172376,0.008979699,0.14471157,0.018479504,0.5369481,0.08977628,11.086784,0.8263912,130.32272,-130.27997,0.84388006,1.068535,0.2544476,1.0051795,-130.26923,132.33687,0.19907102,-0.787638,-130.45859,-163.57233,-130.49208,0.9325405,-1.3218313,22.913235,132.53593,55000
1.0,0.0556186,0.005473134,0.16254266,0.016124584,0.59288836,0.10137947,11.139383,0.9015953,134.39932,-134.34918,0.8614221,1.0805746,0.28216037,1.0063691,-134.31529,136.41116,0.23655874,-10.998236,-134.59265,-164.005,-134.54868,1.8251915,-1.7720072,29.89502,136.64772,60000
1.0,0.05700565,-0.00085300114,0.16567998,0.02065345,0.49986565,0.086604334,11.133836,1.0149634,136.79596,-136.7381,0.88127184,1.1110702,0.2653823,1.0056342,-136.7499,138.80074,0.27629524,-0.5263991,-137.0274,-168.9823,-137.01195,3.2869337,-4.016304,42.28023,139.07703,65000
