actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.007903544,0.7903545,1.0079036,0.10729228,-0.8404868,-25.650326,-26.83974,0.15683599,-0.18674392,5.4567995,5000
1.0,1.0,0.007176511,0.71765107,1.0071765,0.101618476,-13.617933,-46.10614,-47.8869,0.6304857,-0.88647795,10.27908,10000
1.0,1.0000001,0.006609185,0.6609185,1.0066093,0.20932826,-1.8059566,-60.974075,-66.6046,0.54591924,-0.77561504,12.792063,15000
1.0,0.9999771,0.0066313874,0.66313875,1.0066085,0.3060388,0.17461553,-74.73503,-83.01207,1.5684834,-1.0516334,16.959171,20000
1.0,1.0,0.006762787,0.6762787,1.0067627,0.31023937,-12.625172,-84.05553,-97.51319,1.4902728,-1.1789922,21.816826,25000
1.0,1.0000001,0.0067601213,0.67601216,1.0067602,0.18616539,-1.0101314,-93.60332,-110.20259,0.7628247,-0.76116616,13.182991,30000
1.0,1.0,0.0059105423,0.5910542,1.0059105,0.24560778,-0.38174242,-101.479126,-121.52977,1.3270974,-2.5314705,24.349113,35000
1.0,0.99999994,0.0064754607,0.64754605,1.0064754,0.20848314,-11.518709,-108.23972,-131.82564,2.032827,-1.7336707,24.029984,40000
1.0,1.0,0.0061752778,0.6175278,1.0061753,0.36072743,-13.514475,-117.51924,-141.98528,2.3183982,-2.7823749,37.13266,45000
1.0,1.0,0.0059308154,0.59308153,1.0059308,0.347441,-0.93725485,-124.96965,-150.44774,2.708089,-2.28954,43.94609,50000
1.0,1.0,0.0058322116,0.5832212,1.0058322,0.46897236,-0.25169224,-126.562386,-159.09106,3.971682,-3.7030253,49.929886,55000
1.0,1.0,0.006372651,0.63726515,1.0063727,0.45508558,0.146666,-132.62592,-178.78091,3.3738294,-5.8179708,48.85688,60000
1.0,0.9999867,0.005964772,0.5964772,1.0059515,0.49820048,0.21002047,-134.51233,-174.34453,2.3068876,-4.25074,33.783585,65000
1.0,1.0,0.005910055,0.5910055,1.00591,0.36585015,-2.6824727,-139.8636,-181.41104,4.715904,-5.447624,78.28602,70000
1.0,1.0,0.0051740427,0.5174043,1.005174,0.39246792,-3.7831104,-139.63672,-188.31844,4.124621,-5.086022,48.37027,75000
1.0,1.0,0.007149732,0.7149732,1.0071497,1.2937733,-0.51448345,-142.5498,-191.31892,25.108343,-37.52921,193.14403,80000
1.0,0.9999994,0.006195095,0.6195095,1.0061945,0.96512747,0.1601078,-137.78314,-198.3682,7.3583307,-7.9080114,115.68183,85000
1.0,0.99997926,0.0059135035,0.5913503,1.0058928,0.6804647,0.41756144,-142.68907,-251.66177,6.659416,-4.066535,55.178688,90000
1.0,1.0,0.005891997,0.58919966,1.005892,0.51716137,-0.744202,-147.68495,-193.37128,5.4021096,-4.0696664,56.129383,95000
1.0,0.99997044,0.0046442198,0.46442202,1.0046147,0.3484671,0.5490916,-146.92517,-224.17862,3.9070687,-4.451737,58.5752,100000
1.0,0.9999943,0.0051237135,0.51237136,1.005118,0.36985856,0.5122559,-143.59828,-210.5167,3.8413727,-2.5715888,37.64035,105000
1.0,1.0,0.0052963602,0.529636,1.0052963,0.33982724,-0.023477346,-146.01527,-215.28026,5.0769105,-3.4947815,49.380688,110000
1.0,1.0,0.006049457,0.6049457,1.0060495,0.47252652,-34.878803,-147.66698,-220.23294,5.885914,-4.589431,55.716778,115000
1.0,0.99999994,0.0058681597,0.58681595,1.0058681,0.46849012,-14.904143,-151.17863,-226.50003,2.6473892,-3.107029,41.33507,120000
1.0,1.0,0.005266129,0.526613,1.0052661,8.646356,-14.526454,-148.61086,-202.57004,21.700972,-18.766201,203.61713,125000
1.0,1.0,0.004781824,0.47818244,1.0047818,0.53345525,-3.0655594,-148.57748,-209.40419,4.2014527,-2.811089,45.03447,130000
1.0,0.99999994,0.004821494,0.48214942,1.0048214,0.564134,-3.8086207,-146.07498,-208.12909,2.4019086,-3.1095116,45.345936,135000
1.0,1.0,0.0048812237,0.48812237,1.0048813,0.5343773,-22.381866,-146.82231,-208.72899,3.7933626,-7.0174375,66.67704,140000
1.0,1.0,0.00506608,0.506608,1.005066,0.47093862,-3.5674522,-150.65073,-233.24678,4.8870077,-4.8944635,45.285614,145000
