actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.007921011,0.79210114,1.007921,0.06380355,-1.8139306,-24.821558,-26.50664,0.18398032,-0.43819988,4.3996167,5000
1.0,1.0,0.009075435,0.90754354,1.0090754,0.1648193,-0.8115424,-43.36651,-47.75728,1.0309138,-0.8209826,13.576958,10000
1.0,1.0000001,0.0069360174,0.6936018,1.0069362,0.26739252,-2.610897,-58.945545,-67.45789,1.0932758,-1.0838096,19.778164,15000
1.0,1.0,0.007112518,0.7112518,1.0071125,0.2756685,-1.643718,-70.99815,-85.89301,1.1554223,-0.55126387,17.618088,20000
1.0,1.0,0.006943945,0.6943945,1.006944,0.16918017,-6.779231,-83.07564,-100.50242,0.9662127,-1.019777,14.250302,25000
1.0,1.0000001,0.0059990566,0.5999057,1.0059992,0.34009963,-0.48489535,-92.28205,-118.801414,2.2136853,-2.2387426,52.248627,30000
1.0,1.0,0.006246787,0.62467873,1.0062468,0.21669038,-0.1620585,-97.832855,-131.70747,1.460003,-1.2883736,17.106382,35000
1.0,0.9999999,0.006523707,0.6523707,1.0065236,0.17398646,-0.59148264,-111.03878,-133.96797,0.9804285,-1.1197964,21.240168,40000
1.0,0.99999994,0.004935015,0.49350154,1.0049349,0.24561241,-9.218597,-117.060234,-152.83551,0.8727725,-1.2108378,17.367632,45000
1.0,0.99998266,0.0062607634,0.62607634,1.0062435,0.3154239,0.17805599,-121.31386,-149.94289,1.4558314,-1.6813264,24.814545,50000
1.0,1.0,0.0053209495,0.5320951,1.0053209,0.45199722,-2.7252374,-130.9043,-159.82648,2.171338,-2.8631759,39.518387,55000
1.0,1.0,0.005955793,0.5955793,1.0059558,0.33822092,-10.332618,-134.94685,-168.49007,1.5893216,-1.2091656,19.326141,60000
1.0,1.0,0.0049477015,0.4947701,1.0049477,0.4675945,-0.9089097,-137.61684,-175.19453,3.8936243,-5.4700966,42.48126,65000
1.0,0.99999994,0.0050693434,0.5069343,1.0050693,0.31789124,-0.5596111,-139.81903,-176.2358,4.689266,-3.1669285,42.906044,70000
1.0,1.0,0.0061830617,0.61830616,1.006183,0.34332833,-0.7665678,-137.85052,-182.8561,1.9942768,-1.5908481,30.115795,75000
1.0,1.0,0.0056548766,0.5654876,1.0056549,0.4158361,-0.521837,-144.75632,-193.34067,3.1553888,-3.0135577,36.22689,80000
1.0,1.0,0.0054079117,0.54079115,1.0054079,0.28939688,-0.46618974,-148.25507,-190.4383,3.235502,-2.360649,38.300373,85000
1.0,1.0,0.004915186,0.49151856,1.0049152,0.42426413,-3.4043565,-148.41078,-206.98303,3.8207595,-3.3717413,39.130955,90000
1.0,1.0,0.005548845,0.55488455,1.0055488,0.6956414,-4.5358033,-144.44977,-209.51596,5.179051,-6.2133718,58.452408,95000
1.0,1.0,0.00639893,0.63989305,1.0063989,0.58019155,-0.9970103,-145.81271,-200.35637,2.4434683,-1.6692681,31.893526,100000
1.0,1.0,0.005148545,0.5148545,1.0051485,0.6022311,-1.3038466,-149.74432,-221.55052,5.575782,-7.910525,88.18519,105000
1.0,1.0,0.005790964,0.5790963,1.005791,0.59876746,-1.1237483,-150.02191,-220.77965,5.113802,-2.6844327,47.01625,110000
1.0,0.99999994,0.0060002767,0.6000277,1.0060002,0.71758604,-0.89724624,-144.99591,-209.09549,5.1610713,-4.0888314,56.968292,115000
1.0,1.0,0.0053123995,0.53124,1.0053124,0.6436726,-33.978676,-147.2196,-201.18448,9.7463875,-10.6007395,92.63971,120000
1.0,0.9999999,0.005278455,0.5278455,1.0052783,0.6320861,-12.791683,-151.12332,-228.5239,3.6665173,-4.067467,49.831345,125000
1.0,1.0,0.0054384945,0.5438495,1.0054384,0.8066534,0.3132286,-151.02766,-213.21198,6.2308726,-5.8627305,70.55281,130000
1.0,0.9999999,0.004970815,0.49708152,1.0049707,0.7310766,-33.162766,-151.38025,-213.53668,4.03916,-4.7245,39.999073,135000
1.0,1.0,0.0056465943,0.5646595,1.0056466,0.8719599,-14.280897,-153.14682,-234.10118,9.492503,-10.258689,93.513954,140000
1.0,1.0,0.0050526755,0.50526756,1.0050527,0.49548808,-0.49974576,-150.13745,-226.44229,3.3016586,-1.9542861,27.137966,145000
1.0,0.9999999,0.0051020365,0.51020366,1.0051019,0.6340704,-0.657307,-152.10631,-251.7094,5.227314,-5.5660596,45.075035,150000
1.0,0.99999994,0.004867049,0.48670495,1.004867,0.8073279,-2.2973385,-153.35603,-254.1318,7.5552516,-4.129697,57.181213,155000
1.0,1.0,0.0052051023,0.52051026,1.0052052,0.8176636,-4.4596014,-149.51843,-234.9484,5.7488537,-6.9780936,75.66301,160000
1.0,1.0,0.005042861,0.50428617,1.0050429,0.442661,-19.895267,-154.26224,-235.94078,2.6851084,-2.199423,32.5982,165000
1.0,1.0,0.0051562195,0.5156219,1.0051563,0.8639544,-0.007997543,-144.96422,-261.15375,5.7325563,-6.7005715,75.0136,170000
1.0,1.0000001,0.0046878196,0.468782,1.0046879,0.6486214,-0.21152714,-153.54077,-237.20894,2.087822,-2.4833682,32.739964,175000
1.0,0.99999297,0.0051877974,0.51877975,1.0051807,0.40714177,0.46566322,-155.7625,-216.63625,2.5591843,-1.9255184,28.812618,180000
1.0,1.0,0.005283255,0.52832556,1.0052832,0.4988085,-0.40283665,-159.0585,-265.47714,4.7408442,-4.9188786,52.23143,185000
1.0,0.99999994,0.004428629,0.4428629,1.0044286,0.48376513,-12.407108,-154.43378,-222.51682,3.1925979,-2.6088655,28.866497,190000
1.0,1.0,0.005029231,0.50292313,1.0050292,0.3794618,-4.12915,-160.00531,-264.84402,3.4993334,-2.7840784,37.13483,195000
1.0,1.0,0.005588967,0.55889666,1.005589,0.4901569,-3.3964143,-154.31747,-267.13626,2.5747776,-2.3655903,28.315863,200000
1.0,1.0,0.005040875,0.50408757,1.0050409,1.1464329,-0.5536327,-155.30518,-226.90616,10.270788,-11.314496,89.0146,205000
1.0,1.0,0.005207052,0.5207052,1.0052071,0.8852886,-15.657603,-151.33737,-209.89842,3.0574312,-4.9405293,44.129158,210000
1.0,0.999979,0.0048049926,0.48049927,1.004784,3.4577198,0.32614952,-156.88628,-271.04797,8.069499,-4.6862235,79.82829,215000
1.0,0.99999994,0.0045425533,0.45425534,1.0045425,0.5488868,-0.615715,-155.36932,-269.47015,3.436867,-4.5981026,41.229805,220000
1.0,0.99999994,0.0049175606,0.49175608,1.0049175,0.46139583,-19.51415,-154.67186,-229.43283,4.5177603,-3.2156565,32.917503,225000
1.0,0.99999994,0.005172015,0.51720154,1.005172,0.8338692,-16.520391,-156.65025,-265.07132,4.416091,-2.7012954,51.3409,230000
1.0,1.0,0.004833504,0.4833504,1.0048335,0.5023128,-3.81258,-157.37695,-235.7626,3.715432,-5.937309,38.181488,235000
1.0,1.0,0.004404372,0.4404372,1.0044044,0.66384614,-2.6945217,-158.30725,-234.23587,6.478758,-5.504076,59.380856,240000
