actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.0077580083,0.7758008,1.007758,0.06849673,-1.1852641,-26.021301,-27.088226,1.3418703,-1.1153923,15.299438,5000
1.0,0.9999999,0.010234737,1.0234737,1.0102346,0.447671,-0.6687299,-44.245934,-48.977844,4.2269077,-3.9539108,38.469254,10000
1.0,0.99999994,0.007090375,0.70903754,1.0070903,0.6163135,-0.66575545,-56.734615,-68.87005,3.6796558,-3.6037421,43.751564,15000
1.0,0.9999999,0.007936838,0.7936838,1.0079367,0.9589491,-13.244924,-70.226585,-86.91457,4.885003,-3.5537696,55.83542,20000
1.0,0.9999727,0.007506147,0.75061476,1.0074788,0.63599205,0.13944905,-77.11524,-102.869835,4.037327,-5.820405,57.56076,25000
1.0,1.0,0.008049036,0.8049036,1.008049,0.65521646,-1.0101819,-90.217094,-117.896805,3.7872262,-4.0559306,64.52604,30000
1.0,1.0000001,0.0064668725,0.64668727,1.006467,0.87549967,-9.245818,-97.03288,-136.33168,4.739805,-4.391838,68.418396,35000
1.0,0.99994546,0.0068181306,0.68181306,1.0067636,0.41006005,1.3533198,-103.05263,-152.92764,2.741884,-2.2469158,39.171806,40000
1.0,1.0,0.006153729,0.6153729,1.0061537,1.112004,0.17152461,-109.90321,-170.38268,4.084489,-5.600382,59.19778,45000
1.0,1.0,0.0059918743,0.59918743,1.0059918,1.744578,-6.688062,-113.206085,-163.5171,18.281078,-17.287205,206.53726,50000
1.0,1.0,0.0063353125,0.63353133,1.0063353,4.100481,-1.5486348,-121.41194,-175.5611,21.764362,-15.1041155,238.06244,55000
1.0,1.0,0.0065026446,0.6502645,1.0065026,1.1853683,-0.4857209,-126.589355,-169.67787,18.388666,-10.63254,176.66774,60000
1.0,1.0000001,0.0060283523,0.6028352,1.0060284,0.8646512,-0.10198042,-132.56485,-210.41469,3.6240344,-5.3697147,46.861866,65000
1.0,1.0,0.005752541,0.57525414,1.0057526,0.88126624,-5.8453517,-133.50043,-178.05737,6.1459627,-5.2980785,73.25626,70000
1.0,0.99999994,0.0052030967,0.5203097,1.005203,1.09402,-2.7458725,-138.82047,-196.71196,15.785751,-13.61403,141.96683,75000
1.0,1.0000001,0.005337067,0.53370667,1.0053372,0.8449708,-12.109706,-146.02196,-195.27219,8.129421,-5.5037365,72.10494,80000
1.0,0.99999994,0.0061259214,0.6125921,1.0061258,1.2695754,-1.247858,-148.55104,-208.18907,13.657797,-11.17658,128.55188,85000
1.0,0.9999678,0.0053029736,0.5302974,1.0052708,0.8724565,0.23648351,-149.56802,-198.23656,7.886401,-7.8265624,76.62835,90000
1.0,1.0,0.005170648,0.5170648,1.0051707,0.85035914,-0.08129805,-154.42035,-242.6237,7.098366,-11.279314,78.68451,95000
1.0,1.0,0.004801973,0.48019728,1.004802,0.4831298,-1.022568,-156.64177,-224.73787,5.39664,-5.7247787,66.21751,100000
1.0,1.0,0.005175529,0.5175529,1.0051755,0.57739455,-1.2729176,-158.45953,-266.00058,8.605019,-10.540191,74.114624,105000
1.0,0.99999994,0.0053562783,0.5356279,1.0053562,3.0301547,-4.7375565,-163.12332,-284.64612,19.554348,-16.444103,215.44531,110000
1.0,0.99999994,0.0050113443,0.5011344,1.0050113,0.7585815,-1.0386425,-164.96042,-251.2144,4.3829255,-6.0462904,57.244377,115000
1.0,1.0,0.0056149056,0.56149054,1.0056149,0.89057124,-1.9632885,-166.71037,-262.81467,6.7400675,-4.1918373,64.284325,120000
1.0,1.0,0.004942936,0.4942936,1.0049429,0.8284754,-0.19202805,-169.58492,-261.60257,10.328941,-7.2112045,98.68044,125000
1.0,1.0,0.0047902893,0.47902894,1.0047903,2.2698672,-2.2031574,-166.61884,-360.88574,36.166317,-27.204817,213.30072,130000
1.0,1.0,0.0046652323,0.46652326,1.0046653,0.84650093,-8.217825,-169.79779,-227.71971,9.546678,-15.325497,86.61789,135000
1.0,1.0,0.004042781,0.4042781,1.0040427,0.617267,-2.8028288,-172.0701,-231.98897,3.8789852,-3.637949,56.973045,140000
1.0,0.9999999,0.00498045,0.49804503,1.0049803,1.2693694,-50.276802,-174.31514,-292.63525,8.890265,-15.171087,112.57306,145000
1.0,1.0,0.005005907,0.5005907,1.005006,0.81576526,-15.07691,-171.43231,-224.46063,5.7542524,-4.5629296,68.45614,150000
1.0,1.0,0.0051532625,0.51532626,1.0051533,0.77450734,-32.89018,-171.39151,-219.84486,5.1453686,-6.438476,57.729137,155000
1.0,1.0,0.004840827,0.48408273,1.0048409,1.27843,-0.57811415,-170.05829,-260.2136,4.7507987,-5.564635,73.46758,160000
1.0,1.0,0.0049549956,0.49549958,1.004955,0.88657796,-15.305939,-170.18475,-265.1917,10.586054,-10.927637,104.867355,165000
1.0,1.0,0.004682365,0.4682365,1.0046824,0.9320925,-2.384977,-168.06989,-284.266,9.059913,-10.431876,89.23447,170000
1.0,1.0,0.004607466,0.46074665,1.0046074,1.0688453,-1.1287508,-167.64194,-285.27536,24.854412,-16.592522,164.05913,175000
1.0,1.0,0.0050447765,0.5044777,1.0050448,1.4167349,-47.31554,-172.58481,-234.03136,6.189548,-6.851446,71.848465,180000
1.0,1.0,0.0045916466,0.45916468,1.0045917,1.2280807,-4.127267,-168.22049,-218.98326,6.1512685,-7.6244125,90.976776,185000
1.0,1.0,0.004604305,0.46043053,1.0046043,0.6166096,-14.620433,-171.85861,-238.6706,3.723342,-7.49478,52.193382,190000
1.0,1.0000001,0.004964186,0.49641863,1.0049644,1.3375669,-7.2475643,-172.52307,-252.42451,19.637985,-14.929852,129.48354,195000
1.0,0.999988,0.0043729823,0.43729827,1.004361,0.7679149,0.2526418,-170.02014,-272.61725,2.5839295,-3.590793,38.88242,200000
1.0,1.0,0.0043838583,0.4383858,1.0043838,1.1443852,-11.184744,-172.42259,-246.98975,9.355614,-7.154376,84.56118,205000
1.0,1.0,0.0044050245,0.44050243,1.004405,1.3677909,-0.9828628,-166.87366,-311.7868,11.936472,-11.833619,114.63808,210000
1.0,1.0000001,0.004001942,0.40019423,1.0040021,0.8132411,-1.5596483,-169.38947,-235.36856,5.859445,-4.7941294,50.457268,215000
1.0,0.9999642,0.0048716497,0.487165,1.0048358,1.1756487,0.77505744,-166.16766,-240.62364,23.40314,-14.201536,155.94785,220000
1.0,0.99999994,0.0050424486,0.50424486,1.0050424,1.0293357,-22.040003,-174.2113,-303.08582,9.89469,-8.5544195,85.88797,225000
1.0,0.99999994,0.0047263866,0.4726387,1.0047263,1.5875163,-3.789957,-166.87653,-233.30316,18.303493,-10.8412,131.39944,230000
1.0,0.9999999,0.0048515648,0.4851565,1.0048515,1.1376141,-0.8990489,-166.2179,-270.8353,4.6824713,-11.480732,87.86854,235000
1.0,1.0,0.0045842733,0.45842734,1.0045843,0.768603,-31.511261,-171.15704,-285.52075,3.3123622,-5.666235,49.48934,240000
1.0,1.0,0.004530176,0.45301765,1.0045302,10.08367,-1.7326436,-171.41978,-236.2083,37.62126,-23.440222,266.0478,245000
1.0,1.0000001,0.004625135,0.46251354,1.0046252,1.9382886,-9.027999,-165.35457,-249.23463,11.618746,-17.747416,141.43758,250000
1.0,1.0,0.005349697,0.5349697,1.0053498,1.1100302,0.15533897,-169.49503,-238.97472,6.6176386,-7.5595036,72.87982,255000
1.0,1.0,0.004764378,0.47643784,1.0047643,1.4020672,0.38193536,-169.71687,-266.6976,7.3193173,-7.7807693,85.85548,260000
1.0,1.0,0.004460347,0.44603473,1.0044603,1.2864091,-22.683052,-167.69928,-314.97525,5.507332,-9.898092,84.36035,265000
1.0,1.0000001,0.004858769,0.48587692,1.0048589,0.8932594,-5.5105844,-172.68437,-238.46747,3.6180766,-5.1214204,55.832584,270000
1.0,1.0,0.0046851775,0.46851775,1.0046852,1.3008926,-0.6091887,-170.18039,-230.2966,15.287023,-25.89368,129.02202,275000
1.0,1.0,0.0045950064,0.4595006,1.004595,1.0371141,-0.39733425,-166.51259,-249.15883,4.8711367,-5.8757195,57.66979,280000
1.0,1.0,0.004663381,0.4663381,1.0046633,0.9699461,0.04192239,-164.05333,-221.25125,6.928561,-5.057009,59.41029,285000
1.0,1.0,0.004460033,0.44600335,1.00446,1.6856251,-4.503589,-167.26312,-344.86865,25.415249,-22.925371,201.17715,290000
1.0,1.0,0.0046854606,0.4685461,1.0046854,1.262491,-0.44195813,-165.56903,-253.58772,5.0850825,-5.8119917,54.892532,295000
1.0,1.0,0.0046530263,0.46530265,1.004653,1.1810105,-9.069557,-164.50027,-252.02847,7.7857695,-6.8296432,86.347885,300000
1.0,1.0,0.0052265087,0.5226509,1.0052265,1.7314866,-0.42490458,-164.03024,-242.9495,4.0560036,-7.1781945,67.08335,305000
1.0,1.0,0.004858922,0.48589224,1.004859,1.4986193,-0.050408095,-159.10413,-221.89626,17.686943,-19.140476,139.87617,310000
1.0,1.0,0.004552081,0.45520812,1.0045521,0.99589646,-35.74107,-160.16135,-222.17752,14.297062,-14.3870735,108.374855,315000
1.0,1.0,0.0045580016,0.4558002,1.004558,2.3863387,-3.2098024,-166.48004,-235.39458,4.9141107,-5.1661677,57.770668,320000
1.0,1.0,0.0046612257,0.46612257,1.0046612,0.906893,-11.002001,-162.71384,-246.53067,6.100287,-6.667671,68.24281,325000
1.0,1.0,0.003902424,0.3902424,1.0039024,0.7828456,-38.78352,-161.91617,-221.16545,6.060478,-7.247926,60.457478,330000
1.0,1.0,0.004196321,0.41963214,1.0041963,0.48064077,-0.7060878,-164.88206,-223.45842,4.5167694,-4.434073,36.48644,335000
1.0,1.0,0.0040418496,0.404185,1.0040418,1.0970043,-26.325127,-168.71803,-255.60982,4.1044354,-7.0908194,53.736977,340000
1.0,1.0,0.00404403,0.40440303,1.004044,1.2289877,-35.155663,-170.75858,-238.90027,13.627093,-10.829888,101.74446,345000
1.0,1.0000001,0.0042986097,0.42986095,1.0042987,1.2744018,-9.756067,-168.19382,-232.72499,25.855402,-21.06101,138.6576,350000
1.0,1.0,0.0041648415,0.41648418,1.0041648,0.7629376,-20.537855,-167.50464,-234.34134,12.535865,-12.411703,96.08811,355000
1.0,1.0,0.004331434,0.4331434,1.0043315,0.7783931,-0.2738409,-167.18515,-223.53667,3.8944235,-3.9019313,43.369473,360000
1.0,1.0,0.0038963533,0.38963532,1.0038964,0.77439046,-69.09011,-176.97263,-235.39154,4.19774,-6.560179,45.242317,365000
1.0,0.9999959,0.004087626,0.40876263,1.0040835,1.1453152,-0.20463228,-166.75055,-236.43002,9.735078,-9.748046,103.921745,370000
1.0,0.99999994,0.0049871667,0.4987167,1.0049871,1.0870459,-15.574663,-169.47266,-223.94798,7.6014752,-8.401015,67.61948,375000
1.0,1.0,0.0040504443,0.40504444,1.0040505,1.038543,-22.360813,-172.80241,-234.46138,5.595363,-5.326717,58.801846,380000
1.0,1.0,0.004304722,0.43047222,1.0043048,1.295896,-26.024807,-172.7584,-243.96288,18.019571,-10.136345,96.02787,385000
1.0,1.0,0.0044160914,0.4416091,1.0044161,0.99186903,-14.918036,-171.74762,-252.4273,5.288551,-4.7675543,61.063103,390000
1.0,0.9999937,0.0042664604,0.426646,1.0042602,0.64968836,0.20766023,-169.63304,-226.08386,7.245599,-5.623006,50.188858,395000
1.0,1.0,0.004266385,0.42663848,1.0042664,0.60619557,-1.873231,-172.58266,-235.86522,5.138618,-5.753727,45.849327,400000
1.0,1.0,0.0045070257,0.45070258,1.0045071,0.6392381,-2.41293,-171.14273,-227.71773,7.2748594,-9.516068,58.35424,405000
1.0,0.99998456,0.0041623674,0.4162368,1.0041469,1.048424,0.6007875,-170.33356,-248.5014,5.171731,-7.8231006,63.184654,410000
1.0,1.0,0.0042120535,0.42120534,1.004212,0.61425054,-1.2307099,-170.16037,-221.94812,12.913772,-10.180357,64.56096,415000
1.0,1.0,0.004030627,0.40306273,1.0040306,0.6683762,-0.14682424,-175.56284,-226.48735,4.174354,-7.537351,49.327766,420000
1.0,1.0000001,0.004119522,0.41195223,1.0041196,0.7228147,-1.525546,-175.80867,-270.81683,6.128188,-10.908276,55.916313,425000
1.0,1.0,0.004738963,0.47389627,1.0047389,0.9802254,-0.1484662,-173.3326,-239.6283,10.309874,-7.8075495,66.20769,430000
1.0,1.0,0.0039120573,0.39120573,1.0039121,0.5226778,0.07753113,-168.65291,-247.60706,3.4614365,-5.7068377,37.66681,435000
1.0,1.0,0.004309355,0.43093547,1.0043093,0.79859686,-0.30379856,-170.97833,-242.87825,4.8942175,-7.594217,54.63037,440000
1.0,1.0,0.0042621754,0.42621756,1.0042622,1.040895,0.09467077,-169.18886,-238.6828,12.761302,-12.666744,88.0161,445000
1.0,0.99999994,0.004282815,0.4282815,1.0042827,0.87726796,-32.752083,-175.23103,-240.78615,6.8110003,-3.8457088,44.449364,450000
1.0,1.0,0.004184939,0.4184939,1.004185,0.80353034,-7.6359434,-173.52638,-240.54732,4.627345,-4.2688046,47.675655,455000
1.0,0.99999523,0.0041378434,0.41378433,1.0041331,1.218744,0.1299612,-172.685,-239.34314,11.108153,-8.731924,71.54272,460000
1.0,1.0,0.004081347,0.4081347,1.0040814,0.5517554,-5.5461507,-173.98434,-227.83923,8.519722,-7.786869,64.729355,465000
1.0,1.0000001,0.0041797496,0.41797495,1.0041798,0.891901,-36.693825,-177.58427,-228.80598,11.660568,-6.483707,72.848114,470000
1.0,0.99998987,0.0043450017,0.43450022,1.0043349,0.6596061,0.44101098,-173.90164,-232.23396,4.657948,-4.1871357,40.182808,475000
1.0,1.0,0.0039595766,0.39595768,1.0039595,0.98389536,-0.3193329,-172.10384,-229.55872,9.055184,-9.724129,85.180504,480000
1.0,1.0,0.0042625833,0.42625833,1.0042626,0.6185541,-19.817917,-173.56403,-228.56473,2.0847793,-4.0901165,32.72869,485000
1.0,1.0,0.0040311557,0.40311557,1.0040312,0.8099894,0.71842104,-172.22708,-234.58694,5.48141,-6.8814363,59.163666,490000
1.0,1.0000001,0.0038951081,0.3895108,1.0038953,1.0089967,-0.663866,-176.91492,-236.36081,6.7438307,-7.788619,65.82326,495000
1.0,1.0,0.004286414,0.42864144,1.0042864,0.9938026,-1.0053985,-177.8486,-227.05144,12.508763,-17.448513,116.31809,500000
1.0,1.0,0.0041115647,0.41115648,1.0041115,0.7524892,-1.1149901,-172.58499,-236.78284,4.7894297,-9.375257,54.466324,505000
1.0,0.9999999,0.0040823226,0.40823227,1.0040822,0.84640795,0.3286817,-175.58104,-241.97816,17.009487,-25.681469,128.00494,510000
1.0,1.0,0.0044296808,0.4429681,1.0044297,0.72848374,-11.8144455,-177.534,-224.80374,15.518404,-15.28282,99.736595,515000
1.0,0.9999999,0.0038599963,0.38599965,1.0038599,0.5087065,-1.127412,-178.44437,-229.12943,2.5691586,-4.643369,26.543766,520000
1.0,0.99999994,0.004083304,0.40833044,1.0040833,0.58230335,-1.0042341,-179.95334,-224.88548,8.276802,-11.340638,61.771152,525000
1.0,1.0000001,0.0037636398,0.376364,1.0037638,1.0064583,-17.9769,-175.71417,-232.10799,24.344627,-30.900532,142.63185,530000
1.0,1.0,0.0043139877,0.43139875,1.004314,0.46707922,-0.9129373,-176.62985,-224.2361,4.8261013,-8.106851,46.703484,535000
1.0,1.0,0.0041924217,0.41924214,1.0041925,0.5805563,-1.2637527,-176.38058,-229.95175,10.5046835,-5.7122793,50.658535,540000
1.0,0.9999837,0.004215327,0.42153275,1.004199,1.3059874,0.3226441,-177.38373,-224.42189,8.08107,-4.4483047,68.04007,545000
1.0,1.0,0.0043397387,0.4339739,1.0043397,1.3157,-0.6458969,-173.27689,-241.0469,22.62247,-18.236982,164.87433,550000
1.0,1.0,0.0036564698,0.36564696,1.0036565,0.8655075,-0.06694251,-176.11801,-215.86732,23.969276,-44.22486,196.16805,555000
1.0,0.99999994,0.004293345,0.42933452,1.0042933,0.62275946,-3.0809639,-179.07394,-216.66235,19.735872,-9.055893,78.15202,560000
1.0,0.9999738,0.003557388,0.35573882,1.0035312,0.57747483,0.6010182,-175.44925,-218.27798,2.280401,-3.0300522,27.058554,565000
1.0,0.99999994,0.0035993482,0.35993484,1.0035993,1.1060729,-1.9741415,-177.22159,-220.29063,2.7633038,-3.6052408,49.514187,570000
1.0,0.9999836,0.0039877924,0.39877927,1.0039715,0.60585177,0.40068546,-174.00104,-217.15775,7.359744,-6.3440366,57.856956,575000
1.0,1.0000001,0.003991966,0.39919668,1.0039921,0.9726411,-3.5817661,-174.69196,-240.44366,11.464324,-10.401759,92.223785,580000
1.0,1.0,0.0042635286,0.42635286,1.0042635,0.61588055,-1.1513963,-174.64824,-220.72522,7.7222137,-4.912883,52.501568,585000
1.0,1.0,0.003984284,0.39842838,1.0039843,0.8747829,-2.4816234,-180.3847,-226.91022,9.900163,-11.178669,100.12683,590000
1.0,1.0,0.0039390833,0.39390835,1.003939,0.6972684,-8.210292,-180.58524,-225.14996,5.067619,-9.787908,48.469845,595000
1.0,1.0,0.0036760895,0.36760896,1.003676,0.61794496,-11.905156,-179.08939,-245.82428,6.9391127,-8.392175,46.788967,600000
1.0,0.9999999,0.0039464,0.39464,1.0039463,0.35915792,-29.9973,-183.33179,-224.33426,4.6481304,-7.1468687,32.753258,605000
1.0,1.0000001,0.0036587638,0.3658764,1.0036589,0.46807832,-34.93565,-184.34169,-229.13391,3.0956419,-2.596849,27.751604,610000
1.0,0.99998957,0.004017312,0.4017312,1.0040069,0.46150345,0.49031425,-176.29816,-217.87227,6.037989,-4.7975893,43.91623,615000
1.0,1.0000001,0.0039739744,0.39739746,1.0039741,0.6196889,-10.361472,-179.10114,-218.12791,7.5144997,-10.108871,81.46121,620000
1.0,1.0,0.0036573065,0.36573064,1.0036573,0.35219452,-13.446251,-177.60886,-217.3491,3.6430912,-4.7508593,31.33883,625000
1.0,1.0,0.004109787,0.41097867,1.0041097,0.6183356,-36.75137,-179.91711,-220.75143,9.81881,-8.970271,76.2937,630000
1.0,0.9999999,0.0043581687,0.43581688,1.004358,0.4331603,-12.908333,-180.89346,-215.55261,3.086031,-4.2200913,43.55402,635000
1.0,0.99999994,0.0037546267,0.3754627,1.0037546,0.41258836,-16.606781,-180.80902,-224.3811,11.103652,-8.466773,56.94375,640000
1.0,1.0,0.0037277357,0.37277356,1.0037278,0.4658712,-12.340503,-178.64175,-211.16895,5.240241,-6.5167913,40.652706,645000
1.0,0.99999994,0.0041624634,0.41624635,1.0041624,0.6199595,-17.040205,-174.66951,-212.7048,7.7523623,-8.1352,45.05706,650000
1.0,0.9999999,0.0036238665,0.36238664,1.0036237,0.49193484,-18.685333,-179.81982,-227.06088,6.301462,-5.280636,55.19974,655000
1.0,1.0,0.004425397,0.44253972,1.0044254,0.64757377,-21.534698,-178.9922,-224.3437,13.06078,-11.658796,80.429535,660000
1.0,0.99999994,0.0038387647,0.38387647,1.0038387,0.5317156,-56.62237,-179.47015,-226.8528,8.871646,-10.290065,56.20478,665000
1.0,1.0,0.0038494368,0.38494366,1.0038494,0.79696953,0.6243203,-178.19467,-227.90222,11.546939,-9.02179,76.64554,670000
1.0,1.0,0.003775597,0.37755972,1.0037756,0.5464273,-24.982801,-182.06602,-212.06294,7.023691,-6.4804525,51.80616,675000
1.0,1.0,0.004092889,0.40928888,1.0040929,0.9256557,0.18494385,-177.05312,-220.36226,9.947142,-9.149204,79.515785,680000
1.0,0.99999994,0.0038220678,0.3822068,1.003822,0.59381646,-0.7936195,-178.69513,-224.33708,3.8220263,-8.528337,45.828094,685000
1.0,1.0,0.0037855967,0.3785597,1.0037856,0.65738034,-4.98624,-176.75885,-243.45998,4.151624,-5.7646646,42.458527,690000
1.0,1.0,0.0036719502,0.367195,1.003672,0.4562456,-24.001034,-178.83015,-246.68773,2.2911067,-4.1132193,29.582294,695000
1.0,1.0,0.0039469996,0.39469996,1.003947,7.5400634,-16.169506,-180.71063,-222.18347,58.587563,-31.050453,374.20837,700000
1.0,1.0,0.0036269932,0.36269933,1.003627,0.4537715,-24.469204,-182.50511,-262.07855,3.465527,-4.027272,34.047016,705000
1.0,1.0,0.0036950302,0.36950305,1.003695,0.5036714,-3.0735617,-175.48517,-227.8489,3.3732557,-3.5885181,34.978447,710000
1.0,1.0,0.0036997183,0.36997184,1.0036997,0.80919516,-1.2972842,-176.9733,-227.40807,8.894747,-7.9068494,55.16723,715000
1.0,0.9999885,0.0037074275,0.37074274,1.003696,0.41268656,0.5050336,-182.27654,-235.35063,8.359866,-4.1395664,46.23152,720000
1.0,1.0,0.0040854993,0.40854996,1.0040855,0.49121356,-8.003336,-182.32472,-250.58533,7.6482725,-5.4453073,52.680843,725000
1.0,1.0,0.0040270267,0.4027027,1.004027,0.68903613,-31.100803,-179.46442,-239.00124,3.963728,-5.216671,49.31427,730000
1.0,1.0,0.003523234,0.3523234,1.0035232,0.49913839,-0.25136265,-176.25293,-226.19353,6.5076537,-6.951107,56.88217,735000
1.0,1.0,0.0039301515,0.39301515,1.0039301,0.6957319,-7.8081517,-178.7593,-261.3467,13.586546,-12.628564,79.747894,740000
1.0,0.9999999,0.003721263,0.3721263,1.0037211,0.5209257,-5.0185223,-178.161,-235.35785,2.8297832,-6.085988,34.81841,745000
1.0,1.0,0.0039141374,0.39141375,1.0039141,0.51619375,-15.386778,-178.22914,-217.55159,7.640465,-5.3983536,51.25043,750000
1.0,1.0,0.003810646,0.38106462,1.0038106,0.6689098,-25.834341,-179.55759,-214.07803,15.684528,-7.7190404,80.60542,755000
1.0,0.99999994,0.0038896503,0.38896507,1.0038896,0.4120277,-0.5317665,-180.14578,-234.28879,4.391058,-1.8814058,28.74436,760000
1.0,1.0,0.003519376,0.35193765,1.0035194,0.37097543,-0.24757272,-177.36505,-214.59624,3.4034977,-3.2235794,26.012596,765000
1.0,0.9999902,0.0038613263,0.3861327,1.0038515,0.81018615,-0.030355155,-176.71152,-218.61241,11.46647,-18.238836,92.4296,770000
1.0,1.0,0.0037300074,0.37300074,1.00373,0.5235096,-14.8889885,-176.35631,-230.03006,13.051219,-12.110271,64.21885,775000
1.0,1.0000001,0.0036941324,0.36941323,1.0036943,0.701879,-5.7392464,-179.93463,-221.41728,6.799255,-7.260347,46.788406,780000
1.0,1.0,0.003749892,0.3749892,1.0037498,0.40690818,0.24619713,-175.96735,-217.8296,5.043034,-7.0159526,41.20108,785000
1.0,1.0,0.004720797,0.4720797,1.0047208,0.61250687,-22.800676,-181.18307,-216.75461,10.636035,-13.37435,69.65617,790000
1.0,1.0000001,0.0037401612,0.3740161,1.0037403,0.43238088,-0.16832903,-177.9968,-220.21806,11.691372,-8.953237,73.74799,795000
1.0,0.99999994,0.0039283875,0.39283878,1.0039283,0.6959164,-0.12977651,-173.52554,-228.80681,11.943386,-9.347235,74.82489,800000
1.0,1.0,0.0039199907,0.39199913,1.00392,0.35880497,-3.0586133,-181.64766,-244.58627,2.825177,-2.9763505,23.905539,805000
1.0,1.0,0.0035068844,0.35068846,1.0035069,0.37480676,-42.51428,-184.15,-214.29811,2.0912936,-2.076491,20.2215,810000
1.0,1.0,0.003576646,0.35766464,1.0035766,0.47908163,-0.14380005,-178.68452,-217.52658,9.6786175,-22.59177,83.40648,815000
1.0,1.0,0.0034922792,0.34922794,1.0034922,0.42395705,-11.528697,-179.24054,-219.46579,5.6880517,-13.0084095,49.286472,820000
1.0,1.0,0.0037664291,0.37664294,1.0037664,0.3725193,-12.679776,-179.41399,-218.55196,2.3565729,-1.8219659,22.035707,825000
1.0,0.99999994,0.003785572,0.3785572,1.0037855,0.6694496,0.23880768,-179.36307,-218.01483,22.06794,-20.29672,120.9852,830000
1.0,1.0,0.0039705597,0.39705598,1.0039705,0.5036937,-10.524234,-177.47916,-225.51735,9.158436,-5.0851593,50.146843,835000
1.0,0.99999994,0.0042751823,0.42751825,1.0042751,0.65910983,-17.43924,-179.79974,-217.17773,2.5684714,-2.422171,29.831575,840000
1.0,1.0,0.0035379007,0.35379004,1.0035379,0.4246897,-2.6468291,-176.65631,-216.72302,7.2471642,-11.09739,60.63761,845000
1.0,0.9999999,0.0035821954,0.35821956,1.0035821,0.29550833,-0.8399997,-180.15015,-221.421,3.0771313,-3.9180698,25.224648,850000
1.0,0.9999999,0.0036890577,0.36890578,1.0036889,0.5219377,-11.497103,-183.34122,-215.55952,9.820206,-4.3529453,49.417473,855000
1.0,0.99999535,0.0038741785,0.38741785,1.0038695,0.4873631,0.38024172,-178.7911,-218.07433,4.221623,-4.9167995,38.332027,860000
1.0,0.9999997,0.0037677577,0.37677577,1.0037675,0.35544133,0.50174725,-178.56194,-221.96388,6.787198,-5.1843204,42.104794,865000
1.0,0.99999,0.0036342505,0.36342505,1.0036242,0.4867724,0.8609423,-179.6925,-223.54785,4.8426,-4.2631755,40.35314,870000
1.0,0.99999994,0.003369099,0.3369099,1.0033691,0.6024014,-6.8210974,-179.93109,-229.44405,9.389311,-7.597278,53.819946,875000
1.0,0.9999999,0.0038871327,0.3887133,1.003887,0.47730136,-7.064906,-180.23392,-217.85645,10.933504,-6.184182,50.48369,880000
1.0,0.9999999,0.0036526467,0.36526465,1.0036526,0.81120265,-27.132421,-177.61212,-219.95142,9.097259,-7.3320327,72.516106,885000
1.0,1.0,0.0036780536,0.3678054,1.0036781,0.33369762,-2.347064,-180.60754,-219.26567,5.589038,-5.4803357,44.866325,890000
1.0,1.0000001,0.0038288734,0.38288736,1.003829,0.5165812,-17.897213,-180.74799,-227.6339,10.930431,-12.564959,81.77542,895000
