actor/action_std,actor/actor_loss,actor/bc_loss,actor/mse,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,grad/max,grad/min,grad/norm,step
1.0,1.0,0.0077007245,0.7700725,1.0077007,0.28847802,-4.927131,-26.041191,-27.748253,3.1175678,-4.5918117,46.17439,5000
1.0,1.0,0.008161937,0.8161937,1.0081619,0.17842932,-1.2219855,-45.59592,-49.693146,0.8435919,-0.7731447,17.17204,10000
1.0,1.0,0.010675514,1.0675514,1.0106755,0.82954824,-1.0029155,-55.212463,-70.543274,3.923232,-3.745631,50.57157,15000
1.0,0.9999999,0.009331286,0.9331287,1.0093312,0.6535541,-1.4601976,-65.905975,-90.66164,5.8926134,-5.4592547,61.197746,20000
1.0,1.0,0.008629447,0.86294466,1.0086294,0.5837699,-23.615828,-72.21266,-103.964355,2.6924455,-2.1877754,48.219128,25000
1.0,0.99999994,0.0063468125,0.63468134,1.0063467,0.2869336,-13.079084,-81.252884,-119.66506,2.52679,-2.552838,29.45142,30000
1.0,1.0,0.006628849,0.66288495,1.0066289,0.9435265,-0.3520378,-89.798645,-123.90795,3.0300517,-3.485538,52.41292,35000
1.0,1.0,0.008305392,0.8305392,1.0083054,1.1939609,-5.4227905,-96.07367,-146.95004,14.106835,-7.8805704,117.826454,40000
1.0,1.0,0.0065377755,0.65377754,1.0065378,0.70195425,-2.1059265,-105.71942,-129.6943,8.147099,-5.022015,82.06506,45000
1.0,0.99999446,0.0064975694,0.6497569,1.006492,0.7922659,0.2430308,-109.53753,-140.58238,6.771875,-4.6828756,58.53963,50000
1.0,1.0000001,0.005376892,0.5376892,1.005377,0.79290056,-3.1284862,-115.24614,-174.43568,3.610317,-4.3994145,61.22644,55000
1.0,1.0,0.0058550527,0.58550525,1.0058551,0.7289829,-1.4020967,-118.950516,-155.98126,7.2693176,-4.7555337,78.53074,60000
1.0,1.0,0.004829878,0.4829878,1.0048299,0.61429656,-33.233288,-128.26503,-219.00864,3.8251042,-2.6809633,39.91816,65000
1.0,1.0,0.005425855,0.5425855,1.0054258,0.65145004,-0.55478907,-128.8945,-232.7896,4.6091833,-5.9294767,67.5772,70000
1.0,0.99996996,0.005309314,0.5309314,1.0052793,0.68999434,0.5639707,-136.88232,-184.67345,3.3157468,-3.4602025,41.182606,75000
1.0,1.0,0.0051159975,0.5115998,1.005116,0.8658729,-38.6668,-140.9592,-219.22116,6.741073,-10.556428,127.00156,80000
1.0,1.0,0.0052218484,0.52218485,1.0052218,0.7176151,-0.69262636,-139.37761,-232.37372,7.5337844,-4.230898,55.755962,85000
1.0,1.0,0.005096372,0.50963724,1.0050963,0.7732266,-30.066704,-144.89844,-192.81676,8.593486,-12.628211,137.54053,90000
1.0,1.0,0.006260736,0.6260736,1.0062608,0.8830215,-4.9643,-146.15218,-263.7657,7.1956854,-4.6012855,75.79204,95000
1.0,1.0,0.0057472177,0.57472175,1.0057472,1.109519,-5.7223206,-150.9296,-283.8152,8.629113,-5.592129,74.428795,100000
1.0,0.9999999,0.005470304,0.54703045,1.0054702,0.89548606,-0.5211922,-148.47183,-208.1872,10.902118,-7.388019,93.6496,105000
1.0,1.0,0.0054480284,0.54480284,1.005448,1.709336,-5.640594,-154.5432,-239.71747,17.94931,-25.687439,250.65295,110000
