actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.28922772,0.28921944,0.6511308,0.0142217595,0.7336795,0.13611344,11.364853,2.8712442e-05,27.18008,-27.18007,0.79532075,1.0016261,0.3046554,1.0074252,-27.18007,29.476725,0.06757134,-2.4621913,-27.192661,-27.864714,-27.201824,0.7631955,-0.629974,13.630483,29.544296,5000
0.99999976,0.09415001,0.094148956,0.64892656,0.015632045,0.65836155,0.1184621,11.411396,1.1159806e-05,50.01588,-50.01588,0.80326813,1.0069225,0.28093165,1.0063138,-50.01588,52.116344,0.009108887,-45.905643,-50.057842,-51.75857,-50.077454,0.77326894,-0.5184527,10.050496,52.125454,10000
1.0,0.03077511,0.030774927,0.6726703,0.016092936,0.6291221,0.10808456,11.318563,5.926937e-06,67.17395,-67.17395,0.80408525,0.9958578,0.28080493,1.0063081,-67.17395,69.21104,0.088593096,-22.734669,-67.29528,-70.531876,-67.265724,1.0435761,-0.9767871,13.998565,69.29963,15000
0.99999994,0.010059557,0.010059462,0.6798678,0.017559541,0.59124213,0.109660886,11.5249,9.442912e-06,80.20064,-80.20064,0.8132564,1.0213076,0.28589302,1.0065387,-80.20064,82.21724,0.13658346,-18.39208,-80.37317,-85.95377,-80.330925,1.1757135,-0.67892313,15.6422,82.35382,20000
1.0,0.003288199,0.003288194,0.6834759,0.017337797,0.58131576,0.108826995,11.061127,1.5543774e-06,89.083145,-89.083145,0.76855874,0.96278036,0.2865379,1.0065683,-89.083145,91.093,0.16829276,-1.2491068,-89.26759,-99.549324,-89.141785,1.6990856,-1.5259126,27.098804,91.26129,25000
1.0,0.0010748239,0.0010748236,0.647999,0.015462086,0.6497788,0.115022324,11.375814,3.9418228e-07,100.70244,-100.70244,0.80809927,1.0030309,0.29771137,1.0070906,-100.70244,102.7106,0.114605166,-0.62475544,-100.94705,-111.99954,-100.90963,1.0616424,-0.7129533,15.325046,102.82521,30000
1.0,0.00035133108,0.00035133102,0.6724734,0.015889917,0.6178874,0.1026249,11.589981,1.7881393e-07,103.69462,-103.69462,0.8190575,1.0292691,0.2818408,1.0063547,-103.69462,105.701324,0.23519477,-0.8973774,-103.98677,-123.00499,-103.978264,0.9023709,-1.7479849,21.38512,105.936516,35000
1.0000002,0.000115003386,0.00011500338,0.6829911,0.01595857,0.61370003,0.10876627,11.289067,9.778887e-08,111.37478,-111.37478,0.7921487,0.99216616,0.3000129,1.0072006,-111.37478,113.382095,0.20788154,-1.0121998,-111.73436,-132.29704,-111.71631,0.7783779,-0.74312735,17.755844,113.58997,40000
1.0,3.7647555e-05,3.764755e-05,0.67090183,0.019241322,0.53750104,0.097519584,11.531073,8.009374e-08,118.22623,-118.22623,0.8147017,1.0221921,0.27151117,1.0058975,-118.22623,120.23216,0.11634178,-39.376484,-118.50663,-140.96307,-118.502785,0.90405667,-1.1095929,19.572527,120.3485,45000
1.0,1.2333349e-05,1.2333348e-05,0.67769986,0.017397162,0.56762695,0.0962528,11.340344,8.288771e-08,124.37805,-124.37805,0.7980371,0.9977377,0.2667697,1.0056932,-124.37805,126.38376,0.1650074,-28.197027,-124.61596,-148.10156,-124.54339,0.84070176,-1.3319322,24.7379,126.54877,50000
1.0,4.041064e-06,4.041063e-06,0.67124236,0.018890226,0.53677833,0.09882815,11.169855,1.0035001e-07,127.8599,-127.8599,0.78149045,0.97688735,0.26271915,1.0055217,-127.8599,129.86543,0.19075719,-36.975044,-128.05923,-154.70447,-127.85242,1.1837505,-1.0205011,29.600155,130.05618,55000
1.0000001,1.3249929e-06,1.3249928e-06,0.6786473,0.016943052,0.57462287,0.10974026,11.390255,9.080395e-08,132.12416,-132.12416,0.80343705,1.0046571,0.28586715,1.0065376,-132.12416,134.13069,0.13419561,-0.3804692,-132.38261,-160.7696,-132.38559,0.735568,-0.94959086,19.977701,134.2649,60000
0.9999999,4.3720556e-07,4.3720547e-07,0.6586596,0.017746175,0.57061505,0.102799654,11.325785,1.0081567e-07,134.6666,-134.6666,0.790268,0.9966274,0.27104825,1.0058774,-134.6666,136.67247,0.16064478,-42.02731,-134.95975,-166.2548,-135.0769,1.7779338,-0.903208,26.894077,136.83311,65000
