actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.2897558,0.28975087,0.6498399,0.014713631,0.73593396,0.13941363,11.3214655,1.6910024e-05,26.684862,-26.684858,0.79099715,0.9961041,0.30675182,1.0075277,-26.684858,28.982141,0.0009363847,-25.503265,-26.685051,-29.24223,-26.686079,0.50675726,-0.71148306,9.508646,28.983078,5000
1.0,0.094322085,0.09432156,0.66664946,0.017598597,0.6125573,0.12357493,11.202049,5.595619e-06,49.841805,-49.841805,0.77650213,0.98115146,0.29323012,1.0068787,-49.841805,51.943005,0.011220628,-1.1950299,-49.846184,-55.242,-49.825737,1.1332715,-0.9734236,12.621138,51.954224,10000
0.99999994,0.030831357,0.03083113,0.67335343,0.014136443,0.68883723,0.11475948,11.225411,7.36746e-06,66.985176,-66.985176,0.7813841,0.98346096,0.2966275,1.0070391,-66.985176,69.02305,0.25258684,-37.962227,-67.19645,-75.97282,-66.989,1.0089624,-0.88758594,21.884663,69.275635,15000
1.0,0.010077945,0.010077912,0.68636966,0.015472165,0.6386598,0.110874444,11.312574,3.1767413e-06,79.37973,-79.37973,0.79512143,0.9950256,0.32683387,1.0085456,-79.37973,81.39835,0.23021026,-0.21665911,-79.78363,-87.53738,-79.82242,1.4247856,-1.3007461,32.234283,81.62856,20000
0.99999994,0.0032942095,0.0032942053,0.6877381,0.017033385,0.60018986,0.10619968,11.322575,1.3581011e-06,85.298386,-85.298386,0.7967001,0.9957503,0.32017776,1.0082011,-85.298386,87.30988,0.21507111,-42.47106,-85.777855,-99.09924,-85.72572,1.0451449,-1.3242725,20.226843,87.524956,25000
1.0000001,0.0010767886,0.0010767882,0.6914508,0.015087476,0.64109886,0.105700284,11.340673,3.7369318e-07,91.66785,-91.66785,0.79244316,0.99831396,0.28108725,1.0063207,-91.66785,93.67525,0.120478496,-26.31256,-91.957016,-111.53306,-91.86829,0.91432625,-1.0852711,21.383198,93.79572,30000
1.0,0.00035197329,0.00035197329,0.6882077,0.01839479,0.5636328,0.106395885,11.236297,1.1455268e-07,98.21739,-98.21739,0.7832508,0.98510253,0.2808067,1.0063082,-98.21739,100.22405,0.18262798,-13.748588,-98.47244,-121.00997,-98.59865,1.3590496,-1.1618179,25.022442,100.40668,35000
0.9999999,0.000115213275,0.00011521326,0.67715114,0.017735776,0.58149767,0.118757136,11.257453,7.0082024e-08,107.764755,-107.764755,0.78245974,0.98774076,0.3070189,1.0075408,-107.764755,109.77241,0.26359475,-37.21778,-108.08881,-130.48131,-107.78007,1.5673062,-2.820383,51.9684,110.036,40000
1.0,3.7716265e-05,3.7716265e-05,0.6817805,0.016098749,0.5891126,0.09517142,11.450308,8.381903e-08,109.25042,-109.25042,0.81057847,1.0122734,0.26765704,1.0057312,-109.25042,111.25619,0.18917732,-40.519524,-109.555695,-137.59956,-109.48581,0.9239842,-0.9713606,21.9763,111.445366,45000
0.9999999,1.2355837e-05,1.2355835e-05,0.6703473,0.016722431,0.5797332,0.102753796,11.271503,8.1723556e-08,114.09216,-114.09216,0.7838192,0.989564,0.29207057,1.0068244,-114.09216,116.099,0.21263033,-0.5547498,-114.50727,-147.13832,-114.35,0.8716569,-1.6101426,29.625694,116.31163,50000
1.0,4.0484315e-06,4.048431e-06,0.66744566,0.018473832,0.53702354,0.08975906,11.225616,8.568168e-08,122.0428,-122.0428,0.77811074,0.9840717,0.25996125,1.0054064,-122.0428,124.04822,0.2118321,-2.7606883,-122.35714,-154.2864,-122.55455,3.9116745,-1.693569,48.060116,124.26005,55000
1.0,1.3273985e-06,1.3273984e-06,0.67123765,0.016127724,0.59292424,0.101375066,11.292059,8.1490725e-08,125.88397,-125.88397,0.7908274,0.9924741,0.27931574,1.0062413,-125.88397,127.89021,0.18050957,-45.323177,-126.22121,-161.3303,-126.319214,2.351962,-1.063322,33.0248,128.07072,60000
1.0000001,4.3799224e-07,4.3799218e-07,0.6756151,0.020661335,0.49964842,0.08660754,11.2789545,8.242205e-08,127.57092,-127.57092,0.7872647,0.9905188,0.25700897,1.0052832,-127.57092,129.5762,0.17569333,0.39244562,-127.85857,-166.80106,-127.85306,0.9363721,-1.5322578,21.78098,129.75189,65000
1.0,1.4702837e-07,1.4702835e-07,0.67335176,0.01778185,0.527053,0.088104144,11.145375,7.4272975e-08,134.0982,-134.0982,0.77197814,0.97387034,0.25444448,1.0051794,-134.0982,136.10338,0.18271336,-34.856205,-134.35934,-174.34984,-134.47038,1.3262792,-1.2747064,22.56977,136.28609,70000
1.0000001,5.1750952e-08,5.1750952e-08,0.6767137,0.019187974,0.53426236,0.09762214,11.414864,7.916242e-08,135.61588,-135.61588,0.7992157,1.0075902,0.25972053,1.0053964,-135.61588,137.62128,0.14357369,-1.5961468,-135.88733,-179.72064,-135.83571,0.8668747,-1.2590866,21.738787,137.76485,75000
1.0,2.0261094e-08,2.0261094e-08,0.6736461,0.016040152,0.5768045,0.09288788,11.161739,7.0780516e-08,139.16782,-139.16782,0.77715945,0.9750247,0.2519689,1.005079,-139.16782,141.1729,0.17813835,-44.617004,-139.43347,-185.5089,-139.35728,1.6067517,-1.9919974,32.23475,141.35103,80000
1.0000001,9.426723e-09,9.4267225e-09,0.6594952,0.015961807,0.5746542,0.096136115,11.350377,7.939525e-08,142.21591,-142.21591,0.7954635,0.9998559,0.26266447,1.0055194,-142.21591,144.22144,0.18115997,-43.029743,-142.5167,-190.8438,-142.48056,1.1646138,-1.1055381,22.582882,144.40259,85000
1.0,5.284253e-09,5.2842526e-09,0.6661001,0.016566247,0.55060804,0.08566223,11.279659,9.010546e-08,146.01096,-146.01096,0.79081446,0.9906714,0.23772006,1.0045053,-146.01096,148.01546,0.20434016,0.5083933,-146.238,-182.94197,-146.26169,1.2821527,-0.69608563,19.557621,148.2198,90000
0.99999994,3.4311258e-09,3.4311256e-09,0.66930807,0.016801966,0.57703084,0.093903854,11.354983,8.242205e-08,150.17142,-150.17142,0.80354863,1.0000997,0.25485417,1.005196,-150.17142,152.17662,0.17620847,-4.31458,-150.4048,-199.13042,-150.47672,1.0012221,-1.9361331,24.100796,152.35283,95000
1.0,2.4642302e-09,2.4642297e-09,0.6716031,0.018705849,0.5194086,0.09683785,11.603059,7.0547685e-08,151.67621,-151.67621,0.8109915,1.030936,0.2632478,1.005544,-151.67621,153.68175,0.1714201,-59.485146,-151.96384,-205.56345,-151.98373,1.0233593,-1.3827882,21.648897,153.85316,100000
1.0,1.8942297e-09,1.8942297e-09,0.66556937,0.016351586,0.5822718,0.09339766,11.256472,9.848736e-08,151.67816,-151.67816,0.7896359,0.9880509,0.250973,1.0050061,-151.67816,153.68317,0.21214187,0.8893683,-151.98907,-198.04884,-151.94583,1.4777312,-0.8444158,20.350704,153.89531,105000
1.0,1.5259601e-09,1.5259599e-09,0.67775846,0.020550922,0.49152586,0.087605484,11.588783,8.5216016e-08,156.80453,-156.80453,0.8196863,1.0284616,0.25123787,1.0050496,-156.80453,158.80959,0.1857962,-0.044997305,-157.03667,-215.32065,-157.05026,1.2196168,-1.0182645,24.079052,158.99538,110000
0.9999999,1.2716019e-09,1.2716017e-09,0.6758415,0.016725313,0.56681466,0.100022376,11.476599,7.4040145e-08,157.14764,-157.14764,0.8141763,1.0155094,0.26199412,1.0054913,-157.14764,159.15314,0.226024,-28.04178,-157.39583,-206.38776,-157.33038,0.84692675,-1.8194473,25.82033,159.37917,115000
1.0,1.0866801e-09,1.0866801e-09,0.6693821,0.018449524,0.5185606,0.08832798,11.367057,6.3329935e-08,159.3451,-159.3451,0.80262464,1.0018404,0.24663866,1.0048665,-159.3451,161.34996,0.18621635,-46.245094,-159.52492,-203.33038,-159.62656,1.2552512,-0.9542661,24.495708,161.53618,120000
0.99999994,9.467513e-10,9.467511e-10,0.66688424,0.0177188,0.5336727,0.08639604,11.225798,5.052425e-08,164.38652,-164.38652,0.78628683,0.9840968,0.24549206,1.0048213,-164.38652,166.39134,0.20251718,-44.577095,-164.68144,-216.37497,-164.84808,2.032969,-1.3400176,33.841297,166.59386,125000
1.0000002,8.38201e-10,8.3820095e-10,0.6779461,0.01817334,0.4952983,0.08542214,11.445816,7.0780516e-08,164.59082,-164.59082,0.803765,1.0110734,0.25095978,1.0050385,-164.59082,166.59586,0.20444806,-30.758905,-164.90659,-218.45406,-164.9309,1.3427948,-1.114167,23.500336,166.80031,130000
0.99999994,7.5101897e-10,7.5101886e-10,0.6827231,0.016653076,0.5358594,0.08598486,11.20293,9.1735274e-08,166.3898,-166.3898,0.7787603,0.98125315,0.24378014,1.0047543,-166.3898,168.39456,0.2251406,-36.75595,-166.68716,-224.21577,-166.76974,1.332277,-0.89788973,24.593903,168.6197,135000
1.0,6.7977285e-10,6.797728e-10,0.66958976,0.022374198,0.47666767,0.09056075,11.19776,6.0070306e-08,167.12181,-167.12181,0.7825839,0.98051435,0.25776234,1.0053153,-167.12181,169.12712,0.2123343,-57.159813,-167.43863,-228.33295,-167.46391,2.093347,-1.3105994,27.086994,169.33946,140000
1.0000001,6.2045075e-10,6.204507e-10,0.6837305,0.01871119,0.522825,0.08784054,11.361732,7.287599e-08,167.19702,-167.19702,0.80651915,1.0012418,0.23288661,1.0043389,-167.19702,169.20135,0.18412688,-19.099714,-167.39627,-230.0309,-167.58148,1.8759073,-1.6673236,35.286377,169.38548,145000
0.9999999,5.696792e-10,5.696792e-10,0.67877054,0.018742329,0.5115398,0.08735292,11.292351,7.194467e-08,169.33652,-169.33652,0.7843348,0.9925637,0.24767272,1.0049074,-169.33652,171.34143,0.2638669,-4.0017276,-169.62271,-228.02599,-169.54254,1.8749248,-1.7083764,31.589603,171.6053,150000
0.9999999,5.2783267e-10,5.2783267e-10,0.68294954,0.015522789,0.5725531,0.08982513,11.381104,7.566996e-08,168.10258,-168.10258,0.79050034,1.003692,0.22996847,1.0042309,-168.10258,170.10681,0.28325593,-34.408558,-168.32385,-229.78206,-168.46399,1.7745605,-1.3781365,32.523296,170.39006,155000
1.0000002,4.905409e-10,4.9054083e-10,0.67647403,0.019064706,0.5148147,0.09254706,11.27061,6.589107e-08,169.02057,-169.02057,0.79364187,0.9898364,0.24856809,1.0049428,-169.02057,171.02551,0.16433133,-31.565351,-169.32132,-244.37518,-169.19608,1.3810071,-2.5891814,31.234974,171.18985,160000
1.0000002,4.5886286e-10,4.5886284e-10,0.6754128,0.0188203,0.5169851,0.08345646,11.127572,8.335337e-08,168.68997,-168.68997,0.76920617,0.9715301,0.23829499,1.0045427,-168.68997,170.69452,0.29358026,-11.0645075,-169.03304,-229.72034,-169.02167,1.6140132,-2.6564186,32.38335,170.9881,165000
1.0000002,4.2952128e-10,4.2952125e-10,0.6783678,0.015660588,0.5600839,0.086241454,11.124503,8.032657e-08,166.64777,-166.64777,0.7771036,0.97102,0.24152939,1.0046669,-166.64777,168.65244,0.3076402,-26.205027,-166.96829,-231.59518,-167.06773,1.3839515,-1.3684123,28.004833,168.96008,170000
0.9999999,4.0563383e-10,4.0563375e-10,0.6792316,0.017074985,0.5283441,0.08524283,11.328885,1.0011718e-07,163.30156,-163.30156,0.7940422,0.9971218,0.2358874,1.0044514,-163.30156,165.30602,0.3477298,0.3185765,-163.64069,-227.22523,-163.53374,4.9653387,-4.261768,51.835716,165.65375,175000
0.99999976,3.8307485e-10,3.8307485e-10,0.67185074,0.017600877,0.5252187,0.09384318,11.322262,8.731149e-08,165.19254,-165.19254,0.8034595,0.99588335,0.25083116,1.0050333,-165.19254,167.19757,0.4540416,-28.85216,-165.46951,-229.48355,-165.58122,2.1924226,-1.6794233,42.385666,167.65161,180000
0.99999994,3.6188572e-10,3.618857e-10,0.68112266,0.018122595,0.50779444,0.08310994,11.438368,7.497147e-08,167.89058,-167.89058,0.80012065,1.0102097,0.2540725,1.0051643,-167.89058,169.89574,0.33512667,-57.7602,-168.26422,-256.15024,-168.27481,2.8146598,-2.746387,36.737747,170.23087,185000
1.0,3.450346e-10,3.450346e-10,0.67944527,0.018472655,0.49521744,0.07618475,11.285547,7.0314854e-08,165.38359,-165.38359,0.78914404,0.9913773,0.23038903,1.0042464,-165.38359,167.38783,0.43010947,-0.23462588,-165.65121,-268.9126,-165.64713,1.7239666,-1.7058805,37.629276,167.81795,190000
0.99999994,3.2896816e-10,3.2896813e-10,0.6641967,0.019281624,0.50576043,0.081827015,11.087042,7.4272975e-08,165.99835,-165.99835,0.77593505,0.96606016,0.24322656,1.0047226,-165.99835,168.00308,0.25420374,0.2740344,-166.31946,-273.61038,-166.25305,1.9576595,-3.3811755,33.243874,168.25728,195000
0.99999994,3.1364988e-10,3.1364988e-10,0.667743,0.016330723,0.5482362,0.097913414,11.655455,7.3807314e-08,165.21774,-165.21774,0.83909535,1.0372931,0.261913,1.0054879,-165.21774,167.22324,0.5154092,-9.984524,-165.60443,-237.48953,-165.74411,4.0272455,-4.2820244,53.500797,167.73865,200000
1.0000002,2.9904484e-10,2.990448e-10,0.6693571,0.016389132,0.56141925,0.08986799,11.41078,8.940697e-08,165.6054,-165.6054,0.7995155,1.007378,0.22654387,1.0041058,-165.6054,167.6095,0.41771835,-51.426937,-165.84348,-226.45901,-165.9805,3.5692153,-2.5804734,46.41627,168.02722,205000
1.0,2.869886e-10,2.869886e-10,0.668631,0.01667431,0.5467489,0.09303665,11.370436,8.1257895e-08,167.07092,-167.07092,0.80555046,1.0023266,0.25313306,1.0051261,-167.07092,169.07605,0.25144362,-51.826588,-167.46942,-285.86917,-167.5174,2.6567516,-1.6954528,31.025166,169.3275,210000
1.0000001,2.7624705e-10,2.7624703e-10,0.67208534,0.017145403,0.5357659,0.08403091,11.200127,7.892959e-08,165.88745,-165.88745,0.78080666,0.98089284,0.23274213,1.0043335,-165.88745,167.89178,0.8635372,-4.5412326,-166.14423,-249.68481,-166.21631,2.8022363,-2.4603925,47.23188,168.75533,215000
0.9999999,2.6590752e-10,2.6590752e-10,0.68031585,0.017320793,0.53687304,0.08990204,11.24123,7.7532604e-08,169.33058,-169.33058,0.7814597,0.985962,0.23164937,1.004293,-169.33058,171.33487,0.25215933,-0.47388798,-169.54793,-252.3534,-169.45114,1.1977689,-1.7305101,28.8931,171.58704,220000
1.0,2.5595498e-10,2.5595498e-10,0.6804881,0.019690704,0.48234135,0.08190794,11.489157,8.4983185e-08,172.4461,-172.4461,0.8062061,1.0166966,0.24495862,1.0048003,-172.4461,174.45091,0.18323892,-54.502163,-172.73973,-224.10963,-172.85905,1.6400461,-1.7055748,31.217438,174.63416,225000
0.9999999,2.4637498e-10,2.4637492e-10,0.6837655,0.018335948,0.5171164,0.08210629,11.359451,7.916242e-08,172.09038,-172.09038,0.79914623,1.0009452,0.24834357,1.004934,-172.09038,174.0953,2.3025086,-30.11271,-172.70227,-252.87793,-172.56934,22.044806,-19.801321,205.23492,176.39781,230000
1.0000001,2.371535e-10,2.3715346e-10,0.6852783,0.019310933,0.48748744,0.07563023,11.144953,6.3795596e-08,172.57568,-172.57568,0.7645167,0.97330076,0.23005028,1.0042338,-172.57568,174.57991,0.21854644,-50.84685,-172.85185,-236.09966,-172.85951,1.0752007,-1.3366716,23.757591,174.79846,235000
1.0000001,2.2827719e-10,2.2827717e-10,0.67804503,0.019544574,0.49017897,0.081004016,11.297895,8.335337e-08,173.79039,-173.79039,0.7861662,0.9929515,0.23236735,1.0043195,-173.79039,175.79471,0.31034136,-10.977031,-174.04663,-235.53609,-174.12207,1.6254321,-1.8329632,30.797073,176.10506,240000
0.99999994,2.2167669e-10,2.2167668e-10,0.67568374,0.017976914,0.5195964,0.081229135,11.315634,8.265488e-08,170.61983,-170.61983,0.7942686,0.99481,0.23303469,1.0043387,-170.61983,172.62416,0.21318698,0.46767667,-170.86996,-225.30666,-170.86247,1.3866906,-1.0804024,22.133598,172.83734,245000
1.0,2.1542433e-10,2.1542432e-10,0.67810345,0.021417724,0.4574239,0.07763422,11.224763,8.917414e-08,172.77954,-172.77954,0.7925919,0.9838155,0.24640626,1.0048573,-172.77954,174.7844,0.5405172,-2.7178214,-173.1082,-259.78638,-173.08879,7.117444,-7.449253,74.45647,175.3249,250000
1.0,2.0934832e-10,2.0934832e-10,0.69203615,0.017278604,0.50857186,0.07546403,11.352465,7.21775e-08,174.92151,-174.92151,0.7911101,0.99992186,0.23271278,1.0043323,-174.92151,176.92584,0.38585544,0.18636549,-175.26651,-244.77225,-175.44022,5.9486647,-3.6662593,51.581917,177.31169,255000
0.99999994,2.0344369e-10,2.0344368e-10,0.66296405,0.018353123,0.49970585,0.08248389,11.134852,9.2666596e-08,168.65045,-168.65045,0.77101076,0.97231877,0.25125706,1.0050504,-168.65045,170.6555,0.36437878,-0.1854944,-169.03763,-257.7614,-169.06714,2.8728492,-2.4975038,35.433636,171.01988,260000
0.99999994,1.977056e-10,1.977056e-10,0.6837566,0.019740403,0.49903223,0.08875425,11.37575,9.872019e-08,168.4476,-168.4476,0.8052943,1.0027504,0.23843111,1.004548,-168.4476,170.45215,0.19317648,-27.156132,-168.746,-229.7442,-168.72202,1.0680962,-1.066574,22.812206,170.64532,265000
1.0,1.9212935e-10,1.9212934e-10,0.66700304,0.016637497,0.53425556,0.08019848,11.423017,7.264316e-08,169.27655,-169.27655,0.8090284,1.007995,0.23971723,1.0045972,-169.27655,171.28114,0.2615365,-14.68216,-169.67818,-218.20102,-169.69879,1.4795573,-1.9528514,26.140705,171.54268,270000
0.9999999,1.8671037e-10,1.8671034e-10,0.67688984,0.015253039,0.55229837,0.0790962,11.163065,9.5693395e-08,173.64978,-173.64978,0.77706075,0.97614557,0.22665967,1.00411,-173.64978,175.65388,0.33486426,-43.09017,-173.926,-255.0069,-173.79431,1.3650912,-1.3624744,36.195198,175.98875,275000
0.9999999,1.8144423e-10,1.8144422e-10,0.67484045,0.016749974,0.52925074,0.08033693,11.373832,1.03376806e-07,169.6628,-169.6628,0.79392016,1.0024467,0.22425762,1.0039973,-169.6628,171.6668,0.26330245,1.0533402,-169.91614,-232.04118,-169.92152,1.2681615,-1.2227998,27.267315,171.9301,280000
1.0000001,1.7632662e-10,1.7632662e-10,0.6797741,0.024591297,0.43933624,0.07907041,11.384896,8.8708475e-08,170.42259,-170.42259,0.7976552,1.003517,0.22979361,1.0042244,-170.42259,172.42682,0.30776536,-11.897604,-170.65092,-249.56154,-170.66566,1.8057609,-2.2674086,34.359962,172.73459,285000
1.0000001,1.7135336e-10,1.7135335e-10,0.6850941,0.020065993,0.47513252,0.078338236,11.463497,8.8475645e-08,169.75546,-169.75546,0.8153927,1.0138966,0.22393851,1.0040119,-169.75546,171.75948,0.25090122,-2.5089104,-170.04605,-212.66484,-169.95538,1.1946765,-2.009511,31.116524,172.01038,290000
1.0000002,1.6652038e-10,1.6652035e-10,0.6754959,0.0187877,0.5034076,0.08021751,11.636412,8.1723556e-08,173.44174,-173.44174,0.8339751,1.0346651,0.2438934,1.0047587,-173.44174,175.4465,0.26295322,-0.4665166,-173.78188,-235.41382,-173.74338,3.7242095,-3.554783,30.615002,175.70946,295000
1.0,1.618237e-10,1.6182367e-10,0.6807626,0.019497517,0.47774866,0.075947836,11.421097,1.0477379e-07,169.44954,-169.44954,0.79001945,1.0083436,0.22382979,1.0040079,-169.44954,171.45355,0.31921947,-6.76654,-169.69295,-242.76952,-169.89954,1.7195414,-1.5061815,33.699196,171.77277,300000
1.0,1.586668e-10,1.586668e-10,0.66448706,0.01873924,0.5023667,0.07737316,11.395798,7.3807314e-08,176.73143,-176.73143,0.80265766,1.0055065,0.2345431,1.0044007,-176.73143,178.73582,0.43118882,-45.030243,-177.09857,-246.62846,-177.18816,4.5974174,-2.6311815,51.80702,179.167,305000
1.0000001,1.5566916e-10,1.5566914e-10,0.68013984,0.017637214,0.51495725,0.07970227,11.632736,7.473864e-08,177.13074,-177.13074,0.8286853,1.034538,0.22553721,1.0040693,-177.13074,179.13481,0.26198164,-3.957666,-177.39986,-253.71259,-177.40889,2.5084832,-1.7040966,30.59164,179.39679,310000
0.99999994,1.5272814e-10,1.5272814e-10,0.68094057,0.018062975,0.5000027,0.086405426,11.434964,8.381903e-08,175.26727,-175.26727,0.80673754,1.0103778,0.23289384,1.0043387,-175.26727,177.2716,0.42455924,0.12096119,-175.52008,-247.19337,-175.56247,2.4807723,-2.4536657,30.898222,177.69617,315000
