actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000002,0.28922772,0.28921944,0.6572498,0.01422191,0.733781,0.13612753,11.364853,2.8712442e-05,26.311323,-26.311314,0.79532075,1.0016261,0.30306733,1.007348,-26.311314,28.607891,0.02386332,-0.7908506,-26.328238,-27.360954,-26.358173,0.7628505,-0.6285085,15.430395,28.631754,5000
1.0000001,0.09415001,0.094148956,0.6576357,0.015629707,0.65850836,0.11847223,11.411396,1.1159806e-05,43.474174,-43.47417,0.80326813,1.0069225,0.36575752,1.0107023,-43.47417,45.57903,0.2413473,-0.45187712,-43.882683,-49.456985,-43.970497,2.7799892,-1.9581897,34.147717,45.820377,10000
0.9999999,0.03077511,0.030774927,0.66316235,0.016092043,0.6291593,0.10807907,11.318563,5.926937e-06,55.685577,-55.685577,0.80408525,0.9958578,0.30626127,1.0075036,-55.685577,57.723854,0.25475085,-1.200813,-55.95921,-70.4952,-55.87316,1.0433426,-0.97632694,22.01653,57.978603,15000
1.0,0.010059557,0.010059462,0.67039984,0.017563222,0.59121186,0.10966462,11.5249,9.442912e-06,68.91025,-68.91025,0.8132564,1.0213076,0.32808924,1.0086114,-68.91025,70.928925,0.4193539,-18.310696,-69.331894,-89.979126,-69.490166,2.2407522,-1.9461533,41.025047,71.34828,20000
1.0000001,0.003288199,0.003288194,0.65816236,0.017336892,0.58126086,0.1088451,11.061127,1.5543774e-06,73.45419,-73.45419,0.76855874,0.96278036,0.30626187,1.0074948,-73.45419,75.46497,0.2939341,0.10976665,-73.82425,-108.95673,-73.828285,1.7003162,-2.503858,37.319,75.75891,25000
0.9999998,0.0010748239,0.0010748236,0.63414544,0.015473951,0.6496777,0.11499491,11.375814,3.9418228e-07,86.772125,-86.772125,0.80809927,1.0030309,0.30611804,1.0074967,-86.772125,88.7807,0.27848792,-1.3123192,-87.082924,-134.11339,-86.765625,1.6583847,-2.3217475,43.44611,89.05919,30000
1.0000001,0.00035133108,0.00035133102,0.6512239,0.015891518,0.61791813,0.10264396,11.589981,1.7881393e-07,95.11676,-95.11676,0.8190575,1.0292691,0.27747202,1.0061593,-95.11676,97.12327,0.19878127,-8.908491,-95.38223,-147.19455,-95.34091,1.5704045,-1.7517581,37.311195,97.32205,35000
1.0,0.000115003386,0.00011500338,0.65566176,0.015960697,0.61369634,0.108762145,11.289067,9.778887e-08,102.471695,-102.471695,0.7921487,0.99216616,0.2837707,1.0063713,-102.471695,104.47818,0.125312,1.2326064,-102.69617,-143.521,-102.66,1.045356,-0.8807071,21.59947,104.60349,40000
0.9999999,3.7647555e-05,3.764755e-05,0.65865034,0.01923832,0.5377391,0.0975524,11.531073,8.009374e-08,110.97018,-110.97018,0.8147017,1.0221921,0.28057566,1.0062977,-110.97018,112.97651,0.24901728,-0.043099597,-111.32475,-144.58258,-111.25666,2.4315605,-2.6049006,43.682236,113.225525,45000
1.0000001,1.2333349e-05,1.2333348e-05,0.6561384,0.01743586,0.56695426,0.09623899,11.340344,8.288771e-08,114.904785,-114.904785,0.7980371,0.9977377,0.27704984,1.0061406,-114.904785,116.91094,0.24645042,-10.523137,-115.23529,-158.05106,-115.3251,2.6143503,-2.4485118,35.000843,117.157394,50000
1.0,4.041064e-06,4.041063e-06,0.65792155,0.018855631,0.53705627,0.098825015,11.169855,1.0035001e-07,121.616806,-121.616806,0.78149045,0.97688735,0.28883126,1.006674,-121.616806,123.62349,0.8044467,-0.8208526,-122.052284,-173.46817,-121.86644,7.8894296,-8.850402,88.36618,124.42793,55000
1.0,1.3249929e-06,1.3249928e-06,0.6647499,0.016957073,0.5747635,0.10981025,11.390255,9.080395e-08,125.88233,-125.88233,0.80343705,1.0046571,0.2897697,1.0066823,-125.88233,127.889015,0.52824306,0.39235896,-126.202896,-167.7503,-126.40146,5.093677,-4.7954054,65.4118,128.41725,60000
1.0,4.3720556e-07,4.3720547e-07,0.6555394,0.017759152,0.57042164,0.10284773,11.325785,1.0081567e-07,131.18567,-131.18567,0.790268,0.9966274,0.26927692,1.005792,-131.18567,133.19147,0.25288448,0.025722444,-131.46129,-217.21211,-131.22061,2.190171,-2.453176,42.950745,133.44435,65000
0.99999994,1.4677116e-07,1.4677116e-07,0.6503883,0.015332015,0.6102163,0.10330477,11.135356,9.9651515e-08,131.29086,-131.29086,0.7742866,0.9725119,0.25872642,1.0053551,-131.29086,133.29622,0.40409338,-3.1512072,-131.551,-182.1973,-131.62427,2.430171,-2.7277486,42.62371,133.70032,70000
