actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.2897558,0.28975087,0.6491488,0.0147165805,0.7358627,0.1394206,11.3214655,1.6910024e-05,26.141556,-26.14155,0.79099715,0.9961041,0.3134337,1.0078593,-26.14155,28.439167,0.25447997,-7.4776535,-26.150818,-27.687029,-26.144789,2.6122665,-3.9927251,49.14576,28.693647,5000
1.0000001,0.094322085,0.09432156,0.6676052,0.017605167,0.61238885,0.12356936,11.202049,5.595619e-06,45.951115,-45.951115,0.77650213,0.98115146,0.32528087,1.0084646,-45.951115,48.0539,0.11711882,-1.8789603,-46.11631,-49.972744,-46.174004,1.9487227,-0.9727385,25.395958,48.17102,10000
1.0,0.030831357,0.03083113,0.6633505,0.014136188,0.688775,0.11475545,11.225411,7.36746e-06,55.969986,-55.969986,0.7813841,0.98346096,0.3431437,1.0094198,-55.969986,58.010235,0.32202905,-1.0950363,-56.355736,-70.25514,-56.161934,3.1097844,-3.582756,54.27102,58.332264,15000
1.0000001,0.010077945,0.010077912,0.6609203,0.015472874,0.6387091,0.11089678,11.312574,3.1767413e-06,67.95259,-67.95259,0.79512143,0.9950256,0.31382188,1.0078787,-67.95259,69.97055,0.45015877,-1.7052014,-68.271286,-89.687454,-68.19011,4.4235926,-4.019856,57.403843,70.42071,20000
1.0000001,0.0032942095,0.0032942053,0.6512463,0.0170355,0.60027134,0.106217146,11.322575,1.3581011e-06,75.93799,-75.93799,0.7967001,0.9957503,0.32484537,1.0084419,-75.93799,77.94972,0.30399942,-16.869623,-76.42471,-105.6647,-76.52634,3.0131187,-2.6208165,48.218185,78.25372,25000
1.0,0.0010767886,0.0010767882,0.6621593,0.015090911,0.6412257,0.10573333,11.340673,3.7369318e-07,83.641205,-83.641205,0.79244316,0.99831396,0.29863095,1.0071344,-83.641205,85.649414,0.27141577,-13.854961,-84.05664,-120.009415,-84.14784,1.7585479,-1.7252095,34.76214,85.92083,30000
1.0000001,0.00035197329,0.00035197329,0.6586925,0.018396452,0.5636256,0.10641447,11.236297,1.1455268e-07,82.289825,-82.289825,0.7832508,0.98510253,0.3366883,1.0090687,-82.289825,84.29925,0.6307682,-1.7333229,-82.88759,-130.89714,-82.97585,1.5060018,-1.2417111,36.602314,84.930016,35000
0.99999994,0.000115213275,0.00011521326,0.66806406,0.017727917,0.5814115,0.118728966,11.257453,7.0082024e-08,82.63874,-82.63874,0.78245974,0.98774076,0.44995943,1.0161971,-82.63874,84.65505,1.994307,-6.68795,-84.444595,-151.7497,-84.895256,7.9131584,-7.5277963,100.60687,86.64936,40000
0.9999999,3.7716265e-05,3.7716265e-05,0.6566402,0.016100902,0.5892599,0.09518763,11.450308,8.381903e-08,86.575264,-86.575264,0.81057847,1.0122734,0.3093528,1.007656,-86.575264,88.582954,0.32818598,-3.1753058,-87.10217,-135.46028,-87.19086,3.7483683,-2.5491788,47.63641,88.91114,45000
1.0,1.2355837e-05,1.2355835e-05,0.65657294,0.016722733,0.57989043,0.102745995,11.271503,8.1723556e-08,91.73738,-91.73738,0.7838192,0.989564,0.29562122,1.0069628,-91.73738,93.74436,0.5072903,0.37947696,-92.11155,-156.50795,-92.17698,3.064063,-3.603883,48.067513,94.251656,50000
0.9999999,4.0484315e-06,4.048431e-06,0.6616443,0.018497432,0.536833,0.08975457,11.225616,8.568168e-08,99.82048,-99.82048,0.77811074,0.9840717,0.28016645,1.0062795,-99.82048,101.82677,0.40701956,-2.3636746,-100.1929,-164.4965,-100.176315,1.2609857,-1.3667245,28.128769,102.23379,55000
1.0,1.3273985e-06,1.3273984e-06,0.6588039,0.016125351,0.59294194,0.101381436,11.292059,8.1490725e-08,103.81308,-103.81308,0.7908274,0.9924741,0.29095328,1.0067724,-103.81308,105.819855,0.7378092,-0.87469697,-104.234604,-152.00502,-104.157036,3.6178317,-4.2140136,58.18571,106.55766,60000
1.0,4.3799224e-07,4.3799218e-07,0.6685657,0.020642921,0.49990797,0.08662959,11.2789545,8.242205e-08,111.6084,-111.6084,0.7872647,0.9905188,0.26184332,1.0054849,-111.6084,113.613884,0.39071453,-33.369602,-111.848724,-156.03087,-111.59854,3.6889107,-4.496446,53.52591,114.0046,65000
0.9999999,1.4702837e-07,1.4702835e-07,0.66516626,0.01780543,0.52677834,0.08807796,11.145375,7.4272975e-08,114.38968,-114.38968,0.77197814,0.97387034,0.2622996,1.0055041,-114.38968,116.39518,0.22653213,-0.17208475,-114.6565,-163.9844,-114.52051,1.324119,-1.493142,32.437653,116.62171,70000
0.9999999,5.1750952e-08,5.1750952e-08,0.6698574,0.01919663,0.5339472,0.0975555,11.414864,7.916242e-08,123.36131,-123.36131,0.7992157,1.0075902,0.2672341,1.0057014,-123.36131,125.36701,0.29191107,0.21352571,-123.58126,-188.35266,-123.6535,1.4594566,-1.293802,29.185673,125.65892,75000
