actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0,0.2897633,0.28971973,0.29488766,0.0147165805,0.7358627,0.1394206,11.322627,0.00015036158,26.552338,-26.552292,0.79116607,0.99637336,0.29954636,1.0071782,-26.552639,28.849236,0.0010432547,-25.48018,-26.553043,-29.065483,-26.54595,0.5065941,-0.71032465,9.5780525,28.850279,5000
1.0000001,0.094651416,0.088340476,0.30244893,0.017605167,0.61238885,0.12356936,11.202948,0.06667558,48.708668,-48.702354,0.7823803,0.988051,0.29988584,1.0071945,-48.703323,50.804203,0.03614819,-0.77620006,-48.736374,-53.51092,-48.746258,1.13349,-0.9727385,13.6716385,50.84035,10000
1.0,0.03707913,-0.00083947135,0.33504248,0.014136188,0.688775,0.11475545,11.050685,1.02264,65.31423,-65.27631,0.83984554,1.090547,0.301574,1.0072757,-65.258736,67.32067,0.18268298,-33.752556,-65.493256,-72.27748,-65.389915,1.0071285,-1.1915995,26.005898,67.50336,15000
1.0000001,0.03803587,-0.0068192207,0.33824182,0.015472874,0.6387091,0.11089678,11.053367,1.179284,78.129745,-78.084885,0.85970044,1.108801,0.3023412,1.007309,-78.07796,80.13023,0.09336697,0.0846802,-78.30424,-85.79798,-78.41209,0.9600214,-0.9249705,20.409771,80.2236,20000
1.0000001,0.077583,0.013220992,0.35195598,0.0170355,0.60027134,0.106217146,11.144573,0.8295891,84.49089,-84.42654,0.8338311,1.0505127,0.318163,1.0080982,-84.4162,86.51221,0.22150649,-33.18549,-84.83368,-99.10191,-85.00316,1.9041399,-1.3252656,36.56376,86.73371,25000
1.0,0.057168033,-0.0057846936,0.35267898,0.015090911,0.6412257,0.10573333,11.104883,1.1011876,90.038956,-89.976,0.87455,1.0974185,0.30226302,1.007309,-89.96254,92.04048,0.13354643,-26.21424,-90.35013,-111.13761,-90.38397,0.91819715,-1.090014,18.747742,92.17403,30000
1.0000001,0.051538795,-0.0046367315,0.35651082,0.018396452,0.5636256,0.10641447,11.007252,1.0899658,96.86281,-96.80663,0.86716807,1.0935957,0.29161507,1.0068032,-96.80135,98.864975,0.11525974,-14.21641,-97.085464,-121.68218,-97.193886,1.3578495,-1.1572177,25.039612,98.98023,35000
0.99999994,0.056322776,-0.006652279,0.34647542,0.017727917,0.5814115,0.118728966,11.041321,1.11811,107.10677,-107.04379,0.8552275,1.0918794,0.30499256,1.0074416,-107.03961,109.10756,0.18216655,-34.511227,-107.32437,-130.85574,-107.12745,1.0963625,-1.798462,41.12365,109.28973,40000
0.9999999,0.057544198,-0.0032761707,0.3565323,0.016100902,0.5892599,0.09518763,11.230547,1.056933,108.96635,-108.905525,0.8767848,1.1080679,0.26403546,1.0055772,-108.898254,110.96865,0.18213654,-38.388515,-109.17563,-139.64774,-109.16513,0.9153433,-0.95952666,23.43968,111.15079,45000
1.0,0.05288828,-0.006628821,0.33762145,0.016722733,0.57989043,0.102745995,11.060825,1.1253363,114.076035,-114.01652,0.8579723,1.0971503,0.2918021,1.0068119,-114.00311,116.07622,0.3333765,-0.9219774,-114.416725,-148.32176,-114.25992,1.4415692,-2.4420652,37.173782,116.40959,50000
