actor/actor_drift_loss,actor/alpha,actor/alpha_loss,actor/delta_rms,actor/drift_loss_3.0,actor/drift_scale,actor/generated_to_data_mse,actor/latent_entropy,actor/latent_kl,actor/latent_policy_loss,actor/latent_q,actor/noise_abs_mean,actor/noise_std,actor/offset_rms,actor/refine_actor_loss,actor/refine_q,actor/total_loss,critic/critic_loss,critic/q_max,critic/q_mean,critic/q_min,critic/target_q,grad/max,grad/min,grad/norm,total_loss,step
1.0000001,0.2897822,0.28955334,0.3089559,0.014715927,0.73596936,0.13942528,11.326552,0.00078976824,26.103348,-26.103119,0.7917744,0.9966974,0.31666476,1.0080221,-26.106556,28.400923,0.088695735,-3.3657196,-26.161732,-27.908401,-26.051998,0.65093094,-0.8802075,19.022068,28.489618,5000
1.0000001,0.0982166,0.07835014,0.34453344,0.017603505,0.6124264,0.12357189,11.18874,0.20227197,41.48729,-41.467422,0.79761446,1.0090786,0.35653907,1.0101695,-41.472244,43.57581,0.2255471,-2.0022109,-41.75277,-49.978436,-41.81007,1.1347216,-0.97206795,18.694208,43.801357,10000
1.0,0.061623927,-0.008813976,0.3770289,0.014135922,0.6887792,0.114747845,10.990323,1.1430285,49.744324,-49.67389,0.86342627,1.0891795,0.39670408,1.0125899,-49.646896,51.748096,0.25936714,-0.92237484,-50.301346,-71.91505,-50.39374,2.39435,-1.664228,36.581284,52.007465,15000
1.0,0.05312392,0.0018436868,0.33984485,0.015472768,0.6387153,0.11088939,11.112438,0.9652946,59.217697,-59.16642,0.8695407,1.0901783,0.33983412,1.009239,-59.167377,61.22878,0.15673098,-0.75583476,-59.575172,-94.23165,-59.473476,1.1224155,-1.0962697,27.636843,61.38551,20000
0.9999999,0.045846134,0.0033076867,0.3334372,0.01702996,0.6003822,0.10621138,11.118023,0.92785245,69.38516,-69.34262,0.86769044,1.0802306,0.30678248,1.0075293,-69.33609,71.396,0.11030147,-18.172377,-69.64406,-106.49008,-69.75247,1.0464131,-1.3255492,24.427734,71.5063,25000
1.0,0.04220673,0.0039796513,0.32200223,0.015088083,0.6413605,0.10573765,11.16004,0.9057105,80.80484,-80.76662,0.85172206,1.0793792,0.28750685,1.0066128,-80.76325,82.81544,0.090669826,-11.184842,-81.00044,-116.3452,-80.8658,1.0005795,-1.3989053,25.762526,82.906105,30000
1.0,0.039448738,0.004200244,0.32140636,0.018394567,0.5635748,0.106399626,11.05631,0.89352655,90.17651,-90.141266,0.8374676,1.06083,0.29337722,1.0068856,-90.11584,92.18761,0.22487307,-0.30457088,-90.35337,-125.94494,-90.22383,1.3557057,-1.5606422,30.69316,92.41248,35000
0.99999994,0.041721947,-0.0076867035,0.3337858,0.017728057,0.5817298,0.118762724,11.103075,1.1842364,97.66053,-97.611115,0.887884,1.1253504,0.29699728,1.0070566,-97.61026,99.6599,0.16698234,-5.7519426,-97.914444,-146.03633,-98.01222,1.7281563,-0.97263527,29.260311,99.82688,40000
0.99999994,0.058363423,-0.0009117415,0.3351828,0.016099654,0.5890485,0.095162995,11.339796,1.0156218,109.16983,-109.11056,0.8899545,1.1214229,0.2810152,1.0063176,-109.10699,111.17523,0.6892172,-2.0874245,-109.563515,-135.26828,-109.20224,5.8845215,-7.241851,86.817245,111.86445,45000
1.0000002,0.047844727,0.006467241,0.32237956,0.01672421,0.5797698,0.10275422,11.1335125,0.8648286,111.94856,-111.90719,0.8355153,1.0553441,0.27334842,1.0059445,-111.883545,113.960976,0.6720688,0.36764136,-112.16629,-149.19933,-112.2906,4.6644607,-3.3482375,64.50397,114.63304,50000
1.0,0.04957171,-0.0004253689,0.33546177,0.018475268,0.5369814,0.08975356,11.085575,1.0085809,119.39381,-119.34381,0.8588678,1.0904258,0.2676013,1.0057288,-119.350395,121.39911,0.4985392,-3.958261,-119.659775,-193.77896,-119.45256,4.131481,-5.4663815,71.91634,121.89765,55000
1.0000002,0.05261069,-0.0055217007,0.33709526,0.016139342,0.59274083,0.1013546,11.142992,1.104954,122.46326,-122.40512,0.86727726,1.0951546,0.27435732,1.0060217,-122.39176,124.46375,0.6746285,-0.42036378,-122.75479,-164.13722,-122.46676,7.067678,-5.908027,84.26433,125.13838,60000
1.0,0.044828,-2.740696e-05,0.33411312,0.02063683,0.5001565,0.08666715,11.134355,1.0006113,129.32889,-129.28404,0.870574,1.1025219,0.25954548,1.0053891,-129.28165,131.33424,0.2625661,-30.920038,-129.54718,-201.29044,-129.5003,1.9796379,-3.2343554,39.828087,131.59682,65000
1.0000001,0.043317106,0.0007105437,0.32961637,0.017790452,0.5268591,0.08809301,10.998136,0.9835967,130.0558,-130.0132,0.83970475,1.0770446,0.26203945,1.0054932,-130.00626,132.06201,0.23131558,0.0016569942,-130.30093,-201.42091,-130.3051,2.1738136,-2.060585,39.286835,132.29332,70000
0.99999994,0.03967231,0.0054518282,0.3426135,0.019200817,0.5340744,0.097601965,11.256693,0.8625785,139.13779,-139.10355,0.84440935,1.068345,0.26307654,1.0055368,-139.08232,141.14877,0.4293411,0.024258584,-139.31808,-184.66841,-139.44537,6.3320837,-8.6629305,65.60286,141.57811,75000
